"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","01","990.850","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","02","990.840","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","03","991.000","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","04","990.830","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","05","990.680","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","06","990.820","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","07","990.870","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","08","991.180","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","09","991.560","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","10","991.850","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","11","991.580","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","12","991.020","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","13","989.930","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","14","989.270","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","15","989.410","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","16","989.620","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","17","989.970","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","18","990.210","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","19","990.360","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","20","990.560","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","21","990.710","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","22","990.760","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","23","990.610","1"
"S_N_di_Melfi","Pressione","mBar","01/01/2021","24","990.300","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","01","989.670","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","02","989.570","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","03","989.730","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","04","988.860","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","05","988.150","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","06","987.690","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","07","987.780","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","08","987.790","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","09","987.290","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","10","987.030","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","11","986.470","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","12","985.890","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","13","986.050","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","14","986.460","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","15","986.080","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","16","986.800","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","17","986.580","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","18","986.670","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","19","986.800","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","20","987.060","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","21","987.260","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","22","987.270","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","23","987.710","1"
"S_N_di_Melfi","Pressione","mBar","02/01/2021","24","988.110","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","01","988.090","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","02","987.950","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","03","988.380","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","04","988.400","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","05","988.100","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","06","988.200","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","07","989.180","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","08","989.210","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","09","989.680","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","10","990.250","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","11","989.720","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","12","988.670","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","13","988.520","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","14","989.570","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","15","989.000","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","16","989.500","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","17","990.700","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","18","989.900","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","19","990.190","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","20","990.020","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","21","989.760","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","22","989.390","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","23","989.290","1"
"S_N_di_Melfi","Pressione","mBar","03/01/2021","24","989.200","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","01","988.980","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","02","988.770","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","03","989.120","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","04","988.700","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","05","988.370","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","06","988.210","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","07","987.940","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","08","987.850","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","09","988.070","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","10","988.010","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","11","987.570","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","12","986.570","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","13","985.860","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","14","985.400","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","15","985.620","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","16","986.100","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","17","986.610","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","18","987.260","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","19","987.670","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","20","988.140","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","21","988.600","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","22","989.000","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","23","989.100","1"
"S_N_di_Melfi","Pressione","mBar","04/01/2021","24","989.230","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","01","989.300","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","02","989.680","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","03","989.690","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","04","989.730","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","05","989.550","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","06","989.230","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","07","989.230","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","08","989.350","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","09","989.630","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","10","989.770","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","11","989.690","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","12","989.050","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","13","988.570","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","14","987.930","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","15","987.360","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","16","987.510","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","17","987.550","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","18","987.920","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","19","988.100","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","20","988.350","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","21","988.190","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","22","987.750","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","23","988.070","1"
"S_N_di_Melfi","Pressione","mBar","05/01/2021","24","988.250","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","01","988.170","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","02","988.740","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","03","989.160","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","04","989.380","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","05","989.460","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","06","990.100","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","07","990.180","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","08","990.340","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","09","990.980","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","10","991.740","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","11","992.140","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","12","991.770","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","13","991.060","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","14","990.800","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","15","990.890","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","16","990.960","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","17","990.970","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","18","990.990","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","19","991.260","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","20","991.210","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","21","991.420","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","22","991.360","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","23","991.490","1"
"S_N_di_Melfi","Pressione","mBar","06/01/2021","24","991.460","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","01","992.120","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","02","992.460","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","03","992.550","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","04","992.240","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","05","992.060","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","06","991.970","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","07","991.770","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","08","992.050","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","09","992.530","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","10","992.640","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","11","992.460","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","12","991.970","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","13","991.050","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","14","990.250","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","15","990.180","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","16","989.920","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","17","989.730","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","18","989.470","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","19","989.300","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","20","989.010","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","21","988.130","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","22","987.710","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","23","987.500","1"
"S_N_di_Melfi","Pressione","mBar","07/01/2021","24","986.890","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","01","986.130","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","02","985.690","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","03","985.160","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","04","984.450","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","05","984.340","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","06","984.380","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","07","984.780","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","08","985.130","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","09","985.680","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","10","986.190","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","11","986.490","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","12","986.340","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","13","986.260","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","14","986.180","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","15","986.960","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","16","987.600","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","17","987.720","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","18","988.260","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","19","988.440","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","20","988.600","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","21","989.230","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","22","989.590","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","23","989.890","1"
"S_N_di_Melfi","Pressione","mBar","08/01/2021","24","990.140","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","01","990.250","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","02","990.380","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","03","990.240","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","04","990.450","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","05","990.630","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","06","990.780","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","07","991.230","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","08","991.670","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","09","992.070","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","10","991.990","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","11","991.530","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","12","990.570","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","13","989.580","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","14","989.640","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","15","989.610","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","16","990.130","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","17","990.750","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","18","991.180","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","19","991.380","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","20","991.810","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","21","991.720","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","22","992.080","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","23","991.540","1"
"S_N_di_Melfi","Pressione","mBar","09/01/2021","24","991.520","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","01","991.160","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","02","990.950","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","03","990.920","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","04","990.700","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","05","990.180","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","06","990.200","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","07","990.090","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","08","989.840","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","09","989.980","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","10","990.240","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","11","990.220","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","12","988.630","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","13","987.360","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","14","986.240","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","15","985.580","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","16","985.790","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","17","984.840","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","18","984.350","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","19","986.140","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","20","986.510","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","21","986.900","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","22","987.110","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","23","987.460","1"
"S_N_di_Melfi","Pressione","mBar","10/01/2021","24","987.420","1"
"S_N_di_Melfi","Pressione","mBar","11/01/2021","01","987.250","1"
"S_N_di_Melfi","Pressione","mBar","11/01/2021","02","987.740","1"
"S_N_di_Melfi","Pressione","mBar","11/01/2021","03","988.300","1"
"S_N_di_Melfi","Pressione","mBar","11/01/2021","04","988.470","1"
"S_N_di_Melfi","Pressione","mBar","11/01/2021","05","988.570","1"
"S_N_di_Melfi","Pressione","mBar","11/01/2021","06","988.900","1"
"S_N_di_Melfi","Pressione","mBar","11/01/2021","07","989.580","1"
"S_N_di_Melfi","Pressione","mBar","11/01/2021","08","990.440","1"
"S_N_di_Melfi","Pressione","mBar","11/01/2021","09","991.240","1"
"S_N_di_Melfi","Pressione","mBar","11/01/2021","10","992.320","1"
