"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","01","4.370","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","02","4.160","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","03","3.510","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","04","4.380","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","05","4.980","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","06","5.170","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","07","5.160","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","08","5.830","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","09","6.570","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","10","9.040","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","11","11.090","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","12","12.120","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","13","13.440","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","14","13.630","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","15","13.410","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","16","13.240","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","17","11.440","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","18","9.860","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","19","8.570","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","20","7.070","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","21","6.490","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","22","6.440","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","23","5.360","1"
"S_N_di_Melfi","Temperatura","∞C","01/01/2021","24","5.480","1"
"S_N_di_Melfi","Temperatura","∞C","02/01/2021","01","6.550","1"
"S_N_di_Melfi","Temperatura","∞C","02/01/2021","02","7.590","1"
"S_N_di_Melfi","Temperatura","∞C","02/01/2021","03","5.880","1"
"S_N_di_Melfi","Temperatura","∞C","02/01/2021","04","6.780","1"
"S_N_di_Melfi","Temperatura","∞C","02/01/2021","05","6.220","1"
"S_N_di_Melfi","Temperatura","∞C","02/01/2021","06","8.170","1"
"S_N_di_Melfi","Temperatura","∞C","02/01/2021","07","8.810","1"
"S_N_di_Melfi","Temperatura","∞C","02/01/2021","08","8.100","1"
"S_N_di_Melfi","Temperatura","∞C","02/01/2021","09","8.980","1"
"S_N_di_Melfi","Temperatura","∞C","02/01/2021","10","11.820","1"
