"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","01","75.440","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","02","78.050","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","03","78.050","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","04","74.500","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","05","71.460","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","06","70.650","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","07","69.040","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","08","66.120","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","09","69.680","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","10","66.170","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","11","62.860","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","12","59.210","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","13","50.620","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","14","48.130","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","15","51.800","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","16","55.010","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","17","61.590","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","18","66.310","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","19","72.480","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","20","76.010","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","21","76.590","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","22","74.070","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","23","75.700","1"
"S_N_di_Melfi","Umidità_Relativa","%","01/01/2021","24","72.790","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","01","69.950","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","02","67.510","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","03","73.370","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","04","68.020","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","05","71.410","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","06","63.040","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","07","61.380","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","08","69.140","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","09","69.690","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","10","61.830","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","11","59.760","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","12","56.620","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","13","61.710","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","14","70.800","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","15","74.440","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","16","63.640","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","17","65.910","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","18","68.940","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","19","68.520","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","20","73.090","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","21","71.680","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","22","69.700","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","23","55.960","1"
"S_N_di_Melfi","Umidità_Relativa","%","02/01/2021","24","60.240","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","01","68.430","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","02","69.980","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","03","67.740","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","04","69.640","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","05","72.520","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","06","69.410","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","07","72.700","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","08","73.690","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","09","75.870","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","10","70.130","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","11","60.540","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","12","52.210","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","13","54.550","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","14","73.990","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","15","64.569","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","16","64.090","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","17","68.140","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","18","72.600","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","19","70.890","1"
"S_N_di_Melfi","Umidità_Relativa","%","03/01/2021","20","67.480","1"
