"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano","H2S","ppb","01/01/2021","01","3.070","1"
"Viggiano","H2S","ppb","01/01/2021","02","3.700","1"
"Viggiano","H2S","ppb","01/01/2021","03","2.110","1"
"Viggiano","H2S","ppb","01/01/2021","04","3.490","1"
"Viggiano","H2S","ppb","01/01/2021","05","3.130","1"
"Viggiano","H2S","ppb","01/01/2021","06","3.930","1"
"Viggiano","H2S","ppb","01/01/2021","07","2.660","1"
"Viggiano","H2S","ppb","01/01/2021","08","2.630","1"
"Viggiano","H2S","ppb","01/01/2021","09","2.970","1"
"Viggiano","H2S","ppb","01/01/2021","10","3.380","1"
"Viggiano","H2S","ppb","01/01/2021","11","2.860","1"
"Viggiano","H2S","ppb","01/01/2021","12","3.250","1"
"Viggiano","H2S","ppb","01/01/2021","13","2.590","1"
"Viggiano","H2S","ppb","01/01/2021","14","3.330","1"
"Viggiano","H2S","ppb","01/01/2021","15","2.340","1"
"Viggiano","H2S","ppb","01/01/2021","16","2.400","1"
"Viggiano","H2S","ppb","01/01/2021","17","2.340","1"
"Viggiano","H2S","ppb","01/01/2021","18","3.850","-99"
"Viggiano","H2S","ppb","01/01/2021","19","3.490","1"
"Viggiano","H2S","ppb","01/01/2021","20","3.470","1"
"Viggiano","H2S","ppb","01/01/2021","21","3.860","1"
"Viggiano","H2S","ppb","01/01/2021","22","3.330","1"
"Viggiano","H2S","ppb","01/01/2021","23","3.180","1"
"Viggiano","H2S","ppb","01/01/2021","24","2.190","1"
"Viggiano","H2S","ppb","02/01/2021","01","2.800","1"
"Viggiano","H2S","ppb","02/01/2021","02","3.160","1"
"Viggiano","H2S","ppb","02/01/2021","03","2.720","1"
"Viggiano","H2S","ppb","02/01/2021","04","2.580","1"
"Viggiano","H2S","ppb","02/01/2021","05","3.100","1"
"Viggiano","H2S","ppb","02/01/2021","06","3.430","1"
"Viggiano","H2S","ppb","02/01/2021","07","3.310","1"
"Viggiano","H2S","ppb","02/01/2021","08","3.370","1"
"Viggiano","H2S","ppb","02/01/2021","09","3.420","1"
"Viggiano","H2S","ppb","02/01/2021","10","3.420","1"
"Viggiano","H2S","ppb","02/01/2021","11","2.910","1"
"Viggiano","H2S","ppb","02/01/2021","12","2.570","1"
"Viggiano","H2S","ppb","02/01/2021","13","2.620","1"
"Viggiano","H2S","ppb","02/01/2021","14","2.860","1"
"Viggiano","H2S","ppb","02/01/2021","15","3.160","1"
"Viggiano","H2S","ppb","02/01/2021","16","4.080","1"
"Viggiano","H2S","ppb","02/01/2021","17","2.080","-99"
"Viggiano","H2S","ppb","02/01/2021","18","2.410","1"
