"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano","Metano","ppm","01/01/2021","01","2.170","1"
"Viggiano","Metano","ppm","01/01/2021","02","2.090","1"
"Viggiano","Metano","ppm","01/01/2021","03","1.960","1"
"Viggiano","Metano","ppm","01/01/2021","04","1.950","1"
"Viggiano","Metano","ppm","01/01/2021","05","2.060","1"
"Viggiano","Metano","ppm","01/01/2021","06","1.960","1"
"Viggiano","Metano","ppm","01/01/2021","07","2.050","1"
"Viggiano","Metano","ppm","01/01/2021","08","2.040","1"
"Viggiano","Metano","ppm","01/01/2021","09","2.110","1"
"Viggiano","Metano","ppm","01/01/2021","10","2.070","1"
"Viggiano","Metano","ppm","01/01/2021","11","2.070","1"
"Viggiano","Metano","ppm","01/01/2021","12","1.980","1"
"Viggiano","Metano","ppm","01/01/2021","13","1.930","1"
"Viggiano","Metano","ppm","01/01/2021","14","1.910","1"
"Viggiano","Metano","ppm","01/01/2021","15","1.900","1"
"Viggiano","Metano","ppm","01/01/2021","16","1.900","1"
"Viggiano","Metano","ppm","01/01/2021","17","1.900","1"
"Viggiano","Metano","ppm","01/01/2021","18","1.920","1"
"Viggiano","Metano","ppm","01/01/2021","19","1.920","1"
"Viggiano","Metano","ppm","01/01/2021","20","1.930","1"
"Viggiano","Metano","ppm","01/01/2021","21","1.920","1"
"Viggiano","Metano","ppm","01/01/2021","22","1.930","1"
"Viggiano","Metano","ppm","01/01/2021","23","1.930","1"
"Viggiano","Metano","ppm","01/01/2021","24","2.029","1"
"Viggiano","Metano","ppm","02/01/2021","01","1.990","1"
"Viggiano","Metano","ppm","02/01/2021","02","1.940","1"
"Viggiano","Metano","ppm","02/01/2021","03","1.950","1"
"Viggiano","Metano","ppm","02/01/2021","04","2.020","1"
"Viggiano","Metano","ppm","02/01/2021","05","2.020","1"
"Viggiano","Metano","ppm","02/01/2021","06","2.000","1"
"Viggiano","Metano","ppm","02/01/2021","07","2.110","1"
"Viggiano","Metano","ppm","02/01/2021","08","2.150","1"
"Viggiano","Metano","ppm","02/01/2021","09","2.100","1"
"Viggiano","Metano","ppm","02/01/2021","10","1.950","1"
"Viggiano","Metano","ppm","02/01/2021","11","1.940","1"
"Viggiano","Metano","ppm","02/01/2021","12","1.870","1"
"Viggiano","Metano","ppm","02/01/2021","13","1.870","1"
"Viggiano","Metano","ppm","02/01/2021","14","1.870","1"
"Viggiano","Metano","ppm","02/01/2021","15","1.870","1"
"Viggiano","Metano","ppm","02/01/2021","16","1.900","1"
"Viggiano","Metano","ppm","02/01/2021","17","1.870","1"
"Viggiano","Metano","ppm","02/01/2021","18","1.880","1"
"Viggiano","Metano","ppm","02/01/2021","19","1.890","1"
"Viggiano","Metano","ppm","02/01/2021","20","1.910","1"
"Viggiano","Metano","ppm","02/01/2021","21","1.950","1"
"Viggiano","Metano","ppm","02/01/2021","22","2.000","1"
"Viggiano","Metano","ppm","02/01/2021","23","1.940","1"
"Viggiano","Metano","ppm","02/01/2021","24","1.940","1"
"Viggiano","Metano","ppm","03/01/2021","01","1.970","1"
"Viggiano","Metano","ppm","03/01/2021","02","2.020","1"
"Viggiano","Metano","ppm","03/01/2021","03","2.000","1"
"Viggiano","Metano","ppm","03/01/2021","04","1.920","1"
"Viggiano","Metano","ppm","03/01/2021","05","2.130","1"
"Viggiano","Metano","ppm","03/01/2021","06","2.000","1"
"Viggiano","Metano","ppm","03/01/2021","07","1.910","1"
"Viggiano","Metano","ppm","03/01/2021","08","1.920","1"
"Viggiano","Metano","ppm","03/01/2021","09","1.920","1"
"Viggiano","Metano","ppm","03/01/2021","10","1.930","1"
"Viggiano","Metano","ppm","03/01/2021","11","1.950","1"
"Viggiano","Metano","ppm","03/01/2021","12","1.900","1"
"Viggiano","Metano","ppm","03/01/2021","13","1.900","1"
"Viggiano","Metano","ppm","03/01/2021","14","1.890","1"
"Viggiano","Metano","ppm","03/01/2021","15","1.890","1"
"Viggiano","Metano","ppm","03/01/2021","16","1.900","1"
"Viggiano","Metano","ppm","03/01/2021","17","1.960","1"
"Viggiano","Metano","ppm","03/01/2021","18","1.930","1"
"Viggiano","Metano","ppm","03/01/2021","19","1.920","1"
"Viggiano","Metano","ppm","03/01/2021","20","1.920","1"
"Viggiano","Metano","ppm","03/01/2021","21","2.130","1"
"Viggiano","Metano","ppm","03/01/2021","22","2.150","1"
"Viggiano","Metano","ppm","03/01/2021","23","2.060","1"
"Viggiano","Metano","ppm","03/01/2021","24","1.940","1"
"Viggiano","Metano","ppm","04/01/2021","01","1.920","1"
"Viggiano","Metano","ppm","04/01/2021","02","1.900","1"
"Viggiano","Metano","ppm","04/01/2021","03","1.930","1"
"Viggiano","Metano","ppm","04/01/2021","04","1.950","1"
"Viggiano","Metano","ppm","04/01/2021","05","1.970","1"
"Viggiano","Metano","ppm","04/01/2021","06","2.020","1"
"Viggiano","Metano","ppm","04/01/2021","07","2.000","1"
"Viggiano","Metano","ppm","04/01/2021","08","2.000","1"
"Viggiano","Metano","ppm","04/01/2021","09","2.060","1"
"Viggiano","Metano","ppm","04/01/2021","10","2.160","1"
"Viggiano","Metano","ppm","04/01/2021","11","2.140","1"
"Viggiano","Metano","ppm","04/01/2021","12","2.050","1"
"Viggiano","Metano","ppm","04/01/2021","13","1.930","1"
"Viggiano","Metano","ppm","04/01/2021","14","1.910","1"
"Viggiano","Metano","ppm","04/01/2021","15","1.910","1"
"Viggiano","Metano","ppm","04/01/2021","16","1.910","1"
"Viggiano","Metano","ppm","04/01/2021","17","1.930","1"
"Viggiano","Metano","ppm","04/01/2021","18","1.950","1"
"Viggiano","Metano","ppm","04/01/2021","19","1.930","1"
"Viggiano","Metano","ppm","04/01/2021","20","1.930","1"
"Viggiano","Metano","ppm","04/01/2021","21","1.950","1"
"Viggiano","Metano","ppm","04/01/2021","22","1.960","1"
"Viggiano","Metano","ppm","04/01/2021","23","1.980","1"
"Viggiano","Metano","ppm","04/01/2021","24","1.990","1"
"Viggiano","Metano","ppm","05/01/2021","01","1.990","1"
"Viggiano","Metano","ppm","05/01/2021","02","2.000","1"
"Viggiano","Metano","ppm","05/01/2021","03","1.990","1"
"Viggiano","Metano","ppm","05/01/2021","04","2.110","1"
"Viggiano","Metano","ppm","05/01/2021","05","2.040","1"
"Viggiano","Metano","ppm","05/01/2021","06","2.009","1"
"Viggiano","Metano","ppm","05/01/2021","07","1.990","1"
"Viggiano","Metano","ppm","05/01/2021","08","2.000","1"
"Viggiano","Metano","ppm","05/01/2021","09","2.240","1"
"Viggiano","Metano","ppm","05/01/2021","10","2.250","1"
"Viggiano","Metano","ppm","05/01/2021","11","2.020","1"
"Viggiano","Metano","ppm","05/01/2021","12","2.120","1"
"Viggiano","Metano","ppm","05/01/2021","13","1.960","1"
"Viggiano","Metano","ppm","05/01/2021","14","1.910","1"
"Viggiano","Metano","ppm","05/01/2021","15","1.910","1"
"Viggiano","Metano","ppm","05/01/2021","16","-9999","-1"
"Viggiano","Metano","ppm","05/01/2021","17","1.910","1"
"Viggiano","Metano","ppm","05/01/2021","18","1.930","1"
"Viggiano","Metano","ppm","05/01/2021","19","1.920","1"
"Viggiano","Metano","ppm","05/01/2021","20","1.910","1"
"Viggiano","Metano","ppm","05/01/2021","21","1.920","1"
"Viggiano","Metano","ppm","05/01/2021","22","1.910","1"
"Viggiano","Metano","ppm","05/01/2021","23","1.910","1"
"Viggiano","Metano","ppm","05/01/2021","24","1.920","1"
"Viggiano","Metano","ppm","06/01/2021","01","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","02","1.900","1"
"Viggiano","Metano","ppm","06/01/2021","03","1.920","1"
"Viggiano","Metano","ppm","06/01/2021","04","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","05","1.970","1"
"Viggiano","Metano","ppm","06/01/2021","06","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","07","1.920","1"
"Viggiano","Metano","ppm","06/01/2021","08","1.930","1"
"Viggiano","Metano","ppm","06/01/2021","09","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","10","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","11","1.940","1"
"Viggiano","Metano","ppm","06/01/2021","12","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","13","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","14","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","15","1.930","1"
"Viggiano","Metano","ppm","06/01/2021","16","1.920","1"
"Viggiano","Metano","ppm","06/01/2021","17","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","18","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","19","1.930","1"
"Viggiano","Metano","ppm","06/01/2021","20","1.920","1"
"Viggiano","Metano","ppm","06/01/2021","21","1.940","1"
"Viggiano","Metano","ppm","06/01/2021","22","1.920","1"
"Viggiano","Metano","ppm","06/01/2021","23","1.910","1"
"Viggiano","Metano","ppm","06/01/2021","24","1.900","1"
"Viggiano","Metano","ppm","07/01/2021","01","1.930","1"
"Viggiano","Metano","ppm","07/01/2021","02","1.910","1"
"Viggiano","Metano","ppm","07/01/2021","03","1.920","1"
"Viggiano","Metano","ppm","07/01/2021","04","1.950","1"
"Viggiano","Metano","ppm","07/01/2021","05","1.950","1"
"Viggiano","Metano","ppm","07/01/2021","06","1.960","1"
"Viggiano","Metano","ppm","07/01/2021","07","1.930","1"
"Viggiano","Metano","ppm","07/01/2021","08","1.920","1"
"Viggiano","Metano","ppm","07/01/2021","09","1.920","1"
"Viggiano","Metano","ppm","07/01/2021","10","1.980","1"
"Viggiano","Metano","ppm","07/01/2021","11","1.930","1"
"Viggiano","Metano","ppm","07/01/2021","12","2.000","1"
"Viggiano","Metano","ppm","07/01/2021","13","1.980","1"
"Viggiano","Metano","ppm","07/01/2021","14","1.990","1"
"Viggiano","Metano","ppm","07/01/2021","15","1.960","1"
"Viggiano","Metano","ppm","07/01/2021","16","2.040","1"
