"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano","NO2","µg/m≥","01/01/2021","01","3.01","1"
"Viggiano","NO2","µg/m≥","01/01/2021","02","2.04","1"
"Viggiano","NO2","µg/m≥","01/01/2021","03","0.60","1"
"Viggiano","NO2","µg/m≥","01/01/2021","04","0.14","1"
"Viggiano","NO2","µg/m≥","01/01/2021","05","1.99","1"
"Viggiano","NO2","µg/m≥","01/01/2021","06","0.91","1"
"Viggiano","NO2","µg/m≥","01/01/2021","07","2.60","1"
"Viggiano","NO2","µg/m≥","01/01/2021","08","3.42","1"
"Viggiano","NO2","µg/m≥","01/01/2021","09","2.45","1"
"Viggiano","NO2","µg/m≥","01/01/2021","10","4.00","1"
"Viggiano","NO2","µg/m≥","01/01/2021","11","3.27","1"
"Viggiano","NO2","µg/m≥","01/01/2021","12","1.86","1"
"Viggiano","NO2","µg/m≥","01/01/2021","13","2.43","1"
"Viggiano","NO2","µg/m≥","01/01/2021","14","0.25","1"
"Viggiano","NO2","µg/m≥","01/01/2021","15","0.11","1"
"Viggiano","NO2","µg/m≥","01/01/2021","16","0.11","1"
"Viggiano","NO2","µg/m≥","01/01/2021","17","0.35","1"
"Viggiano","NO2","µg/m≥","01/01/2021","18","-9999","-1"
"Viggiano","NO2","µg/m≥","01/01/2021","19","1.75","1"
"Viggiano","NO2","µg/m≥","01/01/2021","20","0.62","1"
"Viggiano","NO2","µg/m≥","01/01/2021","21","0.47","1"
"Viggiano","NO2","µg/m≥","01/01/2021","22","0.48","1"
"Viggiano","NO2","µg/m≥","01/01/2021","23","0.66","1"
"Viggiano","NO2","µg/m≥","01/01/2021","24","2.26","1"
"Viggiano","NO2","µg/m≥","02/01/2021","01","1.56","1"
"Viggiano","NO2","µg/m≥","02/01/2021","02","0.57","1"
"Viggiano","NO2","µg/m≥","02/01/2021","03","0.57","1"
"Viggiano","NO2","µg/m≥","02/01/2021","04","0.85","1"
"Viggiano","NO2","µg/m≥","02/01/2021","05","1.06","1"
"Viggiano","NO2","µg/m≥","02/01/2021","06","1.23","1"
"Viggiano","NO2","µg/m≥","02/01/2021","07","3.07","1"
"Viggiano","NO2","µg/m≥","02/01/2021","08","3.02","1"
"Viggiano","NO2","µg/m≥","02/01/2021","09","3.97","1"
"Viggiano","NO2","µg/m≥","02/01/2021","10","1.50","1"
"Viggiano","NO2","µg/m≥","02/01/2021","11","1.61","1"
"Viggiano","NO2","µg/m≥","02/01/2021","12","0.28","1"
"Viggiano","NO2","µg/m≥","02/01/2021","13","0.31","1"
"Viggiano","NO2","µg/m≥","02/01/2021","14","0.32","1"
"Viggiano","NO2","µg/m≥","02/01/2021","15","0.34","1"
"Viggiano","NO2","µg/m≥","02/01/2021","16","8.83","1"
"Viggiano","NO2","µg/m≥","02/01/2021","17","-9999","-1"
"Viggiano","NO2","µg/m≥","02/01/2021","18","1.18","1"
"Viggiano","NO2","µg/m≥","02/01/2021","19","1.60","1"
"Viggiano","NO2","µg/m≥","02/01/2021","20","2.41","1"
"Viggiano","NO2","µg/m≥","02/01/2021","21","3.77","1"
"Viggiano","NO2","µg/m≥","02/01/2021","22","3.76","1"
"Viggiano","NO2","µg/m≥","02/01/2021","23","1.14","1"
"Viggiano","NO2","µg/m≥","02/01/2021","24","0.75","1"
"Viggiano","NO2","µg/m≥","03/01/2021","01","1.72","1"
"Viggiano","NO2","µg/m≥","03/01/2021","02","1.83","1"
"Viggiano","NO2","µg/m≥","03/01/2021","03","1.75","1"
"Viggiano","NO2","µg/m≥","03/01/2021","04","1.27","1"
"Viggiano","NO2","µg/m≥","03/01/2021","05","6.43","1"
"Viggiano","NO2","µg/m≥","03/01/2021","06","5.26","1"
"Viggiano","NO2","µg/m≥","03/01/2021","07","1.60","1"
"Viggiano","NO2","µg/m≥","03/01/2021","08","1.33","1"
"Viggiano","NO2","µg/m≥","03/01/2021","09","0.94","1"
"Viggiano","NO2","µg/m≥","03/01/2021","10","1.94","1"
"Viggiano","NO2","µg/m≥","03/01/2021","11","3.92","1"
"Viggiano","NO2","µg/m≥","03/01/2021","12","0.77","1"
"Viggiano","NO2","µg/m≥","03/01/2021","13","1.92","1"
"Viggiano","NO2","µg/m≥","03/01/2021","14","0.69","1"
"Viggiano","NO2","µg/m≥","03/01/2021","15","0.69","1"
"Viggiano","NO2","µg/m≥","03/01/2021","16","-9999","-1"
"Viggiano","NO2","µg/m≥","03/01/2021","17","2.72","1"
"Viggiano","NO2","µg/m≥","03/01/2021","18","1.88","1"
"Viggiano","NO2","µg/m≥","03/01/2021","19","0.96","1"
"Viggiano","NO2","µg/m≥","03/01/2021","20","0.75","1"
