"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano","NO","ppb","01/01/2021","01","1.55","1"
"Viggiano","NO","ppb","01/01/2021","02","1.63","1"
"Viggiano","NO","ppb","01/01/2021","03","1.57","1"
"Viggiano","NO","ppb","01/01/2021","04","1.67","1"
"Viggiano","NO","ppb","01/01/2021","05","1.55","1"
"Viggiano","NO","ppb","01/01/2021","06","1.90","1"
"Viggiano","NO","ppb","01/01/2021","07","1.89","1"
"Viggiano","NO","ppb","01/01/2021","08","2.29","1"
"Viggiano","NO","ppb","01/01/2021","09","2.22","1"
"Viggiano","NO","ppb","01/01/2021","10","2.87","1"
"Viggiano","NO","ppb","01/01/2021","11","2.92","1"
"Viggiano","NO","ppb","01/01/2021","12","1.79","1"
"Viggiano","NO","ppb","01/01/2021","13","2.23","1"
"Viggiano","NO","ppb","01/01/2021","14","1.97","1"
"Viggiano","NO","ppb","01/01/2021","15","1.93","1"
"Viggiano","NO","ppb","01/01/2021","16","1.52","1"
"Viggiano","NO","ppb","01/01/2021","17","1.78","1"
"Viggiano","NO","ppb","01/01/2021","18","-9999","-1"
"Viggiano","NO","ppb","01/01/2021","19","1.89","1"
"Viggiano","NO","ppb","01/01/2021","20","1.85","1"
"Viggiano","NO","ppb","01/01/2021","21","1.92","1"
"Viggiano","NO","ppb","01/01/2021","22","1.87","1"
"Viggiano","NO","ppb","01/01/2021","23","1.75","1"
"Viggiano","NO","ppb","01/01/2021","24","1.65","1"
"Viggiano","NO","ppb","02/01/2021","01","1.66","1"
"Viggiano","NO","ppb","02/01/2021","02","1.68","1"
"Viggiano","NO","ppb","02/01/2021","03","1.63","1"
"Viggiano","NO","ppb","02/01/2021","04","1.55","1"
"Viggiano","NO","ppb","02/01/2021","05","1.30","1"
"Viggiano","NO","ppb","02/01/2021","06","1.79","1"
"Viggiano","NO","ppb","02/01/2021","07","2.00","1"
"Viggiano","NO","ppb","02/01/2021","08","2.08","1"
"Viggiano","NO","ppb","02/01/2021","09","2.11","1"
"Viggiano","NO","ppb","02/01/2021","10","1.76","1"
"Viggiano","NO","ppb","02/01/2021","11","1.83","1"
"Viggiano","NO","ppb","02/01/2021","12","1.86","1"
"Viggiano","NO","ppb","02/01/2021","13","1.64","1"
"Viggiano","NO","ppb","02/01/2021","14","1.61","1"
"Viggiano","NO","ppb","02/01/2021","15","1.72","1"
"Viggiano","NO","ppb","02/01/2021","16","4.12","1"
"Viggiano","NO","ppb","02/01/2021","17","-9999","-1"
"Viggiano","NO","ppb","02/01/2021","18","1.55","1"
"Viggiano","NO","ppb","02/01/2021","19","1.69","1"
"Viggiano","NO","ppb","02/01/2021","20","1.69","1"
"Viggiano","NO","ppb","02/01/2021","21","1.96","1"
"Viggiano","NO","ppb","02/01/2021","22","1.87","1"
"Viggiano","NO","ppb","02/01/2021","23","1.61","1"
"Viggiano","NO","ppb","02/01/2021","24","1.66","1"
"Viggiano","NO","ppb","03/01/2021","01","1.71","1"
"Viggiano","NO","ppb","03/01/2021","02","1.64","1"
"Viggiano","NO","ppb","03/01/2021","03","1.81","1"
"Viggiano","NO","ppb","03/01/2021","04","1.49","1"
"Viggiano","NO","ppb","03/01/2021","05","2.00","1"
"Viggiano","NO","ppb","03/01/2021","06","2.25","1"
"Viggiano","NO","ppb","03/01/2021","07","1.63","1"
"Viggiano","NO","ppb","03/01/2021","08","1.60","1"
"Viggiano","NO","ppb","03/01/2021","09","1.75","1"
"Viggiano","NO","ppb","03/01/2021","10","1.85","1"
"Viggiano","NO","ppb","03/01/2021","11","2.26","1"
"Viggiano","NO","ppb","03/01/2021","12","1.77","1"
"Viggiano","NO","ppb","03/01/2021","13","1.90","1"
"Viggiano","NO","ppb","03/01/2021","14","1.77","1"
"Viggiano","NO","ppb","03/01/2021","15","1.67","1"
"Viggiano","NO","ppb","03/01/2021","16","-9999","-1"
"Viggiano","NO","ppb","03/01/2021","17","1.91","1"
"Viggiano","NO","ppb","03/01/2021","18","1.69","1"
"Viggiano","NO","ppb","03/01/2021","19","1.47","1"
"Viggiano","NO","ppb","03/01/2021","20","1.66","1"
"Viggiano","NO","ppb","03/01/2021","21","2.00","1"
"Viggiano","NO","ppb","03/01/2021","22","2.12","1"
"Viggiano","NO","ppb","03/01/2021","23","1.56","1"
"Viggiano","NO","ppb","03/01/2021","24","1.58","1"
"Viggiano","NO","ppb","04/01/2021","01","1.55","1"
"Viggiano","NO","ppb","04/01/2021","02","2.08","1"
"Viggiano","NO","ppb","04/01/2021","03","1.35","1"
"Viggiano","NO","ppb","04/01/2021","04","1.55","1"
"Viggiano","NO","ppb","04/01/2021","05","1.42","1"
"Viggiano","NO","ppb","04/01/2021","06","1.79","1"
"Viggiano","NO","ppb","04/01/2021","07","1.55","1"
