"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano","NOx","ppb","01/01/2021","01","2.62","1"
"Viggiano","NOx","ppb","01/01/2021","02","2.20","1"
"Viggiano","NOx","ppb","01/01/2021","03","1.34","1"
"Viggiano","NOx","ppb","01/01/2021","04","1.05","1"
"Viggiano","NOx","ppb","01/01/2021","05","2.08","1"
"Viggiano","NOx","ppb","01/01/2021","06","1.87","1"
"Viggiano","NOx","ppb","01/01/2021","07","2.75","1"
"Viggiano","NOx","ppb","01/01/2021","08","3.57","1"
"Viggiano","NOx","ppb","01/01/2021","09","3.00","1"
"Viggiano","NOx","ppb","01/01/2021","10","4.46","1"
"Viggiano","NOx","ppb","01/01/2021","11","4.13","1"
"Viggiano","NOx","ppb","01/01/2021","12","2.25","1"
"Viggiano","NOx","ppb","01/01/2021","13","2.98","1"
"Viggiano","NOx","ppb","01/01/2021","14","1.42","1"
"Viggiano","NOx","ppb","01/01/2021","15","1.32","1"
"Viggiano","NOx","ppb","01/01/2021","16","0.87","1"
"Viggiano","NOx","ppb","01/01/2021","17","1.35","1"
"Viggiano","NOx","ppb","01/01/2021","18","-9999","-1"
"Viggiano","NOx","ppb","01/01/2021","19","2.30","1"
"Viggiano","NOx","ppb","01/01/2021","20","1.65","1"
"Viggiano","NOx","ppb","01/01/2021","21","1.65","1"
"Viggiano","NOx","ppb","01/01/2021","22","1.58","1"
"Viggiano","NOx","ppb","01/01/2021","23","1.58","1"
"Viggiano","NOx","ppb","01/01/2021","24","2.33","1"
"Viggiano","NOx","ppb","02/01/2021","01","1.97","1"
"Viggiano","NOx","ppb","02/01/2021","02","1.42","1"
"Viggiano","NOx","ppb","02/01/2021","03","1.39","1"
"Viggiano","NOx","ppb","02/01/2021","04","1.46","1"
"Viggiano","NOx","ppb","02/01/2021","05","1.34","1"
"Viggiano","NOx","ppb","02/01/2021","06","1.90","1"
"Viggiano","NOx","ppb","02/01/2021","07","3.10","1"
"Viggiano","NOx","ppb","02/01/2021","08","3.16","1"
"Viggiano","NOx","ppb","02/01/2021","09","3.69","1"
"Viggiano","NOx","ppb","02/01/2021","10","2.04","1"
"Viggiano","NOx","ppb","02/01/2021","11","2.17","1"
"Viggiano","NOx","ppb","02/01/2021","12","1.34","1"
"Viggiano","NOx","ppb","02/01/2021","13","1.20","1"
"Viggiano","NOx","ppb","02/01/2021","14","1.15","1"
"Viggiano","NOx","ppb","02/01/2021","15","1.28","1"
"Viggiano","NOx","ppb","02/01/2021","16","8.21","1"
"Viggiano","NOx","ppb","02/01/2021","17","-9999","-1"
"Viggiano","NOx","ppb","02/01/2021","18","1.66","1"
"Viggiano","NOx","ppb","02/01/2021","19","2.03","1"
"Viggiano","NOx","ppb","02/01/2021","20","2.44","1"
"Viggiano","NOx","ppb","02/01/2021","21","3.43","1"
"Viggiano","NOx","ppb","02/01/2021","22","3.34","1"
"Viggiano","NOx","ppb","02/01/2021","23","1.71","1"
"Viggiano","NOx","ppb","02/01/2021","24","1.54","1"
"Viggiano","NOx","ppb","03/01/2021","01","2.11","1"
"Viggiano","NOx","ppb","03/01/2021","02","2.10","1"
"Viggiano","NOx","ppb","03/01/2021","03","2.22","1"
"Viggiano","NOx","ppb","03/01/2021","04","1.65","1"
"Viggiano","NOx","ppb","03/01/2021","05","4.86","1"
"Viggiano","NOx","ppb","03/01/2021","06","4.49","1"
"Viggiano","NOx","ppb","03/01/2021","07","1.96","1"
"Viggiano","NOx","ppb","03/01/2021","08","1.79","1"
"Viggiano","NOx","ppb","03/01/2021","09","1.74","1"
"Viggiano","NOx","ppb","03/01/2021","10","2.36","1"
"Viggiano","NOx","ppb","03/01/2021","11","3.81","1"
"Viggiano","NOx","ppb","03/01/2021","12","1.62","1"
"Viggiano","NOx","ppb","03/01/2021","13","2.33","1"
"Viggiano","NOx","ppb","03/01/2021","14","1.62","1"
"Viggiano","NOx","ppb","03/01/2021","15","1.49","1"
"Viggiano","NOx","ppb","03/01/2021","16","-9999","-1"
"Viggiano","NOx","ppb","03/01/2021","17","2.83","1"
"Viggiano","NOx","ppb","03/01/2021","18","2.17","1"
"Viggiano","NOx","ppb","03/01/2021","19","1.47","1"
"Viggiano","NOx","ppb","03/01/2021","20","1.55","1"
"Viggiano","NOx","ppb","03/01/2021","21","4.12","1"
"Viggiano","NOx","ppb","03/01/2021","22","4.79","1"
"Viggiano","NOx","ppb","03/01/2021","23","3.43","1"
"Viggiano","NOx","ppb","03/01/2021","24","1.54","1"
"Viggiano","NOx","ppb","04/01/2021","01","1.23","1"
"Viggiano","NOx","ppb","04/01/2021","02","1.50","1"
"Viggiano","NOx","ppb","04/01/2021","03","1.15","1"
"Viggiano","NOx","ppb","04/01/2021","04","1.85","1"
"Viggiano","NOx","ppb","04/01/2021","05","1.50","1"
"Viggiano","NOx","ppb","04/01/2021","06","2.42","1"
"Viggiano","NOx","ppb","04/01/2021","07","1.88","1"
"Viggiano","NOx","ppb","04/01/2021","08","2.94","1"
"Viggiano","NOx","ppb","04/01/2021","09","8.02","1"
"Viggiano","NOx","ppb","04/01/2021","10","11.82","1"
"Viggiano","NOx","ppb","04/01/2021","11","8.57","1"
"Viggiano","NOx","ppb","04/01/2021","12","4.59","1"
"Viggiano","NOx","ppb","04/01/2021","13","7.73","1"
"Viggiano","NOx","ppb","04/01/2021","14","5.33","1"
"Viggiano","NOx","ppb","04/01/2021","15","-9999","-1"
"Viggiano","NOx","ppb","04/01/2021","16","9.41","1"
"Viggiano","NOx","ppb","04/01/2021","17","3.04","1"
"Viggiano","NOx","ppb","04/01/2021","18","4.98","1"
"Viggiano","NOx","ppb","04/01/2021","19","3.52","1"
"Viggiano","NOx","ppb","04/01/2021","20","2.54","1"
"Viggiano","NOx","ppb","04/01/2021","21","3.45","1"
"Viggiano","NOx","ppb","04/01/2021","22","4.36","1"
"Viggiano","NOx","ppb","04/01/2021","23","2.07","1"
"Viggiano","NOx","ppb","04/01/2021","24","2.19","1"
"Viggiano","NOx","ppb","05/01/2021","01","1.86","1"
"Viggiano","NOx","ppb","05/01/2021","02","1.85","1"
"Viggiano","NOx","ppb","05/01/2021","03","1.65","1"
"Viggiano","NOx","ppb","05/01/2021","04","3.22","1"
"Viggiano","NOx","ppb","05/01/2021","05","1.54","1"
"Viggiano","NOx","ppb","05/01/2021","06","2.23","1"
"Viggiano","NOx","ppb","05/01/2021","07","4.08","1"
"Viggiano","NOx","ppb","05/01/2021","08","7.08","1"
"Viggiano","NOx","ppb","05/01/2021","09","13.05","1"
"Viggiano","NOx","ppb","05/01/2021","10","8.60","1"
"Viggiano","NOx","ppb","05/01/2021","11","5.86","1"
"Viggiano","NOx","ppb","05/01/2021","12","6.07","1"
"Viggiano","NOx","ppb","05/01/2021","13","2.66","1"
"Viggiano","NOx","ppb","05/01/2021","14","-9999","-1"
"Viggiano","NOx","ppb","05/01/2021","15","-9999","-1"
"Viggiano","NOx","ppb","05/01/2021","16","1.91","1"
"Viggiano","NOx","ppb","05/01/2021","17","2.94","1"
"Viggiano","NOx","ppb","05/01/2021","18","4.19","1"
"Viggiano","NOx","ppb","05/01/2021","19","2.42","1"
"Viggiano","NOx","ppb","05/01/2021","20","1.99","1"
"Viggiano","NOx","ppb","05/01/2021","21","-9999","-1"
"Viggiano","NOx","ppb","05/01/2021","22","2.48","1"
"Viggiano","NOx","ppb","05/01/2021","23","2.60","1"
"Viggiano","NOx","ppb","05/01/2021","24","3.45","1"
"Viggiano","NOx","ppb","06/01/2021","01","4.76","1"
"Viggiano","NOx","ppb","06/01/2021","02","9.45","1"
"Viggiano","NOx","ppb","06/01/2021","03","6.94","1"
"Viggiano","NOx","ppb","06/01/2021","04","2.32","1"
"Viggiano","NOx","ppb","06/01/2021","05","3.20","1"
"Viggiano","NOx","ppb","06/01/2021","06","5.43","1"
"Viggiano","NOx","ppb","06/01/2021","07","8.26","1"
"Viggiano","NOx","ppb","06/01/2021","08","6.16","1"
"Viggiano","NOx","ppb","06/01/2021","09","2.03","1"
"Viggiano","NOx","ppb","06/01/2021","10","1.55","1"
"Viggiano","NOx","ppb","06/01/2021","11","3.84","1"
"Viggiano","NOx","ppb","06/01/2021","12","3.87","1"
"Viggiano","NOx","ppb","06/01/2021","13","3.34","1"
"Viggiano","NOx","ppb","06/01/2021","14","9.20","1"
"Viggiano","NOx","ppb","06/01/2021","15","2.89","1"
"Viggiano","NOx","ppb","06/01/2021","16","5.53","1"
"Viggiano","NOx","ppb","06/01/2021","17","2.71","1"
"Viggiano","NOx","ppb","06/01/2021","18","7.49","1"
"Viggiano","NOx","ppb","06/01/2021","19","6.86","1"
"Viggiano","NOx","ppb","06/01/2021","20","-9999","-1"
"Viggiano","NOx","ppb","06/01/2021","21","12.67","1"
"Viggiano","NOx","ppb","06/01/2021","22","7.96","1"
"Viggiano","NOx","ppb","06/01/2021","23","3.13","1"
"Viggiano","NOx","ppb","06/01/2021","24","7.90","1"
"Viggiano","NOx","ppb","07/01/2021","01","8.07","1"
"Viggiano","NOx","ppb","07/01/2021","02","1.89","1"
"Viggiano","NOx","ppb","07/01/2021","03","1.04","1"
"Viggiano","NOx","ppb","07/01/2021","04","2.07","1"
