"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano","O3","µg/m≥","01/01/2021","01","39.34","1"
"Viggiano","O3","µg/m≥","01/01/2021","02","42.92","1"
"Viggiano","O3","µg/m≥","01/01/2021","03","45.71","1"
"Viggiano","O3","µg/m≥","01/01/2021","04","48.39","1"
"Viggiano","O3","µg/m≥","01/01/2021","05","46.11","1"
"Viggiano","O3","µg/m≥","01/01/2021","06","43.55","1"
"Viggiano","O3","µg/m≥","01/01/2021","07","39.86","1"
"Viggiano","O3","µg/m≥","01/01/2021","08","33.98","1"
"Viggiano","O3","µg/m≥","01/01/2021","09","36.05","1"
"Viggiano","O3","µg/m≥","01/01/2021","10","47.34","1"
"Viggiano","O3","µg/m≥","01/01/2021","11","55.20","1"
"Viggiano","O3","µg/m≥","01/01/2021","12","61.16","1"
"Viggiano","O3","µg/m≥","01/01/2021","13","68.57","1"
"Viggiano","O3","µg/m≥","01/01/2021","14","71.76","1"
"Viggiano","O3","µg/m≥","01/01/2021","15","73.19","1"
"Viggiano","O3","µg/m≥","01/01/2021","16","73.26","1"
"Viggiano","O3","µg/m≥","01/01/2021","17","66.16","1"
"Viggiano","O3","µg/m≥","01/01/2021","18","52.29","1"
"Viggiano","O3","µg/m≥","01/01/2021","19","50.45","1"
"Viggiano","O3","µg/m≥","01/01/2021","20","49.86","1"
"Viggiano","O3","µg/m≥","01/01/2021","21","45.27","1"
"Viggiano","O3","µg/m≥","01/01/2021","22","45.67","1"
"Viggiano","O3","µg/m≥","01/01/2021","23","42.36","1"
"Viggiano","O3","µg/m≥","01/01/2021","24","28.17","1"
"Viggiano","O3","µg/m≥","02/01/2021","01","26.52","1"
"Viggiano","O3","µg/m≥","02/01/2021","02","33.05","1"
"Viggiano","O3","µg/m≥","02/01/2021","03","33.58","1"
"Viggiano","O3","µg/m≥","02/01/2021","04","31.97","1"
"Viggiano","O3","µg/m≥","02/01/2021","05","27.24","1"
"Viggiano","O3","µg/m≥","02/01/2021","06","36.68","1"
"Viggiano","O3","µg/m≥","02/01/2021","07","31.39","1"
"Viggiano","O3","µg/m≥","02/01/2021","08","35.95","1"
"Viggiano","O3","µg/m≥","02/01/2021","09","43.87","1"
"Viggiano","O3","µg/m≥","02/01/2021","10","55.29","1"
"Viggiano","O3","µg/m≥","02/01/2021","11","58.50","1"
"Viggiano","O3","µg/m≥","02/01/2021","12","73.61","1"
"Viggiano","O3","µg/m≥","02/01/2021","13","74.09","1"
"Viggiano","O3","µg/m≥","02/01/2021","14","78.02","1"
"Viggiano","O3","µg/m≥","02/01/2021","15","80.56","1"
"Viggiano","O3","µg/m≥","02/01/2021","16","70.66","1"
"Viggiano","O3","µg/m≥","02/01/2021","17","78.56","1"
"Viggiano","O3","µg/m≥","02/01/2021","18","70.36","1"
"Viggiano","O3","µg/m≥","02/01/2021","19","60.38","1"
"Viggiano","O3","µg/m≥","02/01/2021","20","56.24","1"
"Viggiano","O3","µg/m≥","02/01/2021","21","42.71","1"
"Viggiano","O3","µg/m≥","02/01/2021","22","34.02","1"
"Viggiano","O3","µg/m≥","02/01/2021","23","42.43","1"
"Viggiano","O3","µg/m≥","02/01/2021","24","42.66","1"
"Viggiano","O3","µg/m≥","03/01/2021","01","36.07","1"
"Viggiano","O3","µg/m≥","03/01/2021","02","35.79","1"
"Viggiano","O3","µg/m≥","03/01/2021","03","44.32","1"
"Viggiano","O3","µg/m≥","03/01/2021","04","60.36","1"
"Viggiano","O3","µg/m≥","03/01/2021","05","40.07","1"
"Viggiano","O3","µg/m≥","03/01/2021","06","60.30","1"
"Viggiano","O3","µg/m≥","03/01/2021","07","73.29","1"
"Viggiano","O3","µg/m≥","03/01/2021","08","61.70","1"
"Viggiano","O3","µg/m≥","03/01/2021","09","55.84","1"
"Viggiano","O3","µg/m≥","03/01/2021","10","60.84","1"
"Viggiano","O3","µg/m≥","03/01/2021","11","62.03","1"
"Viggiano","O3","µg/m≥","03/01/2021","12","69.59","1"
"Viggiano","O3","µg/m≥","03/01/2021","13","73.44","1"
"Viggiano","O3","µg/m≥","03/01/2021","14","80.75","1"
"Viggiano","O3","µg/m≥","03/01/2021","15","78.08","1"
"Viggiano","O3","µg/m≥","03/01/2021","16","72.04","1"
"Viggiano","O3","µg/m≥","03/01/2021","17","66.01","1"
"Viggiano","O3","µg/m≥","03/01/2021","18","60.33","1"
"Viggiano","O3","µg/m≥","03/01/2021","19","58.21","1"
"Viggiano","O3","µg/m≥","03/01/2021","20","55.36","1"
"Viggiano","O3","µg/m≥","03/01/2021","21","43.45","1"
"Viggiano","O3","µg/m≥","03/01/2021","22","38.31","1"
"Viggiano","O3","µg/m≥","03/01/2021","23","46.84","1"
"Viggiano","O3","µg/m≥","03/01/2021","24","72.77","1"
"Viggiano","O3","µg/m≥","04/01/2021","01","75.30","1"
"Viggiano","O3","µg/m≥","04/01/2021","02","71.03","1"
"Viggiano","O3","µg/m≥","04/01/2021","03","66.77","1"
"Viggiano","O3","µg/m≥","04/01/2021","04","58.74","1"
"Viggiano","O3","µg/m≥","04/01/2021","05","49.61","1"
"Viggiano","O3","µg/m≥","04/01/2021","06","48.52","1"
"Viggiano","O3","µg/m≥","04/01/2021","07","49.12","1"
"Viggiano","O3","µg/m≥","04/01/2021","08","44.96","1"
"Viggiano","O3","µg/m≥","04/01/2021","09","31.92","1"
"Viggiano","O3","µg/m≥","04/01/2021","10","31.56","1"
"Viggiano","O3","µg/m≥","04/01/2021","11","38.78","1"
"Viggiano","O3","µg/m≥","04/01/2021","12","52.99","1"
"Viggiano","O3","µg/m≥","04/01/2021","13","63.27","1"
"Viggiano","O3","µg/m≥","04/01/2021","14","65.07","1"
"Viggiano","O3","µg/m≥","04/01/2021","15","59.52","1"
"Viggiano","O3","µg/m≥","04/01/2021","16","63.37","1"
"Viggiano","O3","µg/m≥","04/01/2021","17","70.85","1"
"Viggiano","O3","µg/m≥","04/01/2021","18","62.82","1"
"Viggiano","O3","µg/m≥","04/01/2021","19","70.61","1"
"Viggiano","O3","µg/m≥","04/01/2021","20","65.19","1"
"Viggiano","O3","µg/m≥","04/01/2021","21","56.05","1"
"Viggiano","O3","µg/m≥","04/01/2021","22","51.63","1"
"Viggiano","O3","µg/m≥","04/01/2021","23","45.80","1"
"Viggiano","O3","µg/m≥","04/01/2021","24","54.92","1"
"Viggiano","O3","µg/m≥","05/01/2021","01","52.08","1"
"Viggiano","O3","µg/m≥","05/01/2021","02","45.82","1"
"Viggiano","O3","µg/m≥","05/01/2021","03","42.90","1"
"Viggiano","O3","µg/m≥","05/01/2021","04","36.80","1"
"Viggiano","O3","µg/m≥","05/01/2021","05","42.92","1"
"Viggiano","O3","µg/m≥","05/01/2021","06","36.48","1"
"Viggiano","O3","µg/m≥","05/01/2021","07","28.79","1"
"Viggiano","O3","µg/m≥","05/01/2021","08","20.16","1"
"Viggiano","O3","µg/m≥","05/01/2021","09","21.95","1"
