"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","01","1.750","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","02","1.970","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","03","1.800","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","04","1.820","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","05","1.680","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","06","1.610","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","07","1.880","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","08","17.890","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","09","104.920","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","10","223.520","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","11","317.830","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","12","149.230","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","13","223.160","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","14","134.810","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","15","206.520","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","16","49.400","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","17","5.830","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","18","1.770","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","19","1.870","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","20","1.690","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","21","1.810","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","22","1.900","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","23","1.750","1"
"Viggiano","Radiazione_Globale","W/m≤","01/01/2021","24","1.670","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","01","1.690","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","02","1.680","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","03","1.880","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","04","1.890","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","05","1.600","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","06","1.850","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","07","1.660","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","08","13.070","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","09","99.000","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","10","101.770","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","11","35.640","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","12","73.170","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","13","67.580","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","14","146.520","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","15","56.900","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","16","3.300","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","17","8.460","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","18","1.520","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","19","1.470","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","20","1.600","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","21","1.700","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","22","1.670","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","23","1.740","1"
"Viggiano","Radiazione_Globale","W/m≤","02/01/2021","24","1.750","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","01","2.000","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","02","1.490","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","03","1.970","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","04","1.980","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","05","1.830","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","06","1.800","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","07","1.650","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","08","3.050","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","09","48.440","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","10","220.020","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","11","116.750","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","12","37.980","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","13","39.060","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","14","86.500","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","15","71.310","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","16","29.140","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","17","20.540","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","18","1.890","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","19","1.870","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","20","1.790","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","21","2.140","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","22","1.920","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","23","2.040","1"
"Viggiano","Radiazione_Globale","W/m≤","03/01/2021","24","1.910","1"
"Viggiano","Radiazione_Globale","W/m≤","04/01/2021","01","1.930","1"
"Viggiano","Radiazione_Globale","W/m≤","04/01/2021","02","1.800","1"
"Viggiano","Radiazione_Globale","W/m≤","04/01/2021","03","2.140","1"
