"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano","SO2","µg/m≥","01/01/2021","01","6.96","1"
"Viggiano","SO2","µg/m≥","01/01/2021","02","6.67","1"
"Viggiano","SO2","µg/m≥","01/01/2021","03","8.75","1"
"Viggiano","SO2","µg/m≥","01/01/2021","04","5.73","1"
"Viggiano","SO2","µg/m≥","01/01/2021","05","6.49","1"
"Viggiano","SO2","µg/m≥","01/01/2021","06","6.06","1"
"Viggiano","SO2","µg/m≥","01/01/2021","07","6.90","1"
"Viggiano","SO2","µg/m≥","01/01/2021","08","8.52","1"
"Viggiano","SO2","µg/m≥","01/01/2021","09","6.07","1"
"Viggiano","SO2","µg/m≥","01/01/2021","10","7.12","1"
"Viggiano","SO2","µg/m≥","01/01/2021","11","7.99","1"
"Viggiano","SO2","µg/m≥","01/01/2021","12","7.08","1"
"Viggiano","SO2","µg/m≥","01/01/2021","13","7.45","1"
"Viggiano","SO2","µg/m≥","01/01/2021","14","6.52","1"
"Viggiano","SO2","µg/m≥","01/01/2021","15","7.41","1"
"Viggiano","SO2","µg/m≥","01/01/2021","16","8.46","1"
"Viggiano","SO2","µg/m≥","01/01/2021","17","7.35","1"
"Viggiano","SO2","µg/m≥","01/01/2021","18","5.77","1"
"Viggiano","SO2","µg/m≥","01/01/2021","19","6.03","1"
"Viggiano","SO2","µg/m≥","01/01/2021","20","6.39","1"
"Viggiano","SO2","µg/m≥","01/01/2021","21","6.05","1"
"Viggiano","SO2","µg/m≥","01/01/2021","22","6.02","1"
"Viggiano","SO2","µg/m≥","01/01/2021","23","6.18","1"
"Viggiano","SO2","µg/m≥","01/01/2021","24","7.82","1"
"Viggiano","SO2","µg/m≥","02/01/2021","01","6.44","1"
"Viggiano","SO2","µg/m≥","02/01/2021","02","6.46","1"
"Viggiano","SO2","µg/m≥","02/01/2021","03","6.56","1"
"Viggiano","SO2","µg/m≥","02/01/2021","04","7.78","1"
"Viggiano","SO2","µg/m≥","02/01/2021","05","5.56","1"
"Viggiano","SO2","µg/m≥","02/01/2021","06","6.28","1"
"Viggiano","SO2","µg/m≥","02/01/2021","07","6.65","1"
"Viggiano","SO2","µg/m≥","02/01/2021","08","7.05","1"
"Viggiano","SO2","µg/m≥","02/01/2021","09","7.16","1"
"Viggiano","SO2","µg/m≥","02/01/2021","10","7.19","1"
"Viggiano","SO2","µg/m≥","02/01/2021","11","8.10","1"
"Viggiano","SO2","µg/m≥","02/01/2021","12","9.32","1"
"Viggiano","SO2","µg/m≥","02/01/2021","13","8.05","1"
"Viggiano","SO2","µg/m≥","02/01/2021","14","9.62","1"
"Viggiano","SO2","µg/m≥","02/01/2021","15","8.40","1"
"Viggiano","SO2","µg/m≥","02/01/2021","16","8.18","1"
"Viggiano","SO2","µg/m≥","02/01/2021","17","7.82","1"
"Viggiano","SO2","µg/m≥","02/01/2021","18","7.44","1"
"Viggiano","SO2","µg/m≥","02/01/2021","19","7.12","1"
"Viggiano","SO2","µg/m≥","02/01/2021","20","6.77","1"
"Viggiano","SO2","µg/m≥","02/01/2021","21","7.08","1"
"Viggiano","SO2","µg/m≥","02/01/2021","22","8.32","1"
"Viggiano","SO2","µg/m≥","02/01/2021","23","6.76","1"
"Viggiano","SO2","µg/m≥","02/01/2021","24","7.79","1"
"Viggiano","SO2","µg/m≥","03/01/2021","01","7.36","1"
"Viggiano","SO2","µg/m≥","03/01/2021","02","7.60","1"
"Viggiano","SO2","µg/m≥","03/01/2021","03","6.68","1"
"Viggiano","SO2","µg/m≥","03/01/2021","04","6.99","1"
"Viggiano","SO2","µg/m≥","03/01/2021","05","5.94","1"
"Viggiano","SO2","µg/m≥","03/01/2021","06","8.35","1"
"Viggiano","SO2","µg/m≥","03/01/2021","07","7.59","1"
"Viggiano","SO2","µg/m≥","03/01/2021","08","9.18","1"
"Viggiano","SO2","µg/m≥","03/01/2021","09","6.98","1"
"Viggiano","SO2","µg/m≥","03/01/2021","10","7.19","1"
"Viggiano","SO2","µg/m≥","03/01/2021","11","8.13","1"
"Viggiano","SO2","µg/m≥","03/01/2021","12","7.61","1"
"Viggiano","SO2","µg/m≥","03/01/2021","13","6.62","1"
"Viggiano","SO2","µg/m≥","03/01/2021","14","7.26","1"
"Viggiano","SO2","µg/m≥","03/01/2021","15","6.83","1"
"Viggiano","SO2","µg/m≥","03/01/2021","16","6.95","1"
"Viggiano","SO2","µg/m≥","03/01/2021","17","9.94","1"
"Viggiano","SO2","µg/m≥","03/01/2021","18","6.21","1"
"Viggiano","SO2","µg/m≥","03/01/2021","19","7.85","1"
"Viggiano","SO2","µg/m≥","03/01/2021","20","6.89","1"
"Viggiano","SO2","µg/m≥","03/01/2021","21","7.12","1"
"Viggiano","SO2","µg/m≥","03/01/2021","22","7.87","1"
"Viggiano","SO2","µg/m≥","03/01/2021","23","8.49","1"
"Viggiano","SO2","µg/m≥","03/01/2021","24","7.48","1"
"Viggiano","SO2","µg/m≥","04/01/2021","01","6.65","1"
"Viggiano","SO2","µg/m≥","04/01/2021","02","7.48","1"
"Viggiano","SO2","µg/m≥","04/01/2021","03","6.62","1"
"Viggiano","SO2","µg/m≥","04/01/2021","04","7.17","1"
"Viggiano","SO2","µg/m≥","04/01/2021","05","7.27","1"
"Viggiano","SO2","µg/m≥","04/01/2021","06","7.06","1"
"Viggiano","SO2","µg/m≥","04/01/2021","07","7.49","1"
"Viggiano","SO2","µg/m≥","04/01/2021","08","7.92","1"
"Viggiano","SO2","µg/m≥","04/01/2021","09","5.00","1"
"Viggiano","SO2","µg/m≥","04/01/2021","10","6.28","1"
"Viggiano","SO2","µg/m≥","04/01/2021","11","7.70","1"
"Viggiano","SO2","µg/m≥","04/01/2021","12","9.97","1"
"Viggiano","SO2","µg/m≥","04/01/2021","13","9.04","1"
"Viggiano","SO2","µg/m≥","04/01/2021","14","6.25","1"
"Viggiano","SO2","µg/m≥","04/01/2021","15","9.12","1"
"Viggiano","SO2","µg/m≥","04/01/2021","16","9.77","1"
"Viggiano","SO2","µg/m≥","04/01/2021","17","7.42","1"
"Viggiano","SO2","µg/m≥","04/01/2021","18","6.24","1"
"Viggiano","SO2","µg/m≥","04/01/2021","19","6.12","1"
"Viggiano","SO2","µg/m≥","04/01/2021","20","6.27","1"
"Viggiano","SO2","µg/m≥","04/01/2021","21","7.82","1"
"Viggiano","SO2","µg/m≥","04/01/2021","22","7.65","1"
"Viggiano","SO2","µg/m≥","04/01/2021","23","8.82","1"
"Viggiano","SO2","µg/m≥","04/01/2021","24","7.25","1"
"Viggiano","SO2","µg/m≥","05/01/2021","01","7.65","1"
"Viggiano","SO2","µg/m≥","05/01/2021","02","7.41","1"
"Viggiano","SO2","µg/m≥","05/01/2021","03","7.52","1"
"Viggiano","SO2","µg/m≥","05/01/2021","04","8.29","1"
"Viggiano","SO2","µg/m≥","05/01/2021","05","6.80","1"
"Viggiano","SO2","µg/m≥","05/01/2021","06","5.90","1"
"Viggiano","SO2","µg/m≥","05/01/2021","07","6.45","1"
"Viggiano","SO2","µg/m≥","05/01/2021","08","6.52","1"
"Viggiano","SO2","µg/m≥","05/01/2021","09","8.17","1"
"Viggiano","SO2","µg/m≥","05/01/2021","10","7.41","1"
"Viggiano","SO2","µg/m≥","05/01/2021","11","8.87","1"
