"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Viggiano1","CO","mg/m³","01/01/2021","01","0.47","1"
"Viggiano1","CO","mg/m³","01/01/2021","02","0.46","1"
"Viggiano1","CO","mg/m³","01/01/2021","03","0.48","1"
"Viggiano1","CO","mg/m³","01/01/2021","04","0.46","1"
"Viggiano1","CO","mg/m³","01/01/2021","05","0.44","1"
"Viggiano1","CO","mg/m³","01/01/2021","06","0.46","1"
"Viggiano1","CO","mg/m³","01/01/2021","07","0.46","1"
"Viggiano1","CO","mg/m³","01/01/2021","08","0.43","1"
"Viggiano1","CO","mg/m³","01/01/2021","09","0.42","1"
"Viggiano1","CO","mg/m³","01/01/2021","10","0.41","1"
"Viggiano1","CO","mg/m³","01/01/2021","11","0.41","1"
"Viggiano1","CO","mg/m³","01/01/2021","12","0.41","1"
"Viggiano1","CO","mg/m³","01/01/2021","13","0.41","1"
"Viggiano1","CO","mg/m³","01/01/2021","14","0.40","1"
"Viggiano1","CO","mg/m³","01/01/2021","15","0.37","1"
"Viggiano1","CO","mg/m³","01/01/2021","16","0.28","1"
"Viggiano1","CO","mg/m³","01/01/2021","17","0.31","1"
"Viggiano1","CO","mg/m³","01/01/2021","18","0.40","1"
"Viggiano1","CO","mg/m³","01/01/2021","19","0.42","1"
"Viggiano1","CO","mg/m³","01/01/2021","20","0.33","1"
"Viggiano1","CO","mg/m³","01/01/2021","21","0.34","1"
"Viggiano1","CO","mg/m³","01/01/2021","22","0.38","1"
"Viggiano1","CO","mg/m³","01/01/2021","23","0.33","1"
"Viggiano1","CO","mg/m³","01/01/2021","24","0.33","1"
"Viggiano1","CO","mg/m³","02/01/2021","01","0.35","1"
"Viggiano1","CO","mg/m³","02/01/2021","02","0.36","1"
"Viggiano1","CO","mg/m³","02/01/2021","03","0.37","1"
"Viggiano1","CO","mg/m³","02/01/2021","04","0.34","1"
"Viggiano1","CO","mg/m³","02/01/2021","05","0.34","1"
"Viggiano1","CO","mg/m³","02/01/2021","06","0.34","1"
"Viggiano1","CO","mg/m³","02/01/2021","07","0.31","1"
