"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Viggiano1","NMHC","ugC/m³","01/01/2021","01","25.120","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","02","24.640","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","03","24.290","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","04","22.350","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","05","21.520","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","06","22.710","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","07","22.890","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","08","21.430","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","09","20.330","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","10","21.080","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","11","19.950","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","12","21.700","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","13","18.870","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","14","20.020","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","15","20.240","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","16","27.390","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","17","23.620","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","18","33.860","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","19","32.810","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","20","23.500","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","21","22.690","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","22","25.330","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","23","22.850","1"
"Viggiano1","NMHC","ugC/m³","01/01/2021","24","28.910","1"
"Viggiano1","NMHC","ugC/m³","02/01/2021","01","23.660","1"
"Viggiano1","NMHC","ugC/m³","02/01/2021","02","30.570","1"
"Viggiano1","NMHC","ugC/m³","02/01/2021","03","35.960","1"
"Viggiano1","NMHC","ugC/m³","02/01/2021","04","21.350","1"
"Viggiano1","NMHC","ugC/m³","02/01/2021","05","21.220","1"
"Viggiano1","NMHC","ugC/m³","02/01/2021","06","17.820","1"
"Viggiano1","NMHC","ugC/m³","02/01/2021","07","18.680","1"
"Viggiano1","NMHC","ugC/m³","02/01/2021","08","19.340","1"
"Viggiano1","NMHC","ugC/m³","02/01/2021","09","18.290","1"
"Viggiano1","NMHC","ugC/m³","02/01/2021","10","18.650","1"
