"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano1","NO2","µg/m≥","01/01/2021","01","1.77","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","02","1.61","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","03","1.59","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","04","1.14","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","05","1.01","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","06","1.66","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","07","1.29","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","08","1.38","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","09","1.20","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","10","1.53","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","11","-9999","-1"
"Viggiano1","NO2","µg/m≥","01/01/2021","12","1.36","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","13","1.14","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","14","1.37","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","15","0.97","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","16","1.27","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","17","2.32","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","18","3.87","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","19","4.65","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","20","2.28","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","21","1.65","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","22","1.37","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","23","1.71","1"
"Viggiano1","NO2","µg/m≥","01/01/2021","24","6.01","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","01","2.64","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","02","5.11","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","03","10.95","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","04","1.63","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","05","0.94","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","06","0.94","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","07","0.99","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","08","0.87","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","09","1.04","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","10","1.47","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","11","1.34","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","12","1.30","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","13","1.63","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","14","1.78","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","15","1.96","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","16","2.16","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","17","3.06","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","18","5.47","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","19","4.09","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","20","4.71","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","21","2.97","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","22","2.22","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","23","1.93","1"
"Viggiano1","NO2","µg/m≥","02/01/2021","24","1.67","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","01","1.57","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","02","1.16","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","03","6.58","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","04","8.19","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","05","1.11","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","06","0.94","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","07","1.15","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","08","1.69","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","09","2.58","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","10","1.69","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","11","1.61","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","12","2.03","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","13","2.85","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","14","3.22","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","15","2.02","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","16","1.63","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","17","3.66","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","18","4.85","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","19","10.96","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","20","8.41","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","21","3.89","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","22","0.71","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","23","1.13","1"
"Viggiano1","NO2","µg/m≥","03/01/2021","24","0.60","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","01","0.27","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","02","0.22","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","03","1.05","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","04","1.12","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","05","1.32","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","06","0.51","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","07","0.83","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","08","3.13","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","09","5.02","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","10","3.87","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","11","2.15","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","12","3.75","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","13","1.47","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","14","0.51","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","15","0.38","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","16","0.51","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","17","1.28","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","18","2.37","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","19","3.12","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","20","1.80","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","21","3.46","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","22","1.68","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","23","1.25","1"
"Viggiano1","NO2","µg/m≥","04/01/2021","24","0.40","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","01","0.24","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","02","0.23","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","03","0.27","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","04","0.23","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","05","0.21","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","06","0.31","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","07","0.50","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","08","2.67","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","09","3.58","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","10","5.30","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","11","1.99","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","12","2.32","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","13","2.37","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","14","1.19","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","15","1.27","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","16","0.72","1"
"Viggiano1","NO2","µg/m≥","05/01/2021","17","1.54","1"
