"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano1","NOx","µg/m≥","01/01/2021","01","3.08","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","02","3.50","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","03","3.08","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","04","2.62","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","05","2.74","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","06","3.39","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","07","2.46","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","08","2.55","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","09","2.66","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","10","3.22","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","11","-9999","-1"
"Viggiano1","NOx","µg/m≥","01/01/2021","12","2.46","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","13","2.60","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","14","2.65","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","15","2.32","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","16","2.18","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","17","3.74","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","18","4.87","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","19","6.18","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","20","3.51","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","21","3.19","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","22","1.83","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","23","2.06","1"
"Viggiano1","NOx","µg/m≥","01/01/2021","24","6.32","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","01","2.90","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","02","5.48","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","03","11.14","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","04","1.97","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","05","1.23","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","06","1.26","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","07","1.27","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","08","1.20","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","09","1.35","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","10","2.09","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","11","1.68","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","12","1.79","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","13","2.12","1"
"Viggiano1","NOx","µg/m≥","02/01/2021","14","2.43","1"
