"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Viggiano1","PM10","µg/m³","01/01/2021","9.30","1"
"Viggiano1","PM10","µg/m³","02/01/2021","14.77","1"
"Viggiano1","PM10","µg/m³","03/01/2021","18.32","1"
"Viggiano1","PM10","µg/m³","04/01/2021","9.32","1"
"Viggiano1","PM10","µg/m³","05/01/2021","7.98","1"
"Viggiano1","PM10","µg/m³","06/01/2021","17.17","1"
"Viggiano1","PM10","µg/m³","07/01/2021","18.55","1"
"Viggiano1","PM10","µg/m³","08/01/2021","26.03","1"
"Viggiano1","PM10","µg/m³","09/01/2021","8.64","1"
"Viggiano1","PM10","µg/m³","10/01/2021","19.53","1"
"Viggiano1","PM10","µg/m³","11/01/2021","26.96","1"
"Viggiano1","PM10","µg/m³","12/01/2021","11.02","1"
"Viggiano1","PM10","µg/m³","13/01/2021","16.67","1"
"Viggiano1","PM10","µg/m³","14/01/2021","13.01","1"
"Viggiano1","PM10","µg/m³","15/01/2021","6.91","1"
"Viggiano1","PM10","µg/m³","16/01/2021","10.57","1"
"Viggiano1","PM10","µg/m³","17/01/2021","8.36","1"
"Viggiano1","PM10","µg/m³","18/01/2021","10.17","1"
"Viggiano1","PM10","µg/m³","19/01/2021","9.94","1"
"Viggiano1","PM10","µg/m³","20/01/2021","7.97","1"
"Viggiano1","PM10","µg/m³","21/01/2021","15.99","1"
"Viggiano1","PM10","µg/m³","22/01/2021","19.76","1"
"Viggiano1","PM10","µg/m³","23/01/2021","12.71","1"
"Viggiano1","PM10","µg/m³","24/01/2021","9.21","1"
"Viggiano1","PM10","µg/m³","25/01/2021","9.21","1"
"Viggiano1","PM10","µg/m³","26/01/2021","7.98","1"
"Viggiano1","PM10","µg/m³","27/01/2021","12.46","1"
"Viggiano1","PM10","µg/m³","28/01/2021","13.52","1"
"Viggiano1","PM10","µg/m³","29/01/2021","6.23","1"
"Viggiano1","PM10","µg/m³","30/01/2021","17.48","1"
"Viggiano1","PM10","µg/m³","31/01/2021","7.94","1"
"Viggiano1","PM10","µg/m³","01/02/2021","5.83","1"
"Viggiano1","PM10","µg/m³","02/02/2021","10.98","1"
"Viggiano1","PM10","µg/m³","03/02/2021","10.88","1"
"Viggiano1","PM10","µg/m³","04/02/2021","13.82","1"
"Viggiano1","PM10","µg/m³","05/02/2021","11.51","1"
"Viggiano1","PM10","µg/m³","06/02/2021","37.59","1"
"Viggiano1","PM10","µg/m³","07/02/2021","36.94","1"
"Viggiano1","PM10","µg/m³","08/02/2021","11.27","1"
"Viggiano1","PM10","µg/m³","09/02/2021","-9999","-1"
"Viggiano1","PM10","µg/m³","10/02/2021","11.75","1"
"Viggiano1","PM10","µg/m³","11/02/2021","10.56","1"
"Viggiano1","PM10","µg/m³","12/02/2021","14.15","1"
"Viggiano1","PM10","µg/m³","13/02/2021","4.73","1"
"Viggiano1","PM10","µg/m³","14/02/2021","13.23","1"
"Viggiano1","PM10","µg/m³","15/02/2021","13.92","1"
"Viggiano1","PM10","µg/m³","16/02/2021","9.30","1"
"Viggiano1","PM10","µg/m³","17/02/2021","11.23","1"
"Viggiano1","PM10","µg/m³","18/02/2021","14.16","1"
"Viggiano1","PM10","µg/m³","19/02/2021","14.92","1"
"Viggiano1","PM10","µg/m³","20/02/2021","14.89","1"
"Viggiano1","PM10","µg/m³","21/02/2021","21.45","1"
"Viggiano1","PM10","µg/m³","22/02/2021","21.04","1"
"Viggiano1","PM10","µg/m³","23/02/2021","33.90","1"
"Viggiano1","PM10","µg/m³","24/02/2021","53.47","1"
"Viggiano1","PM10","µg/m³","25/02/2021","29.40","1"
"Viggiano1","PM10","µg/m³","26/02/2021","38.31","1"
"Viggiano1","PM10","µg/m³","27/02/2021","41.96","1"
"Viggiano1","PM10","µg/m³","28/02/2021","39.85","1"
"Viggiano1","PM10","µg/m³","01/03/2021","22.26","1"
"Viggiano1","PM10","µg/m³","02/03/2021","24.87","1"
"Viggiano1","PM10","µg/m³","03/03/2021","23.39","1"
"Viggiano1","PM10","µg/m³","04/03/2021","19.79","1"
"Viggiano1","PM10","µg/m³","05/03/2021","25.89","1"
"Viggiano1","PM10","µg/m³","06/03/2021","25.96","1"
"Viggiano1","PM10","µg/m³","07/03/2021","19.85","1"
"Viggiano1","PM10","µg/m³","08/03/2021","25.56","1"
"Viggiano1","PM10","µg/m³","09/03/2021","30.89","1"
"Viggiano1","PM10","µg/m³","10/03/2021","14.73","1"
"Viggiano1","PM10","µg/m³","11/03/2021","15.64","1"
"Viggiano1","PM10","µg/m³","12/03/2021","13.87","1"
"Viggiano1","PM10","µg/m³","13/03/2021","14.27","1"
"Viggiano1","PM10","µg/m³","14/03/2021","9.32","1"
"Viggiano1","PM10","µg/m³","15/03/2021","8.13","1"
"Viggiano1","PM10","µg/m³","16/03/2021","10.21","1"
"Viggiano1","PM10","µg/m³","17/03/2021","18.95","1"
"Viggiano1","PM10","µg/m³","18/03/2021","14.32","1"
"Viggiano1","PM10","µg/m³","19/03/2021","11.37","1"
"Viggiano1","PM10","µg/m³","20/03/2021","5.25","1"
"Viggiano1","PM10","µg/m³","21/03/2021","11.36","1"
"Viggiano1","PM10","µg/m³","22/03/2021","16.45","1"
"Viggiano1","PM10","µg/m³","23/03/2021","14.55","1"
"Viggiano1","PM10","µg/m³","24/03/2021","13.91","1"
"Viggiano1","PM10","µg/m³","25/03/2021","15.25","1"
"Viggiano1","PM10","µg/m³","26/03/2021","18.98","1"
"Viggiano1","PM10","µg/m³","27/03/2021","15.91","1"
"Viggiano1","PM10","µg/m³","28/03/2021","15.61","1"
"Viggiano1","PM10","µg/m³","29/03/2021","18.32","1"
"Viggiano1","PM10","µg/m³","30/03/2021","15.14","1"
"Viggiano1","PM10","µg/m³","31/03/2021","16.87","1"
"Viggiano1","PM10","µg/m³","01/04/2021","20.16","1"
"Viggiano1","PM10","µg/m³","02/04/2021","19.02","1"
"Viggiano1","PM10","µg/m³","03/04/2021","22.51","1"
"Viggiano1","PM10","µg/m³","04/04/2021","13.21","1"
"Viggiano1","PM10","µg/m³","05/04/2021","10.29","1"
"Viggiano1","PM10","µg/m³","06/04/2021","13.79","1"
"Viggiano1","PM10","µg/m³","07/04/2021","15.35","1"
"Viggiano1","PM10","µg/m³","08/04/2021","11.32","1"
"Viggiano1","PM10","µg/m³","09/04/2021","10.94","1"
"Viggiano1","PM10","µg/m³","10/04/2021","12.97","1"
"Viggiano1","PM10","µg/m³","11/04/2021","13.89","1"
"Viggiano1","PM10","µg/m³","12/04/2021","20.13","1"
