"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Viggiano1","PM2-5","µg/m³","01/01/2021","4.41","1"
"Viggiano1","PM2-5","µg/m³","02/01/2021","5.16","1"
"Viggiano1","PM2-5","µg/m³","03/01/2021","7.36","1"
"Viggiano1","PM2-5","µg/m³","04/01/2021","3.82","1"
"Viggiano1","PM2-5","µg/m³","05/01/2021","4.07","1"
"Viggiano1","PM2-5","µg/m³","06/01/2021","8.44","1"
"Viggiano1","PM2-5","µg/m³","07/01/2021","9.72","1"
"Viggiano1","PM2-5","µg/m³","08/01/2021","12.42","1"
"Viggiano1","PM2-5","µg/m³","09/01/2021","3.84","1"
"Viggiano1","PM2-5","µg/m³","10/01/2021","12.07","1"
"Viggiano1","PM2-5","µg/m³","11/01/2021","11.50","1"
"Viggiano1","PM2-5","µg/m³","12/01/2021","7.05","1"
"Viggiano1","PM2-5","µg/m³","13/01/2021","10.19","1"
"Viggiano1","PM2-5","µg/m³","14/01/2021","6.48","1"
"Viggiano1","PM2-5","µg/m³","15/01/2021","3.24","1"
"Viggiano1","PM2-5","µg/m³","16/01/2021","6.24","1"
"Viggiano1","PM2-5","µg/m³","17/01/2021","4.76","1"
"Viggiano1","PM2-5","µg/m³","18/01/2021","5.39","1"
"Viggiano1","PM2-5","µg/m³","19/01/2021","6.19","1"
"Viggiano1","PM2-5","µg/m³","20/01/2021","3.24","1"
"Viggiano1","PM2-5","µg/m³","21/01/2021","6.98","1"
"Viggiano1","PM2-5","µg/m³","22/01/2021","6.90","1"
"Viggiano1","PM2-5","µg/m³","23/01/2021","5.09","1"
"Viggiano1","PM2-5","µg/m³","24/01/2021","2.31","1"
"Viggiano1","PM2-5","µg/m³","25/01/2021","3.73","1"
"Viggiano1","PM2-5","µg/m³","26/01/2021","3.34","1"
"Viggiano1","PM2-5","µg/m³","27/01/2021","9.35","1"
"Viggiano1","PM2-5","µg/m³","28/01/2021","8.89","1"
"Viggiano1","PM2-5","µg/m³","29/01/2021","2.10","1"
"Viggiano1","PM2-5","µg/m³","30/01/2021","6.07","1"
"Viggiano1","PM2-5","µg/m³","31/01/2021","2.13","1"
"Viggiano1","PM2-5","µg/m³","01/02/2021","3.29","1"
"Viggiano1","PM2-5","µg/m³","02/02/2021","6.36","1"
"Viggiano1","PM2-5","µg/m³","03/02/2021","6.41","1"
"Viggiano1","PM2-5","µg/m³","04/02/2021","9.83","1"
