"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano1","Precipitazione","mm","01/01/2021","01","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","02","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","03","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","04","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","05","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","06","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","07","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","08","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","09","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","10","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","11","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","12","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","13","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","14","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","15","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","16","0.200","1"
"Viggiano1","Precipitazione","mm","01/01/2021","17","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","18","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","19","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","20","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","21","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","22","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","23","0.000","1"
"Viggiano1","Precipitazione","mm","01/01/2021","24","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","01","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","02","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","03","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","04","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","05","0.200","1"
"Viggiano1","Precipitazione","mm","02/01/2021","06","0.600","1"
"Viggiano1","Precipitazione","mm","02/01/2021","07","0.400","1"
"Viggiano1","Precipitazione","mm","02/01/2021","08","0.400","1"
"Viggiano1","Precipitazione","mm","02/01/2021","09","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","10","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","11","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","12","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","13","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","14","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","15","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","16","2.400","1"
"Viggiano1","Precipitazione","mm","02/01/2021","17","0.400","1"
"Viggiano1","Precipitazione","mm","02/01/2021","18","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","19","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","20","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","21","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","22","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","23","0.000","1"
"Viggiano1","Precipitazione","mm","02/01/2021","24","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","01","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","02","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","03","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","04","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","05","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","06","2.200","1"
"Viggiano1","Precipitazione","mm","03/01/2021","07","0.800","1"
"Viggiano1","Precipitazione","mm","03/01/2021","08","0.400","1"
"Viggiano1","Precipitazione","mm","03/01/2021","09","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","10","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","11","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","12","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","13","1.800","1"
"Viggiano1","Precipitazione","mm","03/01/2021","14","0.400","1"
"Viggiano1","Precipitazione","mm","03/01/2021","15","0.400","1"
"Viggiano1","Precipitazione","mm","03/01/2021","16","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","17","0.800","1"
"Viggiano1","Precipitazione","mm","03/01/2021","18","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","19","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","20","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","21","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","22","0.000","1"
"Viggiano1","Precipitazione","mm","03/01/2021","23","0.200","1"
"Viggiano1","Precipitazione","mm","03/01/2021","24","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","01","5.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","02","2.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","03","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","04","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","05","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","06","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","07","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","08","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","09","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","10","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","11","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","12","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","13","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","14","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","15","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","16","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","17","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","18","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","19","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","20","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","21","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","22","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","23","0.000","1"
"Viggiano1","Precipitazione","mm","04/01/2021","24","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","01","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","02","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","03","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","04","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","05","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","06","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","07","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","08","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","09","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","10","0.600","1"
"Viggiano1","Precipitazione","mm","05/01/2021","11","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","12","0.400","1"
"Viggiano1","Precipitazione","mm","05/01/2021","13","1.200","1"
"Viggiano1","Precipitazione","mm","05/01/2021","14","0.200","1"
"Viggiano1","Precipitazione","mm","05/01/2021","15","1.200","1"
"Viggiano1","Precipitazione","mm","05/01/2021","16","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","17","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","18","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","19","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","20","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","21","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","22","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","23","0.000","1"
"Viggiano1","Precipitazione","mm","05/01/2021","24","0.400","1"
"Viggiano1","Precipitazione","mm","06/01/2021","01","0.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","02","0.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","03","0.400","1"
"Viggiano1","Precipitazione","mm","06/01/2021","04","0.200","1"
"Viggiano1","Precipitazione","mm","06/01/2021","05","2.200","1"
"Viggiano1","Precipitazione","mm","06/01/2021","06","0.200","1"
"Viggiano1","Precipitazione","mm","06/01/2021","07","0.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","08","0.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","09","0.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","10","0.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","11","0.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","12","0.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","13","0.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","14","1.400","1"
"Viggiano1","Precipitazione","mm","06/01/2021","15","0.800","1"
"Viggiano1","Precipitazione","mm","06/01/2021","16","1.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","17","0.400","1"
"Viggiano1","Precipitazione","mm","06/01/2021","18","0.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","19","1.000","1"
"Viggiano1","Precipitazione","mm","06/01/2021","20","0.600","1"
"Viggiano1","Precipitazione","mm","06/01/2021","21","0.200","1"
"Viggiano1","Precipitazione","mm","06/01/2021","22","0.200","1"
"Viggiano1","Precipitazione","mm","06/01/2021","23","0.400","1"
"Viggiano1","Precipitazione","mm","06/01/2021","24","0.800","1"
"Viggiano1","Precipitazione","mm","07/01/2021","01","1.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","02","0.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","03","0.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","04","0.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","05","0.400","1"
"Viggiano1","Precipitazione","mm","07/01/2021","06","0.400","1"
"Viggiano1","Precipitazione","mm","07/01/2021","07","0.200","1"
"Viggiano1","Precipitazione","mm","07/01/2021","08","0.200","1"
"Viggiano1","Precipitazione","mm","07/01/2021","09","0.200","1"
"Viggiano1","Precipitazione","mm","07/01/2021","10","0.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","11","0.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","12","0.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","13","0.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","14","0.200","1"
"Viggiano1","Precipitazione","mm","07/01/2021","15","0.200","1"
"Viggiano1","Precipitazione","mm","07/01/2021","16","0.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","17","0.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","18","0.000","1"
"Viggiano1","Precipitazione","mm","07/01/2021","19","0.400","1"
"Viggiano1","Precipitazione","mm","07/01/2021","20","0.200","1"
"Viggiano1","Precipitazione","mm","07/01/2021","21","0.200","1"
"Viggiano1","Precipitazione","mm","07/01/2021","22","0.200","1"
"Viggiano1","Precipitazione","mm","07/01/2021","23","0.600","1"
"Viggiano1","Precipitazione","mm","07/01/2021","24","0.200","1"
"Viggiano1","Precipitazione","mm","08/01/2021","01","0.200","1"
"Viggiano1","Precipitazione","mm","08/01/2021","02","0.000","1"
"Viggiano1","Precipitazione","mm","08/01/2021","03","0.200","1"
"Viggiano1","Precipitazione","mm","08/01/2021","04","0.000","1"
"Viggiano1","Precipitazione","mm","08/01/2021","05","0.000","1"
"Viggiano1","Precipitazione","mm","08/01/2021","06","0.000","1"
"Viggiano1","Precipitazione","mm","08/01/2021","07","0.000","1"
"Viggiano1","Precipitazione","mm","08/01/2021","08","0.000","1"
"Viggiano1","Precipitazione","mm","08/01/2021","09","0.000","1"
"Viggiano1","Precipitazione","mm","08/01/2021","10","0.000","1"
"Viggiano1","Precipitazione","mm","08/01/2021","11","0.000","1"
"Viggiano1","Precipitazione","mm","08/01/2021","12","0.000","1"
"Viggiano1","Precipitazione","mm","08/01/2021","13","0.000","1"
