"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","01","-132.890","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","02","-116.530","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","03","-116.020","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","04","-124.010","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","05","-121.320","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","06","-119.980","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","07","-116.940","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","08","-107.730","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","09","38.910","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","10","134.000","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","11","201.570","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","12","85.690","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","13","103.560","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","14","138.780","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","15","133.140","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","16","-4.190","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","17","-72.860","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","18","-80.350","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","19","-98.290","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","20","-100.170","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","21","-35.000","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","22","-49.870","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","23","-28.750","1"
"Viggiano1","Radiazione_Netta","W/m≤","01/01/2021","24","-68.320","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","01","-78.820","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","02","-79.520","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","03","-59.440","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","04","3.810","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","05","-22.940","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","06","-58.570","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","07","-27.510","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","08","-15.760","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","09","47.380","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","10","102.620","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","11","-3.930","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","12","63.510","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","13","55.530","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","14","126.770","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","15","14.700","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","16","-23.930","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","17","-17.510","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","18","-25.750","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","19","-31.660","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","20","-49.920","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","21","-72.890","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","22","-60.770","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","23","-69.350","1"
"Viggiano1","Radiazione_Netta","W/m≤","02/01/2021","24","-65.500","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","01","-32.540","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","02","-23.080","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","03","-16.150","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","04","-35.490","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","05","-45.770","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","06","-41.760","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","07","-73.580","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","08","-41.620","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","09","-0.220","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","10","144.000","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","11","90.670","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","12","19.800","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","13","-38.780","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","14","7.250","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","15","38.960","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","16","-23.690","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","17","-62.950","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","18","-109.280","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","19","-111.930","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","20","-102.450","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","21","-116.650","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","22","-70.020","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","23","-52.710","1"
"Viggiano1","Radiazione_Netta","W/m≤","03/01/2021","24","-69.860","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","01","-88.440","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","02","-74.280","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","03","-72.260","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","04","-71.700","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","05","-69.210","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","06","-98.850","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","07","-92.760","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","08","-81.870","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","09","-54.700","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","10","45.880","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","11","123.610","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","12","258.450","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","13","242.050","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","14","79.420","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","15","33.890","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","16","-11.020","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","17","-26.480","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","18","-27.270","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","19","-58.550","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","20","-100.540","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","21","-85.650","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","22","-119.490","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","23","-125.240","1"
"Viggiano1","Radiazione_Netta","W/m≤","04/01/2021","24","-131.290","1"
"Viggiano1","Radiazione_Netta","W/m≤","05/01/2021","01","-111.590","1"
"Viggiano1","Radiazione_Netta","W/m≤","05/01/2021","02","-121.870","1"
"Viggiano1","Radiazione_Netta","W/m≤","05/01/2021","03","-82.070","1"
"Viggiano1","Radiazione_Netta","W/m≤","05/01/2021","04","-75.890","1"
"Viggiano1","Radiazione_Netta","W/m≤","05/01/2021","05","-93.940","1"
"Viggiano1","Radiazione_Netta","W/m≤","05/01/2021","06","-80.940","1"
"Viggiano1","Radiazione_Netta","W/m≤","05/01/2021","07","-80.680","1"
"Viggiano1","Radiazione_Netta","W/m≤","05/01/2021","08","-29.480","1"
"Viggiano1","Radiazione_Netta","W/m≤","05/01/2021","09","39.090","1"
