"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano1","Temperatura","∞C","01/01/2021","01","4.530","1"
"Viggiano1","Temperatura","∞C","01/01/2021","02","4.540","1"
"Viggiano1","Temperatura","∞C","01/01/2021","03","4.010","1"
"Viggiano1","Temperatura","∞C","01/01/2021","04","4.470","1"
"Viggiano1","Temperatura","∞C","01/01/2021","05","4.330","1"
"Viggiano1","Temperatura","∞C","01/01/2021","06","3.820","1"
"Viggiano1","Temperatura","∞C","01/01/2021","07","4.050","1"
"Viggiano1","Temperatura","∞C","01/01/2021","08","5.540","1"
"Viggiano1","Temperatura","∞C","01/01/2021","09","8.810","1"
"Viggiano1","Temperatura","∞C","01/01/2021","10","9.730","1"
"Viggiano1","Temperatura","∞C","01/01/2021","11","11.250","1"
"Viggiano1","Temperatura","∞C","01/01/2021","12","9.760","1"
"Viggiano1","Temperatura","∞C","01/01/2021","13","9.540","1"
"Viggiano1","Temperatura","∞C","01/01/2021","14","10.750","1"
"Viggiano1","Temperatura","∞C","01/01/2021","15","11.280","1"
"Viggiano1","Temperatura","∞C","01/01/2021","16","9.630","1"
"Viggiano1","Temperatura","∞C","01/01/2021","17","7.560","1"
"Viggiano1","Temperatura","∞C","01/01/2021","18","6.620","1"
"Viggiano1","Temperatura","∞C","01/01/2021","19","6.050","1"
"Viggiano1","Temperatura","∞C","01/01/2021","20","5.880","1"
"Viggiano1","Temperatura","∞C","01/01/2021","21","7.470","1"
"Viggiano1","Temperatura","∞C","01/01/2021","22","7.010","1"
"Viggiano1","Temperatura","∞C","01/01/2021","23","7.240","1"
"Viggiano1","Temperatura","∞C","01/01/2021","24","7.360","1"
"Viggiano1","Temperatura","∞C","02/01/2021","01","6.990","1"
"Viggiano1","Temperatura","∞C","02/01/2021","02","6.980","1"
"Viggiano1","Temperatura","∞C","02/01/2021","03","7.070","1"
"Viggiano1","Temperatura","∞C","02/01/2021","04","8.220","1"
"Viggiano1","Temperatura","∞C","02/01/2021","05","7.420","1"
"Viggiano1","Temperatura","∞C","02/01/2021","06","6.360","1"
"Viggiano1","Temperatura","∞C","02/01/2021","07","7.440","1"
"Viggiano1","Temperatura","∞C","02/01/2021","08","7.410","1"
"Viggiano1","Temperatura","∞C","02/01/2021","09","9.670","1"
"Viggiano1","Temperatura","∞C","02/01/2021","10","10.540","1"
"Viggiano1","Temperatura","∞C","02/01/2021","11","9.290","1"
"Viggiano1","Temperatura","∞C","02/01/2021","12","10.530","1"
"Viggiano1","Temperatura","∞C","02/01/2021","13","10.680","1"
"Viggiano1","Temperatura","∞C","02/01/2021","14","12.360","1"
"Viggiano1","Temperatura","∞C","02/01/2021","15","11.870","1"
"Viggiano1","Temperatura","∞C","02/01/2021","16","8.220","1"
"Viggiano1","Temperatura","∞C","02/01/2021","17","7.140","1"
"Viggiano1","Temperatura","∞C","02/01/2021","18","7.380","1"
"Viggiano1","Temperatura","∞C","02/01/2021","19","8.000","1"
"Viggiano1","Temperatura","∞C","02/01/2021","20","7.980","1"
"Viggiano1","Temperatura","∞C","02/01/2021","21","7.960","1"
"Viggiano1","Temperatura","∞C","02/01/2021","22","7.890","1"
"Viggiano1","Temperatura","∞C","02/01/2021","23","7.680","1"
"Viggiano1","Temperatura","∞C","02/01/2021","24","7.770","1"
"Viggiano1","Temperatura","∞C","03/01/2021","01","8.000","1"
"Viggiano1","Temperatura","∞C","03/01/2021","02","8.280","1"
"Viggiano1","Temperatura","∞C","03/01/2021","03","7.720","1"
"Viggiano1","Temperatura","∞C","03/01/2021","04","7.440","1"
"Viggiano1","Temperatura","∞C","03/01/2021","05","8.090","1"
"Viggiano1","Temperatura","∞C","03/01/2021","06","6.760","1"
"Viggiano1","Temperatura","∞C","03/01/2021","07","5.360","1"
"Viggiano1","Temperatura","∞C","03/01/2021","08","6.250","1"
"Viggiano1","Temperatura","∞C","03/01/2021","09","6.940","1"
"Viggiano1","Temperatura","∞C","03/01/2021","10","9.550","1"
"Viggiano1","Temperatura","∞C","03/01/2021","11","9.560","1"
"Viggiano1","Temperatura","∞C","03/01/2021","12","7.630","1"
"Viggiano1","Temperatura","∞C","03/01/2021","13","5.450","1"
"Viggiano1","Temperatura","∞C","03/01/2021","14","5.790","1"
"Viggiano1","Temperatura","∞C","03/01/2021","15","7.190","1"
"Viggiano1","Temperatura","∞C","03/01/2021","16","6.360","1"
"Viggiano1","Temperatura","∞C","03/01/2021","17","5.590","1"
"Viggiano1","Temperatura","∞C","03/01/2021","18","4.460","1"
