"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","01","6.680","-1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","02","5.920","-1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","03","5.370","-1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","04","6.030","-1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","05","5.610","-1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","06","5.520","-1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","07","5.780","-1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","08","5.450","-1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","09","2.230","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","10","2.840","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","11","3.080","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","12","2.630","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","13","3.150","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","14","3.110","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","15","4.310","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","16","2.850","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","17","2.430","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","18","1.840","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","19","3.030","-1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","20","4.220","-1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","21","1.880","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","22","2.570","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","23","2.560","1"
"Viggiano1","Velocità_Vento","m/s","01/01/2021","24","2.300","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","01","1.740","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","02","1.820","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","03","1.970","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","04","2.290","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","05","2.660","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","06","6.970","-1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","07","4.620","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","08","3.750","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","09","3.560","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","10","3.560","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","11","3.730","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","12","3.760","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","13","3.520","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","14","3.800","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","15","3.900","1"
"Viggiano1","Velocità_Vento","m/s","02/01/2021","16","4.100","1"
