"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","01","0.500","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","02","0.410","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","03","0.400","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","04","0.170","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","05","0.220","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","06","0.350","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","07","0.330","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","08","0.270","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","09","0.290","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","10","0.270","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","11","0.340","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","12","0.200","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","13","0.290","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","14","0.210","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","15","0.180","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","16","0.300","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","17","0.350","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","18","0.410","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","19","0.270","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","20","0.340","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","21","0.250","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","22","0.270","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","23","0.290","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","01/01/2021","24","0.310","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","01","0.190","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","02","0.190","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","03","0.230","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","04","0.200","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","05","0.250","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","06","0.240","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","07","0.210","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","08","0.200","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","09","0.280","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","10","0.180","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","11","0.270","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","12","0.160","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","13","0.260","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","14","0.190","1"
"Viggiano-Costa_Molina_Sud1","Benzene","µg/m≥","02/01/2021","15","0.230","1"
