"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","01","2.220","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","02","2.120","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","03","2.500","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","04","2.090","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","05","2.320","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","06","2.600","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","07","2.880","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","08","3.060","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","09","2.930","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","10","3.850","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","11","3.730","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","12","2.980","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","13","2.960","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","14","2.930","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","15","3.030","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","16","2.990","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","17","2.820","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","18","2.890","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","19","2.980","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","20","2.910","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","21","2.800","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","22","2.860","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","23","3.120","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","01/01/2021","24","2.900","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","01","2.900","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","02","2.990","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","03","2.790","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","04","3.050","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","05","2.960","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","06","2.100","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","07","1.750","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","08","-9999","-1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","09","1.820","-99"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","10","1.710","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","11","1.660","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","12","1.760","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","13","1.750","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","14","1.700","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","15","1.750","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","16","1.760","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","17","1.700","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","18","1.780","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","19","1.960","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","20","1.720","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","21","1.570","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","22","1.930","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","23","1.740","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","02/01/2021","24","1.710","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","01","1.700","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","02","1.850","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","03","1.700","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","04","1.850","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","05","2.000","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","06","1.350","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","07","1.430","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","08","1.560","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","09","1.280","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","10","1.040","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","11","1.420","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","12","1.310","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","13","1.110","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","14","1.480","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","15","1.340","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","16","1.290","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","17","1.440","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","18","1.380","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","19","1.230","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","20","1.270","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","21","1.680","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","22","1.480","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","23","1.450","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","03/01/2021","24","1.210","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","01","1.240","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","02","1.270","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","03","1.460","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","04","1.400","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","05","1.330","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","06","2.080","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","07","2.070","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","08","2.090","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","09","2.230","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","10","1.400","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","11","1.790","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","12","2.340","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","13","2.280","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","14","2.260","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","15","2.280","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","16","2.270","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","17","2.180","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","18","2.320","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","19","2.290","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","20","2.350","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","21","2.050","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","22","2.350","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","23","2.400","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","04/01/2021","24","2.410","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","01","2.160","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","02","2.090","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","03","2.470","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","04","2.170","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","05","2.350","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","06","1.040","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","07","0.990","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","08","0.900","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","09","0.590","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","10","0.550","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","11","0.030","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","12","0.420","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","13","1.170","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","14","0.870","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","15","0.860","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","16","1.020","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","17","1.070","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","18","0.860","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","19","0.990","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","20","0.930","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","21","0.930","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","22","0.970","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","23","1.120","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","05/01/2021","24","0.940","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","01","1.020","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","02","0.860","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","03","1.180","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","04","1.100","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","05","1.070","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","06","1.370","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","07","1.440","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","08","1.510","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","09","1.640","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","10","1.290","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","11","1.410","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","12","1.380","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","13","1.160","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","14","1.270","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","15","1.440","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","16","1.330","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","17","1.620","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","18","1.570","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","19","1.410","1"
"Viggiano-Costa_Molina_Sud1","H2S","µg/m≥","06/01/2021","20","1.490","1"
