"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","01","1222.670","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","02","1270.710","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","03","1238.700","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","04","1020.660","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","05","1035.450","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","06","1060.250","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","07","1074.430","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","08","1089.910","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","09","1081.230","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","10","1093.990","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","11","1113.930","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","12","1217.270","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","13","1265.590","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","14","1306.340","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","15","1186.680","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","16","1282.370","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","17","1289.620","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","18","1289.110","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","19","1327.940","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","20","1351.220","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","21","1365.070","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","22","1406.450","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","23","1390.430","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","01/01/2021","24","1387.640","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","01","1404.130","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","02","1389.390","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","03","1365.570","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","04","1029.460","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","05","989.330","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","06","893.890","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","07","835.280","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","08","835.150","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","09","867.640","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","10","867.920","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","11","887.380","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","12","870.420","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","13","877.660","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","14","861.230","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","15","782.360","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","16","838.030","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","17","797.790","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","18","962.290","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","19","676.800","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","20","616.950","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","21","658.280","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","22","647.380","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","23","640.110","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","02/01/2021","24","630.120","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","01","630.540","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","02","644.980","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","03","635.680","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","04","999.910","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","05","996.560","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","06","1001.860","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","07","1000.650","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","08","999.420","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","09","1003.150","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","10","1006.180","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","11","1001.080","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","12","989.590","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","13","994.590","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","14","990.480","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","15","996.230","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","16","994.050","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","17","1053.760","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","18","1296.050","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","19","1066.610","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","20","1003.560","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","21","1006.500","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","22","1009.940","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","23","1028.280","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","03/01/2021","24","1239.140","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","01","1353.090","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","02","1093.080","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","03","1031.740","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","04","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","05","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","06","1053.130","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","07","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","08","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","09","17.790","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","10","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","11","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","12","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","13","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","14","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","15","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","16","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","17","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","18","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","19","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","20","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","21","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","22","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","23","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","04/01/2021","24","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","01","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","02","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","03","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","04","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","05","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","06","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","07","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","08","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","09","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","10","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","11","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","12","-9999","-1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","13","1051.870","1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","14","1005.910","1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","15","995.960","1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","16","991.070","1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","17","988.670","1"
"Viggiano-Costa_Molina_Sud1","Metano","ugC/m³","05/01/2021","18","984.880","1"
