"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","01","1.39","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","02","1.33","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","03","3.79","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","04","1.16","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","05","1.24","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","06","3.13","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","07","0.92","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","08","-9999","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","09","0.38","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","10","6.82","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","11","4.43","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","12","0.03","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","13","0.02","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","14","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","15","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","16","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","17","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","18","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","19","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","20","0.52","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","21","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","22","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","23","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","01/01/2021","24","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","01","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","02","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","03","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","04","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","05","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","06","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","07","0.00","-1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","08","0.08","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","09","2.21","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","10","2.67","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","11","2.27","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","12","1.91","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","13","1.99","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","14","1.82","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","15","2.01","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","16","2.87","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","17","2.26","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","18","2.13","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","19","1.88","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","20","2.01","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","21","1.99","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","22","3.31","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","23","3.53","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","02/01/2021","24","4.51","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","01","3.28","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","02","4.30","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","03","2.87","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","04","1.88","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","05","3.35","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","06","2.31","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","07","3.19","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","08","2.93","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","09","2.78","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","10","2.74","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","11","2.78","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","12","2.28","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","13","1.88","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","14","2.53","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","15","2.75","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","16","2.41","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","17","3.16","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","18","3.70","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","19","4.00","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","20","4.25","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","21","3.52","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","22","5.28","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","23","5.03","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","03/01/2021","24","3.08","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","01","2.16","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","02","1.42","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","03","1.61","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","04","3.04","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","05","3.48","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","06","3.21","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","07","2.29","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","08","2.40","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","09","2.53","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","10","3.02","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","11","3.43","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","12","6.32","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","13","3.81","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","14","1.42","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","15","1.25","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","16","1.39","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","17","1.55","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","18","2.11","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","19","3.22","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","20","4.11","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","21","3.17","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","22","5.18","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","23","5.49","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","04/01/2021","24","2.63","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","05/01/2021","01","1.74","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","05/01/2021","02","1.12","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","05/01/2021","03","2.86","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","05/01/2021","04","1.30","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","05/01/2021","05","3.84","1"
"Viggiano-Costa_Molina_Sud1","NO2","µg/m≥","05/01/2021","06","1.41","1"
