"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","01/01/2021","8.86","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","02/01/2021","11.05","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","03/01/2021","13.21","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","04/01/2021","8.25","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","05/01/2021","6.58","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","06/01/2021","15.03","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","07/01/2021","12.91","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","08/01/2021","21.37","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","09/01/2021","7.11","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","10/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","11/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","12/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","13/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","14/01/2021","15.66","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","15/01/2021","6.76","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","16/01/2021","7.14","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","17/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","18/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","19/01/2021","11.20","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","20/01/2021","8.36","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","21/01/2021","12.53","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","22/01/2021","18.98","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","23/01/2021","12.41","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","24/01/2021","8.83","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","25/01/2021","8.86","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","26/01/2021","6.60","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","27/01/2021","7.16","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","28/01/2021","13.17","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","29/01/2021","6.97","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","30/01/2021","15.57","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","31/01/2021","8.41","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","01/02/2021","7.57","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","02/02/2021","8.80","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","03/02/2021","7.89","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","04/02/2021","7.26","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","05/02/2021","11.90","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","06/02/2021","28.84","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","07/02/2021","34.64","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","08/02/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","09/02/2021","22.04","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","10/02/2021","11.37","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","11/02/2021","9.39","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","12/02/2021","14.08","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","13/02/2021","7.77","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","14/02/2021","11.86","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","15/02/2021","11.95","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","16/02/2021","10.70","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","17/02/2021","10.43","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","18/02/2021","10.18","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","19/02/2021","9.74","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","20/02/2021","12.65","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","21/02/2021","16.69","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","22/02/2021","15.85","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","23/02/2021","27.48","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","24/02/2021","50.43","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","25/02/2021","29.67","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","26/02/2021","34.96","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","27/02/2021","41.06","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","28/02/2021","34.48","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","01/03/2021","16.69","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","02/03/2021","23.85","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","03/03/2021","19.05","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","04/03/2021","18.23","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","05/03/2021","23.00","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","06/03/2021","25.16","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","07/03/2021","17.14","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","08/03/2021","23.25","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","09/03/2021","29.73","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","10/03/2021","12.06","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","11/03/2021","15.73","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","12/03/2021","14.23","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","13/03/2021","12.52","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","14/03/2021","8.77","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","15/03/2021","8.30","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","16/03/2021","8.35","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","17/03/2021","9.69","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","18/03/2021","8.74","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","19/03/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","20/03/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","21/03/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","22/03/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","23/03/2021","17.10","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","24/03/2021","12.42","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","25/03/2021","12.06","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","26/03/2021","18.35","1"
"Viggiano-Costa_Molina_Sud1","PM10","µg/m³","27/03/2021","12.94","1"
