"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","01/01/2021","3.62","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","02/01/2021","4.52","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","03/01/2021","5.73","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","04/01/2021","4.02","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","05/01/2021","3.62","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","06/01/2021","8.02","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","07/01/2021","5.05","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","08/01/2021","9.08","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","09/01/2021","2.73","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","10/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","11/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","12/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","13/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","14/01/2021","4.55","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","15/01/2021","2.40","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","16/01/2021","5.33","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","17/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","18/01/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","19/01/2021","6.98","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","20/01/2021","3.27","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","21/01/2021","5.07","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","22/01/2021","7.89","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","23/01/2021","5.48","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","24/01/2021","2.91","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","25/01/2021","3.27","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","26/01/2021","3.18","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","27/01/2021","4.44","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","28/01/2021","6.37","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","29/01/2021","2.57","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","30/01/2021","6.50","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","31/01/2021","2.00","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","01/02/2021","2.38","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","02/02/2021","5.29","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","03/02/2021","6.08","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","04/02/2021","3.94","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","05/02/2021","5.92","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","06/02/2021","12.38","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","07/02/2021","14.39","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","08/02/2021","-9999","-1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","09/02/2021","17.10","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","10/02/2021","4.73","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","11/02/2021","4.33","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","12/02/2021","5.50","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","13/02/2021","3.37","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","14/02/2021","8.19","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","15/02/2021","7.73","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","16/02/2021","5.23","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","17/02/2021","4.09","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","18/02/2021","5.69","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","19/02/2021","6.51","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","20/02/2021","6.57","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","21/02/2021","11.49","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","22/02/2021","9.80","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","23/02/2021","14.58","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","24/02/2021","21.90","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","25/02/2021","17.41","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","26/02/2021","20.80","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","27/02/2021","23.07","1"
"Viggiano-Costa_Molina_Sud1","PM2-5","µg/m³","28/02/2021","21.90","1"
