"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","01","926.910","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","02","927.200","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","03","927.260","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","04","927.130","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","05","927.030","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","06","927.150","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","07","927.480","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","08","927.680","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","09","929.600","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","10","929.970","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","11","929.910","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","12","929.410","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","13","928.950","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","14","928.520","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","15","928.400","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","16","928.470","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","17","928.590","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","18","928.760","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","19","928.870","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","20","928.990","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","21","929.010","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","22","928.110","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","23","928.780","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","01/01/2021","24","928.770","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","01","928.310","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","02","927.260","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","03","926.450","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","04","926.810","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","05","926.010","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","06","925.490","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","07","926.640","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","08","926.800","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","09","926.760","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","10","926.580","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","11","926.710","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","12","926.010","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","13","925.410","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","14","924.830","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","15","925.050","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","16","926.190","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","17","926.480","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","18","926.440","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","19","926.640","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","20","926.750","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","21","926.820","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","22","927.110","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","23","927.270","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","02/01/2021","24","926.890","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","01","926.650","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","02","926.820","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","03","926.980","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","04","926.520","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","05","926.250","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","06","926.070","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","07","924.990","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","08","926.470","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","09","926.520","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","10","927.850","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","11","927.740","1"
"Viggiano-Costa_Molina_Sud1","Pressione","hPa","03/01/2021","12","927.670","1"
