"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","01","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","02","0.020","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","03","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","04","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","05","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","06","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","07","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","08","9.260","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","09","93.860","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","10","222.310","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","11","324.570","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","12","186.150","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","13","156.360","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","14","119.730","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","15","125.170","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","16","63.770","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","17","5.210","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","18","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","19","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","20","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","21","0.020","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","22","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","23","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","01/01/2021","24","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","01","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","02","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","03","0.110","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","04","0.400","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","05","0.020","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","06","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","07","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","08","12.690","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","09","86.680","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","10","80.380","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","11","35.170","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","12","69.900","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","13","71.810","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","14","152.900","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","15","91.230","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","16","2.980","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","17","0.850","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","18","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","19","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","20","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","21","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","22","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","23","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","02/01/2021","24","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","01","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","02","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","03","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","04","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","05","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","06","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","07","0.000","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","08","2.190","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","09","87.170","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","10","207.870","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","11","99.090","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","12","20.940","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","13","26.120","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Globale","W/m≤","03/01/2021","14","141.030","1"
