"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","01","-43.420","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","02","-27.440","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","03","-48.340","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","04","-61.160","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","05","-61.300","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","06","-60.030","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","07","-59.040","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","08","-44.730","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","09","47.980","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","10","127.330","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","11","171.710","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","12","128.229","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","13","94.670","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","14","82.900","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","15","71.900","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","16","7.940","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","17","-62.530","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","18","-66.120","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","19","-65.350","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","20","-57.050","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","21","-22.180","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","22","-23.770","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","23","-12.180","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","01/01/2021","24","-47.970","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","01","-54.530","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","02","-52.360","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","03","-30.880","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","04","-0.160","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","05","3.430","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","06","2.480","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","07","2.870","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","08","-1.110","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","09","49.070","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","10","72.260","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","11","15.260","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","12","41.050","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","13","51.460","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","14","102.390","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","15","53.020","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","16","-16.171","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","17","-4.750","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","18","-11.530","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","19","-11.920","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","20","-35.430","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","21","-42.230","1"
"Viggiano-Costa_Molina_Sud1","Radiazione_Netta","W/m≤","02/01/2021","22","-32.670","1"
