"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","01","4.68","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","02","4.81","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","03","5.84","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","04","5.02","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","05","5.47","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","06","4.87","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","07","3.37","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","08","3.23","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","09","1.63","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","10","13.72","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","11","16.38","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","12","4.84","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","13","2.94","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","14","4.17","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","15","3.37","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","16","3.87","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","17","4.05","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","18","4.10","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","19","4.03","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","20","3.91","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","21","2.98","1"
"Viggiano-Costa_Molina_Sud1","SO2","µg/m≥","01/01/2021","22","3.56","1"
