"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","01","2.120","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","02","2.810","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","03","2.500","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","04","2.290","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","05","2.270","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","06","2.000","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","07","2.029","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","08","1.880","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","09","3.960","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","10","5.920","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","11","7.750","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","12","8.140","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","13","7.730","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","14","8.560","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","15","8.790","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","16","7.800","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","17","6.400","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","18","5.400","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","19","4.930","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","20","4.540","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","21","4.490","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","22","3.800","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","23","5.110","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","01/01/2021","24","4.570","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","01","4.130","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","02","3.450","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","03","1.940","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","04","3.160","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","05","2.830","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","06","4.040","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","07","4.610","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","08","4.980","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","09","7.060","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","10","8.820","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","11","8.039","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","12","9.100","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","13","9.250","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","14","10.780","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","15","10.880","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","16","7.270","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","17","5.190","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","18","5.420","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","19","5.520","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","20","4.920","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","21","5.000","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","22","4.500","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","23","4.019","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","02/01/2021","24","4.090","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","01","4.590","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","02","4.730","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","03","4.970","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","04","3.970","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","05","4.690","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","06","5.020","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","07","3.440","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","08","4.050","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","09","4.090","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","10","6.590","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","11","7.300","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","12","5.430","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","13","3.340","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","14","4.140","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","15","5.160","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","16","4.670","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","17","4.560","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","18","3.450","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","19","3.380","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","20","2.890","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","21","2.680","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","22","2.110","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","23","1.410","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","03/01/2021","24","2.510","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","04/01/2021","01","1.400","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","04/01/2021","02","0.320","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","04/01/2021","03","0.400","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","04/01/2021","04","-0.110","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","04/01/2021","05","-0.260","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","04/01/2021","06","-0.320","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","04/01/2021","07","0.680","1"
"Viggiano-Costa_Molina_Sud1","Temperatura","∞C","04/01/2021","08","0.120","1"
