"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","01","5.490","-1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","02","4.530","-1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","03","4.710","-1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","04","5.670","-1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","05","5.210","-1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","06","4.770","-1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","07","4.460","-1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","08","5.230","-1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","09","1.670","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","10","2.020","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","11","2.200","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","12","2.410","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","13","2.570","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","14","2.160","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","15","3.390","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","16","3.830","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","17","2.000","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","18","2.460","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","19","1.770","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","20","2.040","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","21","1.980","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","22","4.820","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","23","1.370","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","01/01/2021","24","1.610","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","01","1.530","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","02","3.430","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","03","4.260","-1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","04","3.920","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","05","4.160","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","06","5.170","-1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","07","4.059","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","08","3.790","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","09","3.880","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","10","4.240","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","11","4.620","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","12","4.590","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","13","4.550","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","14","3.890","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","15","4.160","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","16","5.800","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","17","2.670","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","18","2.070","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","19","1.360","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","20","2.300","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","21","1.770","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","22","1.820","1"
"Viggiano-Costa_Molina_Sud1","Velocità_Vento","m/s","02/01/2021","23","1.990","1"
