"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","01","0.27","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","02","0.21","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","03","0.18","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","04","0.12","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","05","0.10","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","06","-9999","-1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","07","0.26","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","08","0.26","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","09","0.30","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","10","0.28","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","11","0.26","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","12","0.26","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","13","0.24","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","14","0.25","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","15","0.26","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","16","0.26","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","17","0.30","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","18","0.28","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","19","0.33","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","20","0.32","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","21","0.35","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","22","0.37","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","23","0.40","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","01/01/2021","24","0.41","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","01","0.37","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","02","0.32","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","03","0.30","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","04","0.31","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","05","0.38","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","06","0.36","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","07","0.19","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","08","0.17","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","09","0.19","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","10","0.20","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","11","0.23","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","12","0.17","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","13","0.17","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","14","0.15","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","15","0.14","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","16","0.14","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","17","0.16","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","18","0.17","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","19","0.23","1"
"Viggiano-Masseria_De_Blasiis","CO","mg/m³","02/01/2021","20","0.23","1"
