"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","01","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","02","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","03","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","04","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","05","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","06","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","07","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","08","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","09","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","10","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","11","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","12","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","13","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","14","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","15","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","16","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","17","0.090","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","18","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","19","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","20","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","21","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","22","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","23","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","01/01/2021","24","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","02/01/2021","01","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","02/01/2021","02","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","02/01/2021","03","0.080","1"
"Viggiano-Masseria_De_Blasiis","Etilbenzene","µg/m≥","02/01/2021","04","0.080","1"
