"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","01","7.87","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","02","7.21","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","03","6.54","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","04","6.39","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","05","7.47","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","06","8.03","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","07","10.13","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","08","11.79","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","09","15.30","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","10","12.42","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","11","7.52","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","12","7.01","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","13","6.39","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","14","5.28","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","15","4.97","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","16","5.81","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","17","6.75","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","18","5.91","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","19","7.69","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","20","6.85","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","21","7.89","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","22","11.29","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","23","13.27","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","01/01/2021","24","10.65","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","01","8.95","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","02","8.15","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","03","8.05","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","04","11.56","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","05","12.70","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","06","11.51","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","07","10.63","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","08","12.00","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","09","13.21","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","10","15.72","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","11","18.01","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","12","8.95","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","13","7.96","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","14","6.61","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","15","5.56","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","16","5.75","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","17","7.43","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","18","10.73","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","19","14.98","1"
"Viggiano-Masseria_De_Blasiis","NO2","µg/m≥","02/01/2021","20","5.54","1"
