"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","01","1.86","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","02","1.85","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","03","1.93","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","04","1.82","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","05","1.79","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","06","2.20","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","07","1.92","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","08","1.90","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","09","2.57","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","10","2.20","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","11","2.16","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","12","1.99","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","13","1.89","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","14","1.96","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","15","2.00","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","16","1.81","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","17","1.85","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","18","1.89","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","19","1.83","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","20","0.62","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","21","0.60","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","22","0.63","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","23","0.80","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","01/01/2021","24","0.48","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","01","0.50","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","02","0.69","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","03","0.29","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","04","0.72","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","05","0.27","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","06","0.54","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","07","0.36","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","08","0.81","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","09","0.70","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","10","0.93","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","11","0.56","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","12","0.43","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","13","0.63","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","14","0.63","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","15","0.62","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","16","0.38","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","17","0.40","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","18","0.39","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","19","0.59","1"
"Viggiano-Masseria_De_Blasiis","NO","µg/m≥","02/01/2021","20","1.32","1"
