"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","01","51.11","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","02","48.31","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","03","52.82","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","04","57.69","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","05","71.11","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","06","-9999","-1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","07","45.26","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","08","50.69","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","09","53.51","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","10","58.11","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","11","56.80","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","12","65.16","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","13","68.07","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","14","75.48","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","15","77.72","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","16","79.24","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","17","66.06","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","18","54.82","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","19","50.45","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","20","57.02","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","21","57.27","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","22","45.76","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","23","40.48","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","01/01/2021","24","48.63","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","01","45.86","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","02","54.77","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","03","43.70","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","04","35.94","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","05","33.22","-99"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","06","26.84","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","07","47.92","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","08","43.76","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","09","49.94","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","10","55.46","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","11","53.51","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","12","75.19","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","13","76.13","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","14","85.20","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","15","85.53","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","16","87.53","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","17","82.88","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","18","71.76","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","19","64.65","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","20","66.91","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","21","61.95","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","22","54.14","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","23","42.25","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","02/01/2021","24","46.30","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","01","47.76","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","02","45.03","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","03","41.57","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","04","48.86","-99"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","05","53.37","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","06","71.22","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","07","77.17","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","08","78.87","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","09","68.34","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","10","59.72","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","11","61.61","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","12","70.72","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","13","81.03","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","14","90.85","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","15","92.13","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","16","81.06","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","17","78.82","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","18","66.46","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","19","61.33","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","20","53.31","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","21","56.96","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","22","52.93","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","23","63.42","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","03/01/2021","24","82.93","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","01","86.98","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","02","84.98","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","03","88.15","-99"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","04","75.38","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","05","69.21","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","06","66.19","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","07","57.05","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","08","56.88","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","09","53.10","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","10","44.25","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","11","48.52","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","12","51.68","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","13","68.14","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","14","72.99","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","15","74.25","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","16","73.66","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","17","80.92","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","18","69.11","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","19","68.56","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","20","68.73","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","21","67.47","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","22","66.90","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","23","58.89","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","04/01/2021","24","62.36","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","05/01/2021","01","58.70","1"
"Viggiano-Masseria_De_Blasiis","O3","µg/m≥","05/01/2021","02","53.40","-99"
