"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","01","937.500","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","02","937.440","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","03","937.750","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","04","937.840","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","05","937.560","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","06","937.760","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","07","937.810","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","08","938.200","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","09","939.510","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","10","939.970","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","11","939.880","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","12","939.390","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","13","938.820","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","14","938.440","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","15","938.250","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","16","938.330","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","17","938.420","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","18","938.520","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","19","938.590","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","20","938.250","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","21","938.670","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","22","938.090","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","23","938.090","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","01/01/2021","24","937.950","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","02/01/2021","01","937.020","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","02/01/2021","02","936.960","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","02/01/2021","03","936.780","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","02/01/2021","04","936.180","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","02/01/2021","05","935.750","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","02/01/2021","06","935.240","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","02/01/2021","07","935.250","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","02/01/2021","08","936.030","1"
"Viggiano-Masseria_De_Blasiis","Pressione","hPa","02/01/2021","09","936.560","1"
