"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","01","-52.660","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","02","-57.590","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","03","-68.520","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","04","-65.410","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","05","-65.800","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","06","-62.530","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","07","-55.910","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","08","-53.160","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","09","-37.910","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","10","107.530","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","11","209.880","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","12","125.270","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","13","85.500","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","14","125.900","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","15","43.550","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","16","-20.390","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","17","-70.750","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","18","-69.380","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","19","-66.280","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","20","-56.580","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Netta","W/m≤","01/01/2021","21","-26.080","1"
