"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","01","2.750","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","02","3.470","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","03","2.620","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","04","1.690","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","05","1.420","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","06","1.170","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","07","0.820","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","08","1.300","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","09","4.750","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","10","8.010","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","11","10.530","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","12","10.890","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","13","11.440","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","14","12.400","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","15","12.580","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","16","11.110","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","17","8.750","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","18","6.260","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","19","4.430","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","20","3.680","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","21","4.210","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","22","4.610","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","23","4.710","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","01/01/2021","24","4.390","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","01","3.220","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","02","2.540","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","03","1.620","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","04","2.560","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","05","3.260","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","06","3.750","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","07","4.320","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","08","5.320","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","09","7.710","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","10","9.020","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","11","8.480","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","12","11.640","1"
"Viggiano-Masseria_De_Blasiis","Temperatura","∞C","02/01/2021","13","12.260","1"
