"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Ferrandina","Metano","ppm","01/01/2022","01","2.02","1"
"Ferrandina","Metano","ppm","01/01/2022","02","2.01","1"
"Ferrandina","Metano","ppm","01/01/2022","03","2.00","1"
"Ferrandina","Metano","ppm","01/01/2022","04","2.01","1"
"Ferrandina","Metano","ppm","01/01/2022","05","2.02","1"
"Ferrandina","Metano","ppm","01/01/2022","06","2.03","1"
"Ferrandina","Metano","ppm","01/01/2022","07","2.04","1"
"Ferrandina","Metano","ppm","01/01/2022","08","2.09","1"
"Ferrandina","Metano","ppm","01/01/2022","09","2.06","1"
"Ferrandina","Metano","ppm","01/01/2022","10","2.01","1"
"Ferrandina","Metano","ppm","01/01/2022","11","1.99","1"
"Ferrandina","Metano","ppm","01/01/2022","12","-9999","-1"
"Ferrandina","Metano","ppm","01/01/2022","13","1.98","1"
"Ferrandina","Metano","ppm","01/01/2022","14","1.96","1"
"Ferrandina","Metano","ppm","01/01/2022","15","1.96","1"
"Ferrandina","Metano","ppm","01/01/2022","16","1.97","1"
"Ferrandina","Metano","ppm","01/01/2022","17","1.97","1"
"Ferrandina","Metano","ppm","01/01/2022","18","1.99","1"
"Ferrandina","Metano","ppm","01/01/2022","19","1.99","1"
"Ferrandina","Metano","ppm","01/01/2022","20","1.99","1"
"Ferrandina","Metano","ppm","01/01/2022","21","1.99","1"
"Ferrandina","Metano","ppm","01/01/2022","22","2.01","1"
"Ferrandina","Metano","ppm","01/01/2022","23","2.03","1"
"Ferrandina","Metano","ppm","01/01/2022","24","2.03","1"
"Ferrandina","Metano","ppm","02/01/2022","01","2.03","1"
"Ferrandina","Metano","ppm","02/01/2022","02","2.01","1"
"Ferrandina","Metano","ppm","02/01/2022","03","2.01","1"
"Ferrandina","Metano","ppm","02/01/2022","04","2.02","1"
"Ferrandina","Metano","ppm","02/01/2022","05","2.02","1"
"Ferrandina","Metano","ppm","02/01/2022","06","2.01","1"
"Ferrandina","Metano","ppm","02/01/2022","07","2.01","1"
"Ferrandina","Metano","ppm","02/01/2022","08","2.02","1"
"Ferrandina","Metano","ppm","02/01/2022","09","2.02","1"
"Ferrandina","Metano","ppm","02/01/2022","10","2.02","1"
"Ferrandina","Metano","ppm","02/01/2022","11","-9999","-1"
"Ferrandina","Metano","ppm","02/01/2022","12","1.99","1"
"Ferrandina","Metano","ppm","02/01/2022","13","1.96","1"
"Ferrandina","Metano","ppm","02/01/2022","14","1.96","1"
"Ferrandina","Metano","ppm","02/01/2022","15","1.96","1"
"Ferrandina","Metano","ppm","02/01/2022","16","1.96","1"
"Ferrandina","Metano","ppm","02/01/2022","17","1.97","1"
"Ferrandina","Metano","ppm","02/01/2022","18","1.98","1"
"Ferrandina","Metano","ppm","02/01/2022","19","2.00","1"
"Ferrandina","Metano","ppm","02/01/2022","20","2.05","1"
"Ferrandina","Metano","ppm","02/01/2022","21","2.02","1"
"Ferrandina","Metano","ppm","02/01/2022","22","2.01","1"
"Ferrandina","Metano","ppm","02/01/2022","23","2.03","1"
"Ferrandina","Metano","ppm","02/01/2022","24","2.09","1"
"Ferrandina","Metano","ppm","03/01/2022","01","2.05","1"
"Ferrandina","Metano","ppm","03/01/2022","02","2.04","1"
"Ferrandina","Metano","ppm","03/01/2022","03","2.03","1"
"Ferrandina","Metano","ppm","03/01/2022","04","2.08","1"
"Ferrandina","Metano","ppm","03/01/2022","05","2.13","1"
"Ferrandina","Metano","ppm","03/01/2022","06","2.07","1"
"Ferrandina","Metano","ppm","03/01/2022","07","2.07","1"
"Ferrandina","Metano","ppm","03/01/2022","08","2.05","1"
"Ferrandina","Metano","ppm","03/01/2022","09","2.04","1"
"Ferrandina","Metano","ppm","03/01/2022","10","-9999","-1"
"Ferrandina","Metano","ppm","03/01/2022","11","2.01","1"
"Ferrandina","Metano","ppm","03/01/2022","12","1.99","1"
"Ferrandina","Metano","ppm","03/01/2022","13","1.97","1"
"Ferrandina","Metano","ppm","03/01/2022","14","1.97","1"
"Ferrandina","Metano","ppm","03/01/2022","15","1.97","1"
"Ferrandina","Metano","ppm","03/01/2022","16","1.98","1"
"Ferrandina","Metano","ppm","03/01/2022","17","1.99","1"
"Ferrandina","Metano","ppm","03/01/2022","18","2.01","1"
"Ferrandina","Metano","ppm","03/01/2022","19","2.03","1"
"Ferrandina","Metano","ppm","03/01/2022","20","2.02","1"
"Ferrandina","Metano","ppm","03/01/2022","21","2.06","1"
"Ferrandina","Metano","ppm","03/01/2022","22","2.05","1"
"Ferrandina","Metano","ppm","03/01/2022","23","2.04","1"
"Ferrandina","Metano","ppm","03/01/2022","24","2.03","1"
"Ferrandina","Metano","ppm","04/01/2022","01","2.01","1"
"Ferrandina","Metano","ppm","04/01/2022","02","2.02","1"
"Ferrandina","Metano","ppm","04/01/2022","03","2.02","1"
"Ferrandina","Metano","ppm","04/01/2022","04","2.03","1"
"Ferrandina","Metano","ppm","04/01/2022","05","2.04","1"
"Ferrandina","Metano","ppm","04/01/2022","06","2.08","1"
"Ferrandina","Metano","ppm","04/01/2022","07","2.04","1"
"Ferrandina","Metano","ppm","04/01/2022","08","2.03","1"
"Ferrandina","Metano","ppm","04/01/2022","09","-9999","-1"
"Ferrandina","Metano","ppm","04/01/2022","10","2.01","1"
"Ferrandina","Metano","ppm","04/01/2022","11","1.98","1"
"Ferrandina","Metano","ppm","04/01/2022","12","1.96","1"
"Ferrandina","Metano","ppm","04/01/2022","13","1.96","1"
"Ferrandina","Metano","ppm","04/01/2022","14","1.94","1"
"Ferrandina","Metano","ppm","04/01/2022","15","1.93","1"
"Ferrandina","Metano","ppm","04/01/2022","16","1.93","1"
"Ferrandina","Metano","ppm","04/01/2022","17","1.93","1"
"Ferrandina","Metano","ppm","04/01/2022","18","1.93","1"
"Ferrandina","Metano","ppm","04/01/2022","19","1.95","1"
"Ferrandina","Metano","ppm","04/01/2022","20","1.99","1"
"Ferrandina","Metano","ppm","04/01/2022","21","2.02","1"
"Ferrandina","Metano","ppm","04/01/2022","22","2.01","1"
"Ferrandina","Metano","ppm","04/01/2022","23","1.99","1"
"Ferrandina","Metano","ppm","04/01/2022","24","1.98","1"
"Ferrandina","Metano","ppm","05/01/2022","01","2.00","1"
"Ferrandina","Metano","ppm","05/01/2022","02","1.98","1"
"Ferrandina","Metano","ppm","05/01/2022","03","1.98","1"
"Ferrandina","Metano","ppm","05/01/2022","04","1.99","1"
"Ferrandina","Metano","ppm","05/01/2022","05","2.00","1"
"Ferrandina","Metano","ppm","05/01/2022","06","1.98","1"
"Ferrandina","Metano","ppm","05/01/2022","07","1.98","1"
"Ferrandina","Metano","ppm","05/01/2022","08","-9999","-1"
"Ferrandina","Metano","ppm","05/01/2022","09","1.97","1"
"Ferrandina","Metano","ppm","05/01/2022","10","1.96","1"
"Ferrandina","Metano","ppm","05/01/2022","11","1.95","1"
"Ferrandina","Metano","ppm","05/01/2022","12","1.93","1"
"Ferrandina","Metano","ppm","05/01/2022","13","1.91","1"
"Ferrandina","Metano","ppm","05/01/2022","14","1.90","1"
"Ferrandina","Metano","ppm","05/01/2022","15","1.91","1"
"Ferrandina","Metano","ppm","05/01/2022","16","1.91","1"
"Ferrandina","Metano","ppm","05/01/2022","17","1.91","1"
"Ferrandina","Metano","ppm","05/01/2022","18","1.91","1"
"Ferrandina","Metano","ppm","05/01/2022","19","1.91","1"
"Ferrandina","Metano","ppm","05/01/2022","20","1.94","1"
"Ferrandina","Metano","ppm","05/01/2022","21","1.94","1"
"Ferrandina","Metano","ppm","05/01/2022","22","1.95","1"
"Ferrandina","Metano","ppm","05/01/2022","23","1.94","1"
"Ferrandina","Metano","ppm","05/01/2022","24","1.91","1"
"Ferrandina","Metano","ppm","06/01/2022","01","1.92","1"
"Ferrandina","Metano","ppm","06/01/2022","02","1.92","1"
"Ferrandina","Metano","ppm","06/01/2022","03","1.92","1"
"Ferrandina","Metano","ppm","06/01/2022","04","1.93","1"
"Ferrandina","Metano","ppm","06/01/2022","05","1.93","1"
"Ferrandina","Metano","ppm","06/01/2022","06","1.94","1"
"Ferrandina","Metano","ppm","06/01/2022","07","-9999","-1"
"Ferrandina","Metano","ppm","06/01/2022","08","1.96","1"
"Ferrandina","Metano","ppm","06/01/2022","09","1.95","1"
"Ferrandina","Metano","ppm","06/01/2022","10","1.95","1"
"Ferrandina","Metano","ppm","06/01/2022","11","1.94","1"
"Ferrandina","Metano","ppm","06/01/2022","12","1.93","1"
"Ferrandina","Metano","ppm","06/01/2022","13","1.92","1"
"Ferrandina","Metano","ppm","06/01/2022","14","1.93","1"
"Ferrandina","Metano","ppm","06/01/2022","15","1.93","1"
"Ferrandina","Metano","ppm","06/01/2022","16","1.93","1"
"Ferrandina","Metano","ppm","06/01/2022","17","1.93","1"
"Ferrandina","Metano","ppm","06/01/2022","18","1.94","1"
"Ferrandina","Metano","ppm","06/01/2022","19","1.95","1"
