"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Ferrandina","NMHC","ppm","01/01/2022","01","0.09","1"
"Ferrandina","NMHC","ppm","01/01/2022","02","0.06","1"
"Ferrandina","NMHC","ppm","01/01/2022","03","0.06","1"
"Ferrandina","NMHC","ppm","01/01/2022","04","0.07","1"
"Ferrandina","NMHC","ppm","01/01/2022","05","0.06","1"
"Ferrandina","NMHC","ppm","01/01/2022","06","0.14","1"
"Ferrandina","NMHC","ppm","01/01/2022","07","0.40","1"
"Ferrandina","NMHC","ppm","01/01/2022","08","0.12","1"
"Ferrandina","NMHC","ppm","01/01/2022","09","0.32","1"
"Ferrandina","NMHC","ppm","01/01/2022","10","0.07","1"
"Ferrandina","NMHC","ppm","01/01/2022","11","0.07","1"
"Ferrandina","NMHC","ppm","01/01/2022","12","-9999","-1"
"Ferrandina","NMHC","ppm","01/01/2022","13","0.08","1"
"Ferrandina","NMHC","ppm","01/01/2022","14","0.06","1"
"Ferrandina","NMHC","ppm","01/01/2022","15","0.08","1"
"Ferrandina","NMHC","ppm","01/01/2022","16","0.09","1"
"Ferrandina","NMHC","ppm","01/01/2022","17","0.06","1"
"Ferrandina","NMHC","ppm","01/01/2022","18","0.05","1"
"Ferrandina","NMHC","ppm","01/01/2022","19","0.05","1"
"Ferrandina","NMHC","ppm","01/01/2022","20","0.06","1"
"Ferrandina","NMHC","ppm","01/01/2022","21","0.06","1"
"Ferrandina","NMHC","ppm","01/01/2022","22","0.05","1"
"Ferrandina","NMHC","ppm","01/01/2022","23","0.05","1"
"Ferrandina","NMHC","ppm","01/01/2022","24","0.05","1"
"Ferrandina","NMHC","ppm","02/01/2022","01","0.05","1"
"Ferrandina","NMHC","ppm","02/01/2022","02","0.05","1"
"Ferrandina","NMHC","ppm","02/01/2022","03","0.05","1"
"Ferrandina","NMHC","ppm","02/01/2022","04","0.05","1"
"Ferrandina","NMHC","ppm","02/01/2022","05","0.05","1"
"Ferrandina","NMHC","ppm","02/01/2022","06","0.07","1"
"Ferrandina","NMHC","ppm","02/01/2022","07","0.06","1"
"Ferrandina","NMHC","ppm","02/01/2022","08","0.06","1"
"Ferrandina","NMHC","ppm","02/01/2022","09","0.06","1"
"Ferrandina","NMHC","ppm","02/01/2022","10","0.06","1"
