"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Ferrandina","NO2","µg/m≥","01/01/2022","01","5.29","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","02","6.99","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","03","12.75","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","04","8.06","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","05","9.11","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","06","5.86","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","07","11.88","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","08","4.81","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","09","5.10","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","10","4.21","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","11","4.09","-1"
"Ferrandina","NO2","µg/m≥","01/01/2022","12","4.33","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","13","4.05","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","14","3.89","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","15","4.22","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","16","4.57","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","17","4.32","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","18","4.44","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","19","3.63","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","20","3.87","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","21","3.95","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","22","4.67","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","23","8.23","1"
"Ferrandina","NO2","µg/m≥","01/01/2022","24","4.56","1"
"Ferrandina","NO2","µg/m≥","02/01/2022","01","5.89","1"
"Ferrandina","NO2","µg/m≥","02/01/2022","02","4.33","1"
"Ferrandina","NO2","µg/m≥","02/01/2022","03","4.90","1"
"Ferrandina","NO2","µg/m≥","02/01/2022","04","4.74","1"
"Ferrandina","NO2","µg/m≥","02/01/2022","05","4.85","1"
