"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Ferrandina","NO","ppb","01/01/2022","01","2.33","1"
"Ferrandina","NO","ppb","01/01/2022","02","2.69","1"
"Ferrandina","NO","ppb","01/01/2022","03","3.56","1"
"Ferrandina","NO","ppb","01/01/2022","04","2.73","1"
"Ferrandina","NO","ppb","01/01/2022","05","3.47","1"
"Ferrandina","NO","ppb","01/01/2022","06","2.08","1"
"Ferrandina","NO","ppb","01/01/2022","07","4.93","1"
"Ferrandina","NO","ppb","01/01/2022","08","2.34","1"
"Ferrandina","NO","ppb","01/01/2022","09","2.52","1"
"Ferrandina","NO","ppb","01/01/2022","10","2.31","1"
"Ferrandina","NO","ppb","01/01/2022","11","2.80","1"
"Ferrandina","NO","ppb","01/01/2022","12","2.47","1"
"Ferrandina","NO","ppb","01/01/2022","13","2.41","1"
"Ferrandina","NO","ppb","01/01/2022","14","2.40","1"
"Ferrandina","NO","ppb","01/01/2022","15","2.47","1"
"Ferrandina","NO","ppb","01/01/2022","16","2.68","1"
"Ferrandina","NO","ppb","01/01/2022","17","2.58","1"
"Ferrandina","NO","ppb","01/01/2022","18","2.38","1"
"Ferrandina","NO","ppb","01/01/2022","19","2.48","1"
"Ferrandina","NO","ppb","01/01/2022","20","2.51","1"
"Ferrandina","NO","ppb","01/01/2022","21","2.17","1"
"Ferrandina","NO","ppb","01/01/2022","22","2.37","1"
"Ferrandina","NO","ppb","01/01/2022","23","2.82","1"
"Ferrandina","NO","ppb","01/01/2022","24","1.87","1"
"Ferrandina","NO","ppb","02/01/2022","01","1.76","1"
"Ferrandina","NO","ppb","02/01/2022","02","2.11","1"
"Ferrandina","NO","ppb","02/01/2022","03","2.06","1"
"Ferrandina","NO","ppb","02/01/2022","04","1.91","1"
"Ferrandina","NO","ppb","02/01/2022","05","1.81","1"
"Ferrandina","NO","ppb","02/01/2022","06","2.33","1"
"Ferrandina","NO","ppb","02/01/2022","07","2.59","1"
"Ferrandina","NO","ppb","02/01/2022","08","2.40","1"
"Ferrandina","NO","ppb","02/01/2022","09","2.64","1"
"Ferrandina","NO","ppb","02/01/2022","10","2.65","1"
"Ferrandina","NO","ppb","02/01/2022","11","2.38","1"
"Ferrandina","NO","ppb","02/01/2022","12","2.17","1"
"Ferrandina","NO","ppb","02/01/2022","13","2.84","1"
"Ferrandina","NO","ppb","02/01/2022","14","2.49","1"
"Ferrandina","NO","ppb","02/01/2022","15","2.85","1"
"Ferrandina","NO","ppb","02/01/2022","16","2.71","1"
"Ferrandina","NO","ppb","02/01/2022","17","4.30","1"
"Ferrandina","NO","ppb","02/01/2022","18","13.05","1"
"Ferrandina","NO","ppb","02/01/2022","19","43.09","1"
"Ferrandina","NO","ppb","02/01/2022","20","28.36","1"
"Ferrandina","NO","ppb","02/01/2022","21","11.75","1"
"Ferrandina","NO","ppb","02/01/2022","22","4.25","1"
"Ferrandina","NO","ppb","02/01/2022","23","6.18","1"
"Ferrandina","NO","ppb","02/01/2022","24","2.88","1"
"Ferrandina","NO","ppb","03/01/2022","01","2.86","1"
"Ferrandina","NO","ppb","03/01/2022","02","2.45","1"
"Ferrandina","NO","ppb","03/01/2022","03","3.13","1"
"Ferrandina","NO","ppb","03/01/2022","04","4.30","1"
"Ferrandina","NO","ppb","03/01/2022","05","3.57","1"
"Ferrandina","NO","ppb","03/01/2022","06","7.13","1"
"Ferrandina","NO","ppb","03/01/2022","07","24.00","1"
"Ferrandina","NO","ppb","03/01/2022","08","9.31","1"
"Ferrandina","NO","ppb","03/01/2022","09","13.97","1"
"Ferrandina","NO","ppb","03/01/2022","10","6.01","1"
"Ferrandina","NO","ppb","03/01/2022","11","5.97","1"
"Ferrandina","NO","ppb","03/01/2022","12","5.58","1"
"Ferrandina","NO","ppb","03/01/2022","13","2.82","1"
"Ferrandina","NO","ppb","03/01/2022","14","4.09","1"
"Ferrandina","NO","ppb","03/01/2022","15","3.63","1"
"Ferrandina","NO","ppb","03/01/2022","16","6.24","1"
"Ferrandina","NO","ppb","03/01/2022","17","9.65","1"
"Ferrandina","NO","ppb","03/01/2022","18","50.07","1"
"Ferrandina","NO","ppb","03/01/2022","19","56.90","1"
"Ferrandina","NO","ppb","03/01/2022","20","17.61","1"
"Ferrandina","NO","ppb","03/01/2022","21","9.30","1"
"Ferrandina","NO","ppb","03/01/2022","22","3.92","1"
"Ferrandina","NO","ppb","03/01/2022","23","6.31","1"
"Ferrandina","NO","ppb","03/01/2022","24","3.83","1"
"Ferrandina","NO","ppb","04/01/2022","01","3.22","1"
"Ferrandina","NO","ppb","04/01/2022","02","2.69","1"
"Ferrandina","NO","ppb","04/01/2022","03","2.88","1"
"Ferrandina","NO","ppb","04/01/2022","04","2.89","1"
"Ferrandina","NO","ppb","04/01/2022","05","3.86","1"
"Ferrandina","NO","ppb","04/01/2022","06","16.59","1"
"Ferrandina","NO","ppb","04/01/2022","07","23.72","1"
"Ferrandina","NO","ppb","04/01/2022","08","40.99","1"
"Ferrandina","NO","ppb","04/01/2022","09","30.82","1"
"Ferrandina","NO","ppb","04/01/2022","10","16.06","1"
"Ferrandina","NO","ppb","04/01/2022","11","6.44","1"
"Ferrandina","NO","ppb","04/01/2022","12","4.33","1"
"Ferrandina","NO","ppb","04/01/2022","13","3.69","1"
"Ferrandina","NO","ppb","04/01/2022","14","2.66","1"
"Ferrandina","NO","ppb","04/01/2022","15","3.57","1"
"Ferrandina","NO","ppb","04/01/2022","16","3.08","1"
"Ferrandina","NO","ppb","04/01/2022","17","7.72","1"
"Ferrandina","NO","ppb","04/01/2022","18","13.22","1"
"Ferrandina","NO","ppb","04/01/2022","19","24.48","1"
"Ferrandina","NO","ppb","04/01/2022","20","29.19","1"
"Ferrandina","NO","ppb","04/01/2022","21","21.41","1"
"Ferrandina","NO","ppb","04/01/2022","22","7.31","1"
"Ferrandina","NO","ppb","04/01/2022","23","17.55","1"
"Ferrandina","NO","ppb","04/01/2022","24","4.07","1"
"Ferrandina","NO","ppb","05/01/2022","01","1.77","1"
"Ferrandina","NO","ppb","05/01/2022","02","2.12","1"
"Ferrandina","NO","ppb","05/01/2022","03","2.35","1"
"Ferrandina","NO","ppb","05/01/2022","04","2.46","1"
"Ferrandina","NO","ppb","05/01/2022","05","2.75","1"
"Ferrandina","NO","ppb","05/01/2022","06","3.54","1"
"Ferrandina","NO","ppb","05/01/2022","07","20.39","1"
"Ferrandina","NO","ppb","05/01/2022","08","14.92","1"
"Ferrandina","NO","ppb","05/01/2022","09","9.46","1"
"Ferrandina","NO","ppb","05/01/2022","10","8.40","1"
"Ferrandina","NO","ppb","05/01/2022","11","13.42","1"
"Ferrandina","NO","ppb","05/01/2022","12","7.01","1"
"Ferrandina","NO","ppb","05/01/2022","13","3.76","1"
"Ferrandina","NO","ppb","05/01/2022","14","2.55","1"
"Ferrandina","NO","ppb","05/01/2022","15","3.12","1"
"Ferrandina","NO","ppb","05/01/2022","16","3.15","1"
"Ferrandina","NO","ppb","05/01/2022","17","-9999","-1"
"Ferrandina","NO","ppb","05/01/2022","18","11.31","1"
"Ferrandina","NO","ppb","05/01/2022","19","4.55","1"
"Ferrandina","NO","ppb","05/01/2022","20","4.84","1"
"Ferrandina","NO","ppb","05/01/2022","21","3.79","1"
"Ferrandina","NO","ppb","05/01/2022","22","2.55","1"
"Ferrandina","NO","ppb","05/01/2022","23","3.56","1"
"Ferrandina","NO","ppb","05/01/2022","24","1.40","-1"
"Ferrandina","NO","ppb","06/01/2022","01","1.59","-1"
"Ferrandina","NO","ppb","06/01/2022","02","1.43","-1"
"Ferrandina","NO","ppb","06/01/2022","03","1.29","-1"
"Ferrandina","NO","ppb","06/01/2022","04","1.53","-1"
"Ferrandina","NO","ppb","06/01/2022","05","1.57","-1"
"Ferrandina","NO","ppb","06/01/2022","06","1.81","-1"
"Ferrandina","NO","ppb","06/01/2022","07","3.47","-1"
"Ferrandina","NO","ppb","06/01/2022","08","4.81","-1"
"Ferrandina","NO","ppb","06/01/2022","09","2.21","-1"
"Ferrandina","NO","ppb","06/01/2022","10","2.02","-1"
"Ferrandina","NO","ppb","06/01/2022","11","4.20","-1"
"Ferrandina","NO","ppb","06/01/2022","12","1.47","-1"
"Ferrandina","NO","ppb","06/01/2022","13","1.54","-1"
"Ferrandina","NO","ppb","06/01/2022","14","1.69","-1"
"Ferrandina","NO","ppb","06/01/2022","15","1.59","-1"
"Ferrandina","NO","ppb","06/01/2022","16","1.81","-1"
"Ferrandina","NO","ppb","06/01/2022","17","1.61","-1"
"Ferrandina","NO","ppb","06/01/2022","18","1.50","-1"
"Ferrandina","NO","ppb","06/01/2022","19","1.53","-1"
"Ferrandina","NO","ppb","06/01/2022","20","1.69","-1"
"Ferrandina","NO","ppb","06/01/2022","21","1.73","-1"
"Ferrandina","NO","ppb","06/01/2022","22","1.05","-1"
"Ferrandina","NO","ppb","06/01/2022","23","0.73","-1"
"Ferrandina","NO","ppb","06/01/2022","24","0.79","-1"
"Ferrandina","NO","ppb","07/01/2022","01","0.77","-1"
"Ferrandina","NO","ppb","07/01/2022","02","0.77","-1"
"Ferrandina","NO","ppb","07/01/2022","03","0.78","-1"
"Ferrandina","NO","ppb","07/01/2022","04","0.80","-1"
"Ferrandina","NO","ppb","07/01/2022","05","1.19","-1"
"Ferrandina","NO","ppb","07/01/2022","06","1.17","-1"
"Ferrandina","NO","ppb","07/01/2022","07","1.63","-1"
"Ferrandina","NO","ppb","07/01/2022","08","1.70","-1"
"Ferrandina","NO","ppb","07/01/2022","09","1.76","-1"
"Ferrandina","NO","ppb","07/01/2022","10","1.73","-1"
"Ferrandina","NO","ppb","07/01/2022","11","1.61","-1"
"Ferrandina","NO","ppb","07/01/2022","12","1.54","-1"
"Ferrandina","NO","ppb","07/01/2022","13","1.76","-1"
"Ferrandina","NO","ppb","07/01/2022","14","1.73","-1"
"Ferrandina","NO","ppb","07/01/2022","15","1.84","-1"
"Ferrandina","NO","ppb","07/01/2022","16","1.47","-1"
"Ferrandina","NO","ppb","07/01/2022","17","-9999","-1"
"Ferrandina","NO","ppb","07/01/2022","18","1.25","1"
"Ferrandina","NO","ppb","07/01/2022","19","2.34","1"
"Ferrandina","NO","ppb","07/01/2022","20","1.95","1"
"Ferrandina","NO","ppb","07/01/2022","21","1.77","1"
"Ferrandina","NO","ppb","07/01/2022","22","1.89","1"
"Ferrandina","NO","ppb","07/01/2022","23","1.87","1"
"Ferrandina","NO","ppb","07/01/2022","24","2.02","1"
"Ferrandina","NO","ppb","08/01/2022","01","2.02","1"
"Ferrandina","NO","ppb","08/01/2022","02","2.55","1"
"Ferrandina","NO","ppb","08/01/2022","03","2.14","1"
"Ferrandina","NO","ppb","08/01/2022","04","2.49","1"
"Ferrandina","NO","ppb","08/01/2022","05","2.27","1"
"Ferrandina","NO","ppb","08/01/2022","06","2.12","1"
"Ferrandina","NO","ppb","08/01/2022","07","2.03","1"
"Ferrandina","NO","ppb","08/01/2022","08","2.18","1"
"Ferrandina","NO","ppb","08/01/2022","09","2.39","1"
"Ferrandina","NO","ppb","08/01/2022","10","2.14","1"
"Ferrandina","NO","ppb","08/01/2022","11","2.08","1"
"Ferrandina","NO","ppb","08/01/2022","12","2.37","1"
"Ferrandina","NO","ppb","08/01/2022","13","2.64","1"
"Ferrandina","NO","ppb","08/01/2022","14","2.56","1"
"Ferrandina","NO","ppb","08/01/2022","15","2.54","1"
"Ferrandina","NO","ppb","08/01/2022","16","2.43","1"
"Ferrandina","NO","ppb","08/01/2022","17","2.27","1"
"Ferrandina","NO","ppb","08/01/2022","18","2.30","1"
"Ferrandina","NO","ppb","08/01/2022","19","2.57","1"
"Ferrandina","NO","ppb","08/01/2022","20","2.59","1"
"Ferrandina","NO","ppb","08/01/2022","21","2.31","1"
"Ferrandina","NO","ppb","08/01/2022","22","2.40","1"
"Ferrandina","NO","ppb","08/01/2022","23","2.43","1"
"Ferrandina","NO","ppb","08/01/2022","24","2.24","1"
"Ferrandina","NO","ppb","09/01/2022","01","1.96","1"
"Ferrandina","NO","ppb","09/01/2022","02","2.39","1"
"Ferrandina","NO","ppb","09/01/2022","03","1.82","1"
"Ferrandina","NO","ppb","09/01/2022","04","1.99","1"
"Ferrandina","NO","ppb","09/01/2022","05","2.70","1"
"Ferrandina","NO","ppb","09/01/2022","06","2.39","1"
"Ferrandina","NO","ppb","09/01/2022","07","2.66","1"
"Ferrandina","NO","ppb","09/01/2022","08","2.77","1"
"Ferrandina","NO","ppb","09/01/2022","09","2.96","1"
"Ferrandina","NO","ppb","09/01/2022","10","3.51","1"
"Ferrandina","NO","ppb","09/01/2022","11","2.22","1"
"Ferrandina","NO","ppb","09/01/2022","12","2.55","1"
"Ferrandina","NO","ppb","09/01/2022","13","2.31","1"
"Ferrandina","NO","ppb","09/01/2022","14","2.51","1"
"Ferrandina","NO","ppb","09/01/2022","15","3.48","1"
"Ferrandina","NO","ppb","09/01/2022","16","2.21","1"
"Ferrandina","NO","ppb","09/01/2022","17","2.64","1"
"Ferrandina","NO","ppb","09/01/2022","18","2.42","1"
"Ferrandina","NO","ppb","09/01/2022","19","2.47","1"
"Ferrandina","NO","ppb","09/01/2022","20","2.12","1"
"Ferrandina","NO","ppb","09/01/2022","21","2.94","1"
"Ferrandina","NO","ppb","09/01/2022","22","2.56","1"
"Ferrandina","NO","ppb","09/01/2022","23","2.55","1"
"Ferrandina","NO","ppb","09/01/2022","24","2.35","1"
"Ferrandina","NO","ppb","10/01/2022","01","2.10","1"
"Ferrandina","NO","ppb","10/01/2022","02","3.04","1"
"Ferrandina","NO","ppb","10/01/2022","03","2.40","1"
"Ferrandina","NO","ppb","10/01/2022","04","2.23","1"
"Ferrandina","NO","ppb","10/01/2022","05","2.51","1"
"Ferrandina","NO","ppb","10/01/2022","06","2.63","1"
"Ferrandina","NO","ppb","10/01/2022","07","2.39","1"
"Ferrandina","NO","ppb","10/01/2022","08","2.80","1"
"Ferrandina","NO","ppb","10/01/2022","09","2.69","1"
"Ferrandina","NO","ppb","10/01/2022","10","2.39","1"
"Ferrandina","NO","ppb","10/01/2022","11","4.21","1"
"Ferrandina","NO","ppb","10/01/2022","12","2.96","1"
"Ferrandina","NO","ppb","10/01/2022","13","3.13","1"
"Ferrandina","NO","ppb","10/01/2022","14","3.27","1"
"Ferrandina","NO","ppb","10/01/2022","15","2.82","1"
"Ferrandina","NO","ppb","10/01/2022","16","2.77","1"
"Ferrandina","NO","ppb","10/01/2022","17","2.78","1"
"Ferrandina","NO","ppb","10/01/2022","18","3.00","1"
"Ferrandina","NO","ppb","10/01/2022","19","2.37","1"
"Ferrandina","NO","ppb","10/01/2022","20","2.13","1"
"Ferrandina","NO","ppb","10/01/2022","21","2.13","1"
"Ferrandina","NO","ppb","10/01/2022","22","2.48","1"
"Ferrandina","NO","ppb","10/01/2022","23","2.30","1"
"Ferrandina","NO","ppb","10/01/2022","24","2.31","1"
"Ferrandina","NO","ppb","11/01/2022","01","2.37","1"
"Ferrandina","NO","ppb","11/01/2022","02","2.25","1"
"Ferrandina","NO","ppb","11/01/2022","03","2.62","1"
"Ferrandina","NO","ppb","11/01/2022","04","2.27","1"
"Ferrandina","NO","ppb","11/01/2022","05","2.53","1"
"Ferrandina","NO","ppb","11/01/2022","06","2.16","1"
"Ferrandina","NO","ppb","11/01/2022","07","2.21","1"
"Ferrandina","NO","ppb","11/01/2022","08","2.47","1"
"Ferrandina","NO","ppb","11/01/2022","09","3.40","1"
"Ferrandina","NO","ppb","11/01/2022","10","2.93","1"
"Ferrandina","NO","ppb","11/01/2022","11","2.73","1"
"Ferrandina","NO","ppb","11/01/2022","12","2.69","1"
"Ferrandina","NO","ppb","11/01/2022","13","2.89","1"
"Ferrandina","NO","ppb","11/01/2022","14","2.79","1"
"Ferrandina","NO","ppb","11/01/2022","15","2.71","1"
"Ferrandina","NO","ppb","11/01/2022","16","2.47","1"
"Ferrandina","NO","ppb","11/01/2022","17","2.28","1"
"Ferrandina","NO","ppb","11/01/2022","18","2.75","1"
"Ferrandina","NO","ppb","11/01/2022","19","2.28","1"
"Ferrandina","NO","ppb","11/01/2022","20","2.38","1"
"Ferrandina","NO","ppb","11/01/2022","21","2.63","1"
"Ferrandina","NO","ppb","11/01/2022","22","2.56","1"
"Ferrandina","NO","ppb","11/01/2022","23","2.63","1"
"Ferrandina","NO","ppb","11/01/2022","24","2.28","1"
"Ferrandina","NO","ppb","12/01/2022","01","2.39","1"
"Ferrandina","NO","ppb","12/01/2022","02","2.70","1"
"Ferrandina","NO","ppb","12/01/2022","03","2.29","1"
"Ferrandina","NO","ppb","12/01/2022","04","2.56","1"
"Ferrandina","NO","ppb","12/01/2022","05","2.07","1"
"Ferrandina","NO","ppb","12/01/2022","06","2.55","1"
"Ferrandina","NO","ppb","12/01/2022","07","2.44","1"
"Ferrandina","NO","ppb","12/01/2022","08","2.93","1"
"Ferrandina","NO","ppb","12/01/2022","09","3.05","1"
"Ferrandina","NO","ppb","12/01/2022","10","2.41","1"
"Ferrandina","NO","ppb","12/01/2022","11","3.16","1"
"Ferrandina","NO","ppb","12/01/2022","12","2.85","1"
"Ferrandina","NO","ppb","12/01/2022","13","3.89","1"
"Ferrandina","NO","ppb","12/01/2022","14","2.67","1"
"Ferrandina","NO","ppb","12/01/2022","15","3.08","1"
"Ferrandina","NO","ppb","12/01/2022","16","3.36","1"
"Ferrandina","NO","ppb","12/01/2022","17","3.07","1"
"Ferrandina","NO","ppb","12/01/2022","18","2.92","1"
"Ferrandina","NO","ppb","12/01/2022","19","3.02","1"
"Ferrandina","NO","ppb","12/01/2022","20","2.08","1"
"Ferrandina","NO","ppb","12/01/2022","21","2.54","1"
"Ferrandina","NO","ppb","12/01/2022","22","2.47","1"
"Ferrandina","NO","ppb","12/01/2022","23","2.60","1"
"Ferrandina","NO","ppb","12/01/2022","24","2.63","1"
"Ferrandina","NO","ppb","13/01/2022","01","2.63","1"
"Ferrandina","NO","ppb","13/01/2022","02","2.57","1"
"Ferrandina","NO","ppb","13/01/2022","03","2.38","1"
"Ferrandina","NO","ppb","13/01/2022","04","2.59","1"
"Ferrandina","NO","ppb","13/01/2022","05","2.85","1"
"Ferrandina","NO","ppb","13/01/2022","06","2.87","1"
"Ferrandina","NO","ppb","13/01/2022","07","3.40","1"
"Ferrandina","NO","ppb","13/01/2022","08","6.58","1"
"Ferrandina","NO","ppb","13/01/2022","09","10.88","1"
"Ferrandina","NO","ppb","13/01/2022","10","3.09","1"
"Ferrandina","NO","ppb","13/01/2022","11","3.83","1"
"Ferrandina","NO","ppb","13/01/2022","12","3.42","1"
"Ferrandina","NO","ppb","13/01/2022","13","3.23","1"
"Ferrandina","NO","ppb","13/01/2022","14","3.13","1"
"Ferrandina","NO","ppb","13/01/2022","15","3.31","1"
"Ferrandina","NO","ppb","13/01/2022","16","2.38","1"
"Ferrandina","NO","ppb","13/01/2022","17","2.66","1"
"Ferrandina","NO","ppb","13/01/2022","18","3.67","1"
"Ferrandina","NO","ppb","13/01/2022","19","4.01","1"
"Ferrandina","NO","ppb","13/01/2022","20","2.74","1"
"Ferrandina","NO","ppb","13/01/2022","21","2.35","1"
"Ferrandina","NO","ppb","13/01/2022","22","2.42","1"
"Ferrandina","NO","ppb","13/01/2022","23","2.32","1"
"Ferrandina","NO","ppb","13/01/2022","24","2.73","1"
"Ferrandina","NO","ppb","14/01/2022","01","2.69","1"
