"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Ferrandina","NOx","ppb","01/01/2022","01","5.08","1"
"Ferrandina","NOx","ppb","01/01/2022","02","6.33","1"
"Ferrandina","NOx","ppb","01/01/2022","03","10.20","1"
"Ferrandina","NOx","ppb","01/01/2022","04","6.93","1"
"Ferrandina","NOx","ppb","01/01/2022","05","8.21","1"
"Ferrandina","NOx","ppb","01/01/2022","06","5.13","1"
"Ferrandina","NOx","ppb","01/01/2022","07","11.11","1"
"Ferrandina","NOx","ppb","01/01/2022","08","4.85","1"
"Ferrandina","NOx","ppb","01/01/2022","09","5.17","1"
"Ferrandina","NOx","ppb","01/01/2022","10","4.50","1"
"Ferrandina","NOx","ppb","01/01/2022","11","4.93","-1"
"Ferrandina","NOx","ppb","01/01/2022","12","4.71","1"
"Ferrandina","NOx","ppb","01/01/2022","13","4.51","1"
"Ferrandina","NOx","ppb","01/01/2022","14","4.42","1"
"Ferrandina","NOx","ppb","01/01/2022","15","4.66","1"
"Ferrandina","NOx","ppb","01/01/2022","16","5.05","1"
"Ferrandina","NOx","ppb","01/01/2022","17","4.83","1"
"Ferrandina","NOx","ppb","01/01/2022","18","4.68","1"
"Ferrandina","NOx","ppb","01/01/2022","19","4.35","1"
"Ferrandina","NOx","ppb","01/01/2022","20","4.52","1"
"Ferrandina","NOx","ppb","01/01/2022","21","4.22","1"
"Ferrandina","NOx","ppb","01/01/2022","22","4.79","1"
"Ferrandina","NOx","ppb","01/01/2022","23","7.10","1"
"Ferrandina","NOx","ppb","01/01/2022","24","4.24","1"
"Ferrandina","NOx","ppb","02/01/2022","01","4.83","1"
"Ferrandina","NOx","ppb","02/01/2022","02","4.36","1"
"Ferrandina","NOx","ppb","02/01/2022","03","4.56","1"
"Ferrandina","NOx","ppb","02/01/2022","04","4.37","1"
"Ferrandina","NOx","ppb","02/01/2022","05","4.33","1"
"Ferrandina","NOx","ppb","02/01/2022","06","4.98","1"
"Ferrandina","NOx","ppb","02/01/2022","07","6.89","1"
"Ferrandina","NOx","ppb","02/01/2022","08","6.34","1"
"Ferrandina","NOx","ppb","02/01/2022","09","5.83","1"
"Ferrandina","NOx","ppb","02/01/2022","10","5.30","-1"
"Ferrandina","NOx","ppb","02/01/2022","11","5.23","1"
