"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Ferrandina","O3","µg/m≥","01/01/2022","01","33.05","1"
"Ferrandina","O3","µg/m≥","01/01/2022","02","30.05","1"
"Ferrandina","O3","µg/m≥","01/01/2022","03","24.16","1"
"Ferrandina","O3","µg/m≥","01/01/2022","04","29.11","1"
"Ferrandina","O3","µg/m≥","01/01/2022","05","25.16","1"
"Ferrandina","O3","µg/m≥","01/01/2022","06","32.52","1"
"Ferrandina","O3","µg/m≥","01/01/2022","07","26.45","1"
"Ferrandina","O3","µg/m≥","01/01/2022","08","34.64","1"
"Ferrandina","O3","µg/m≥","01/01/2022","09","35.68","1"
"Ferrandina","O3","µg/m≥","01/01/2022","10","46.71","1"
"Ferrandina","O3","µg/m≥","01/01/2022","11","56.89","1"
"Ferrandina","O3","µg/m≥","01/01/2022","12","66.64","1"
"Ferrandina","O3","µg/m≥","01/01/2022","13","71.63","-1"
"Ferrandina","O3","µg/m≥","01/01/2022","14","72.90","1"
"Ferrandina","O3","µg/m≥","01/01/2022","15","71.95","1"
"Ferrandina","O3","µg/m≥","01/01/2022","16","69.09","1"
"Ferrandina","O3","µg/m≥","01/01/2022","17","62.74","1"
"Ferrandina","O3","µg/m≥","01/01/2022","18","59.50","1"
"Ferrandina","O3","µg/m≥","01/01/2022","19","58.90","1"
"Ferrandina","O3","µg/m≥","01/01/2022","20","61.94","1"
"Ferrandina","O3","µg/m≥","01/01/2022","21","57.34","1"
"Ferrandina","O3","µg/m≥","01/01/2022","22","52.00","1"
"Ferrandina","O3","µg/m≥","01/01/2022","23","46.64","1"
"Ferrandina","O3","µg/m≥","01/01/2022","24","46.27","1"
"Ferrandina","O3","µg/m≥","02/01/2022","01","41.34","1"
"Ferrandina","O3","µg/m≥","02/01/2022","02","43.40","1"
"Ferrandina","O3","µg/m≥","02/01/2022","03","42.85","1"
"Ferrandina","O3","µg/m≥","02/01/2022","04","38.98","1"
"Ferrandina","O3","µg/m≥","02/01/2022","05","36.62","1"
"Ferrandina","O3","µg/m≥","02/01/2022","06","36.74","1"
"Ferrandina","O3","µg/m≥","02/01/2022","07","30.79","1"
"Ferrandina","O3","µg/m≥","02/01/2022","08","31.79","1"
"Ferrandina","O3","µg/m≥","02/01/2022","09","34.66","1"
"Ferrandina","O3","µg/m≥","02/01/2022","10","39.75","1"
"Ferrandina","O3","µg/m≥","02/01/2022","11","47.45","1"
"Ferrandina","O3","µg/m≥","02/01/2022","12","56.12","-1"
"Ferrandina","O3","µg/m≥","02/01/2022","13","59.09","1"
"Ferrandina","O3","µg/m≥","02/01/2022","14","66.14","1"
"Ferrandina","O3","µg/m≥","02/01/2022","15","68.63","1"
"Ferrandina","O3","µg/m≥","02/01/2022","16","60.34","1"
"Ferrandina","O3","µg/m≥","02/01/2022","17","41.69","1"
"Ferrandina","O3","µg/m≥","02/01/2022","18","15.27","1"
"Ferrandina","O3","µg/m≥","02/01/2022","19","1.74","1"
"Ferrandina","O3","µg/m≥","02/01/2022","20","1.55","1"
"Ferrandina","O3","µg/m≥","02/01/2022","21","8.85","1"
"Ferrandina","O3","µg/m≥","02/01/2022","22","14.39","1"
"Ferrandina","O3","µg/m≥","02/01/2022","23","9.00","1"
"Ferrandina","O3","µg/m≥","02/01/2022","24","17.82","1"
"Ferrandina","O3","µg/m≥","03/01/2022","01","22.20","1"
"Ferrandina","O3","µg/m≥","03/01/2022","02","21.12","1"
"Ferrandina","O3","µg/m≥","03/01/2022","03","11.13","1"
"Ferrandina","O3","µg/m≥","03/01/2022","04","11.82","1"
"Ferrandina","O3","µg/m≥","03/01/2022","05","12.56","1"
"Ferrandina","O3","µg/m≥","03/01/2022","06","5.06","1"
"Ferrandina","O3","µg/m≥","03/01/2022","07","4.62","1"
"Ferrandina","O3","µg/m≥","03/01/2022","08","9.18","1"
"Ferrandina","O3","µg/m≥","03/01/2022","09","16.17","1"
"Ferrandina","O3","µg/m≥","03/01/2022","10","22.53","1"
"Ferrandina","O3","µg/m≥","03/01/2022","11","37.36","-1"
"Ferrandina","O3","µg/m≥","03/01/2022","12","52.76","1"
"Ferrandina","O3","µg/m≥","03/01/2022","13","62.71","1"
