"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Ferrandina","Pressione","mBar","01/01/2022","01","991.58","1"
"Ferrandina","Pressione","mBar","01/01/2022","02","991.24","1"
"Ferrandina","Pressione","mBar","01/01/2022","03","991.07","1"
"Ferrandina","Pressione","mBar","01/01/2022","04","990.48","1"
"Ferrandina","Pressione","mBar","01/01/2022","05","990.09","1"
"Ferrandina","Pressione","mBar","01/01/2022","06","990.42","1"
"Ferrandina","Pressione","mBar","01/01/2022","07","990.70","1"
"Ferrandina","Pressione","mBar","01/01/2022","08","991.05","1"
"Ferrandina","Pressione","mBar","01/01/2022","09","991.42","1"
"Ferrandina","Pressione","mBar","01/01/2022","10","991.57","1"
"Ferrandina","Pressione","mBar","01/01/2022","11","991.34","1"
"Ferrandina","Pressione","mBar","01/01/2022","12","990.94","1"
"Ferrandina","Pressione","mBar","01/01/2022","13","990.60","1"
"Ferrandina","Pressione","mBar","01/01/2022","14","990.19","1"
"Ferrandina","Pressione","mBar","01/01/2022","15","990.05","1"
"Ferrandina","Pressione","mBar","01/01/2022","16","990.30","1"
"Ferrandina","Pressione","mBar","01/01/2022","17","990.55","1"
"Ferrandina","Pressione","mBar","01/01/2022","18","991.21","1"
"Ferrandina","Pressione","mBar","01/01/2022","19","992.01","1"
"Ferrandina","Pressione","mBar","01/01/2022","20","992.75","1"
"Ferrandina","Pressione","mBar","01/01/2022","21","993.05","1"
"Ferrandina","Pressione","mBar","01/01/2022","22","993.47","1"
"Ferrandina","Pressione","mBar","01/01/2022","23","993.87","1"
"Ferrandina","Pressione","mBar","01/01/2022","24","994.22","1"
"Ferrandina","Pressione","mBar","02/01/2022","01","994.29","1"
"Ferrandina","Pressione","mBar","02/01/2022","02","994.43","1"
"Ferrandina","Pressione","mBar","02/01/2022","03","994.54","1"
"Ferrandina","Pressione","mBar","02/01/2022","04","994.51","1"
"Ferrandina","Pressione","mBar","02/01/2022","05","994.47","1"
"Ferrandina","Pressione","mBar","02/01/2022","06","994.25","1"
"Ferrandina","Pressione","mBar","02/01/2022","07","994.23","1"
"Ferrandina","Pressione","mBar","02/01/2022","08","994.31","1"
"Ferrandina","Pressione","mBar","02/01/2022","09","994.60","1"
"Ferrandina","Pressione","mBar","02/01/2022","10","994.59","1"
"Ferrandina","Pressione","mBar","02/01/2022","11","994.43","1"
"Ferrandina","Pressione","mBar","02/01/2022","12","993.65","1"
"Ferrandina","Pressione","mBar","02/01/2022","13","992.08","1"
"Ferrandina","Pressione","mBar","02/01/2022","14","990.94","1"
"Ferrandina","Pressione","mBar","02/01/2022","15","990.53","1"
"Ferrandina","Pressione","mBar","02/01/2022","16","990.74","1"
"Ferrandina","Pressione","mBar","02/01/2022","17","991.22","1"
"Ferrandina","Pressione","mBar","02/01/2022","18","991.45","1"
"Ferrandina","Pressione","mBar","02/01/2022","19","991.74","1"
"Ferrandina","Pressione","mBar","02/01/2022","20","991.94","1"
"Ferrandina","Pressione","mBar","02/01/2022","21","992.15","1"
"Ferrandina","Pressione","mBar","02/01/2022","22","992.05","1"
"Ferrandina","Pressione","mBar","02/01/2022","23","991.80","1"
"Ferrandina","Pressione","mBar","02/01/2022","24","991.49","1"
"Ferrandina","Pressione","mBar","03/01/2022","01","991.36","1"
"Ferrandina","Pressione","mBar","03/01/2022","02","991.31","1"
"Ferrandina","Pressione","mBar","03/01/2022","03","991.33","1"
"Ferrandina","Pressione","mBar","03/01/2022","04","990.91","1"
"Ferrandina","Pressione","mBar","03/01/2022","05","990.63","1"
"Ferrandina","Pressione","mBar","03/01/2022","06","990.14","1"
"Ferrandina","Pressione","mBar","03/01/2022","07","990.27","1"
"Ferrandina","Pressione","mBar","03/01/2022","08","990.43","1"
"Ferrandina","Pressione","mBar","03/01/2022","09","990.60","1"
"Ferrandina","Pressione","mBar","03/01/2022","10","990.59","1"
"Ferrandina","Pressione","mBar","03/01/2022","11","989.77","1"
"Ferrandina","Pressione","mBar","03/01/2022","12","989.03","1"
"Ferrandina","Pressione","mBar","03/01/2022","13","987.97","1"
"Ferrandina","Pressione","mBar","03/01/2022","14","986.70","1"
"Ferrandina","Pressione","mBar","03/01/2022","15","986.20","1"
"Ferrandina","Pressione","mBar","03/01/2022","16","986.76","1"
"Ferrandina","Pressione","mBar","03/01/2022","17","987.09","1"
"Ferrandina","Pressione","mBar","03/01/2022","18","987.51","1"
"Ferrandina","Pressione","mBar","03/01/2022","19","987.63","1"
"Ferrandina","Pressione","mBar","03/01/2022","20","987.21","1"
"Ferrandina","Pressione","mBar","03/01/2022","21","987.47","1"
"Ferrandina","Pressione","mBar","03/01/2022","22","987.22","1"
"Ferrandina","Pressione","mBar","03/01/2022","23","987.23","1"
"Ferrandina","Pressione","mBar","03/01/2022","24","987.09","1"
"Ferrandina","Pressione","mBar","04/01/2022","01","986.40","1"
"Ferrandina","Pressione","mBar","04/01/2022","02","986.04","1"
"Ferrandina","Pressione","mBar","04/01/2022","03","985.80","1"
"Ferrandina","Pressione","mBar","04/01/2022","04","985.20","1"
"Ferrandina","Pressione","mBar","04/01/2022","05","984.87","1"
"Ferrandina","Pressione","mBar","04/01/2022","06","984.67","1"
"Ferrandina","Pressione","mBar","04/01/2022","07","984.96","1"
"Ferrandina","Pressione","mBar","04/01/2022","08","985.06","1"
"Ferrandina","Pressione","mBar","04/01/2022","09","985.35","1"
"Ferrandina","Pressione","mBar","04/01/2022","10","985.11","1"
"Ferrandina","Pressione","mBar","04/01/2022","11","984.50","1"
"Ferrandina","Pressione","mBar","04/01/2022","12","983.27","1"
"Ferrandina","Pressione","mBar","04/01/2022","13","981.80","1"
"Ferrandina","Pressione","mBar","04/01/2022","14","980.83","1"
"Ferrandina","Pressione","mBar","04/01/2022","15","980.32","1"
"Ferrandina","Pressione","mBar","04/01/2022","16","980.33","1"
"Ferrandina","Pressione","mBar","04/01/2022","17","980.56","1"
"Ferrandina","Pressione","mBar","04/01/2022","18","980.38","1"
"Ferrandina","Pressione","mBar","04/01/2022","19","980.24","1"
"Ferrandina","Pressione","mBar","04/01/2022","20","980.09","1"
"Ferrandina","Pressione","mBar","04/01/2022","21","979.66","1"
"Ferrandina","Pressione","mBar","04/01/2022","22","979.41","1"
"Ferrandina","Pressione","mBar","04/01/2022","23","978.86","1"
"Ferrandina","Pressione","mBar","04/01/2022","24","978.38","1"
"Ferrandina","Pressione","mBar","05/01/2022","01","977.76","1"
"Ferrandina","Pressione","mBar","05/01/2022","02","977.40","1"
"Ferrandina","Pressione","mBar","05/01/2022","03","977.28","1"
"Ferrandina","Pressione","mBar","05/01/2022","04","976.77","1"
"Ferrandina","Pressione","mBar","05/01/2022","05","976.34","1"
"Ferrandina","Pressione","mBar","05/01/2022","06","976.13","1"
"Ferrandina","Pressione","mBar","05/01/2022","07","976.07","1"
"Ferrandina","Pressione","mBar","05/01/2022","08","976.12","1"
"Ferrandina","Pressione","mBar","05/01/2022","09","975.77","1"
"Ferrandina","Pressione","mBar","05/01/2022","10","975.38","1"
"Ferrandina","Pressione","mBar","05/01/2022","11","974.40","1"
"Ferrandina","Pressione","mBar","05/01/2022","12","973.04","1"
