"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Ferrandina","SO2","µg/m≥","01/01/2022","01","0.83","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","02","0.38","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","03","0.42","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","04","0.72","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","05","0.19","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","06","0.13","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","07","0.39","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","08","0.05","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","09","0.04","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","10","0.46","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","11","0.50","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","12","0.48","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","13","0.48","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","14","1.03","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","15","-9999","-1"
"Ferrandina","SO2","µg/m≥","01/01/2022","16","0.59","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","17","0.40","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","18","0.15","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","19","0.42","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","20","0.21","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","21","0.01","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","22","0.12","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","23","0.14","1"
"Ferrandina","SO2","µg/m≥","01/01/2022","24","0.05","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","01","1.03","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","02","0.11","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","03","0.00","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","04","0.03","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","05","0.03","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","06","0.11","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","07","0.00","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","08","0.14","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","09","0.14","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","10","0.12","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","11","0.04","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","12","0.08","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","13","0.00","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","14","-9999","-1"
"Ferrandina","SO2","µg/m≥","02/01/2022","15","0.14","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","16","0.06","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","17","0.05","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","18","0.01","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","19","0.06","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","20","0.05","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","21","0.01","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","22","0.03","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","23","0.03","1"
"Ferrandina","SO2","µg/m≥","02/01/2022","24","0.08","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","01","0.92","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","02","0.02","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","03","0.07","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","04","0.10","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","05","0.06","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","06","0.17","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","07","0.22","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","08","0.05","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","09","0.02","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","10","0.03","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","11","0.16","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","12","0.05","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","13","-9999","-1"
"Ferrandina","SO2","µg/m≥","03/01/2022","14","0.12","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","15","0.08","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","16","0.11","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","17","0.16","1"
"Ferrandina","SO2","µg/m≥","03/01/2022","18","0.16","1"
