"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Ferrandina","Temperatura","°C","01/01/2022","01","7.26","1"
"Ferrandina","Temperatura","°C","01/01/2022","02","6.60","1"
"Ferrandina","Temperatura","°C","01/01/2022","03","5.98","1"
"Ferrandina","Temperatura","°C","01/01/2022","04","6.00","1"
"Ferrandina","Temperatura","°C","01/01/2022","05","5.39","1"
"Ferrandina","Temperatura","°C","01/01/2022","06","6.05","1"
"Ferrandina","Temperatura","°C","01/01/2022","07","6.05","1"
"Ferrandina","Temperatura","°C","01/01/2022","08","6.66","1"
"Ferrandina","Temperatura","°C","01/01/2022","09","8.92","1"
"Ferrandina","Temperatura","°C","01/01/2022","10","13.88","1"
"Ferrandina","Temperatura","°C","01/01/2022","11","17.49","1"
"Ferrandina","Temperatura","°C","01/01/2022","12","20.40","1"
"Ferrandina","Temperatura","°C","01/01/2022","13","21.89","1"
"Ferrandina","Temperatura","°C","01/01/2022","14","22.24","1"
"Ferrandina","Temperatura","°C","01/01/2022","15","21.42","1"
"Ferrandina","Temperatura","°C","01/01/2022","16","20.07","1"
"Ferrandina","Temperatura","°C","01/01/2022","17","17.30","1"
"Ferrandina","Temperatura","°C","01/01/2022","18","15.71","1"
"Ferrandina","Temperatura","°C","01/01/2022","19","14.82","1"
"Ferrandina","Temperatura","°C","01/01/2022","20","14.53","1"
"Ferrandina","Temperatura","°C","01/01/2022","21","12.69","1"
"Ferrandina","Temperatura","°C","01/01/2022","22","11.12","1"
"Ferrandina","Temperatura","°C","01/01/2022","23","10.17","1"
"Ferrandina","Temperatura","°C","01/01/2022","24","9.71","1"
"Ferrandina","Temperatura","°C","02/01/2022","01","8.74","1"
"Ferrandina","Temperatura","°C","02/01/2022","02","8.71","1"
"Ferrandina","Temperatura","°C","02/01/2022","03","8.78","1"
"Ferrandina","Temperatura","°C","02/01/2022","04","7.54","1"
"Ferrandina","Temperatura","°C","02/01/2022","05","6.57","1"
"Ferrandina","Temperatura","°C","02/01/2022","06","6.69","1"
"Ferrandina","Temperatura","°C","02/01/2022","07","5.65","1"
"Ferrandina","Temperatura","°C","02/01/2022","08","5.77","1"
"Ferrandina","Temperatura","°C","02/01/2022","09","7.47","1"
"Ferrandina","Temperatura","°C","02/01/2022","10","11.19","1"
"Ferrandina","Temperatura","°C","02/01/2022","11","14.34","1"
"Ferrandina","Temperatura","°C","02/01/2022","12","17.35","1"
"Ferrandina","Temperatura","°C","02/01/2022","13","19.11","1"
"Ferrandina","Temperatura","°C","02/01/2022","14","20.36","1"
"Ferrandina","Temperatura","°C","02/01/2022","15","19.73","1"
"Ferrandina","Temperatura","°C","02/01/2022","16","17.98","1"
"Ferrandina","Temperatura","°C","02/01/2022","17","13.89","1"
"Ferrandina","Temperatura","°C","02/01/2022","18","9.56","1"
"Ferrandina","Temperatura","°C","02/01/2022","19","7.62","1"
"Ferrandina","Temperatura","°C","02/01/2022","20","6.24","1"
"Ferrandina","Temperatura","°C","02/01/2022","21","5.69","1"
"Ferrandina","Temperatura","°C","02/01/2022","22","5.50","1"
"Ferrandina","Temperatura","°C","02/01/2022","23","4.32","1"
"Ferrandina","Temperatura","°C","02/01/2022","24","4.30","1"
"Ferrandina","Temperatura","°C","03/01/2022","01","4.44","1"
"Ferrandina","Temperatura","°C","03/01/2022","02","3.91","1"
"Ferrandina","Temperatura","°C","03/01/2022","03","2.55","1"
"Ferrandina","Temperatura","°C","03/01/2022","04","2.43","1"
"Ferrandina","Temperatura","°C","03/01/2022","05","2.15","1"
"Ferrandina","Temperatura","°C","03/01/2022","06","1.82","1"
"Ferrandina","Temperatura","°C","03/01/2022","07","1.76","1"
"Ferrandina","Temperatura","°C","03/01/2022","08","2.64","1"
"Ferrandina","Temperatura","°C","03/01/2022","09","4.84","1"
"Ferrandina","Temperatura","°C","03/01/2022","10","8.01","1"
"Ferrandina","Temperatura","°C","03/01/2022","11","11.07","1"
"Ferrandina","Temperatura","°C","03/01/2022","12","14.53","1"
"Ferrandina","Temperatura","°C","03/01/2022","13","16.08","1"
"Ferrandina","Temperatura","°C","03/01/2022","14","16.87","1"
"Ferrandina","Temperatura","°C","03/01/2022","15","16.53","1"
"Ferrandina","Temperatura","°C","03/01/2022","16","15.23","1"
"Ferrandina","Temperatura","°C","03/01/2022","17","12.09","1"
"Ferrandina","Temperatura","°C","03/01/2022","18","9.39","1"
"Ferrandina","Temperatura","°C","03/01/2022","19","7.45","1"
"Ferrandina","Temperatura","°C","03/01/2022","20","6.43","1"
"Ferrandina","Temperatura","°C","03/01/2022","21","6.00","1"
"Ferrandina","Temperatura","°C","03/01/2022","22","5.74","1"
"Ferrandina","Temperatura","°C","03/01/2022","23","5.05","1"
"Ferrandina","Temperatura","°C","03/01/2022","24","5.02","1"
"Ferrandina","Temperatura","°C","04/01/2022","01","5.24","1"
"Ferrandina","Temperatura","°C","04/01/2022","02","4.30","1"
"Ferrandina","Temperatura","°C","04/01/2022","03","4.32","1"
"Ferrandina","Temperatura","°C","04/01/2022","04","3.70","1"
"Ferrandina","Temperatura","°C","04/01/2022","05","3.06","1"
"Ferrandina","Temperatura","°C","04/01/2022","06","2.44","1"
"Ferrandina","Temperatura","°C","04/01/2022","07","2.51","1"
