"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","Direzione_Vento","∞N","01/01/2022","01","241.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","02","238.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","03","293.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","04","326.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","05","238.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","06","262.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","07","32.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","08","321.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","09","259.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","10","342.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","11","286.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","12","230.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","13","253.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","14","279.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","15","259.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","16","259.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","17","262.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","18","245.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","19","35.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","20","265.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","21","272.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","22","283.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","23","238.00","1"
"Grumento3","Direzione_Vento","∞N","01/01/2022","24","271.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","01","274.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","02","243.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","03","240.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","04","216.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","05","215.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","06","249.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","07","234.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","08","260.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","09","268.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","10","172.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","11","298.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","12","240.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","13","293.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","14","255.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","15","243.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","16","241.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","17","294.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","18","277.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","19","271.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","20","271.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","21","79.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","22","272.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","23","303.00","1"
"Grumento3","Direzione_Vento","∞N","02/01/2022","24","266.00","1"
"Grumento3","Direzione_Vento","∞N","03/01/2022","01","253.00","1"
"Grumento3","Direzione_Vento","∞N","03/01/2022","02","256.00","1"
