"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Grumento3","NMHC","ugC/m³","01/01/2022","01","47.63","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","02","45.23","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","03","45.28","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","04","42.25","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","05","39.83","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","06","38.65","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","07","39.72","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","08","43.26","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","09","43.40","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","10","38.99","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","11","39.75","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","12","45.25","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","13","36.20","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","14","36.38","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","15","37.09","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","16","37.97","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","17","38.39","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","18","39.97","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","19","45.85","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","20","41.62","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","21","45.04","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","22","47.61","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","23","66.68","1"
"Grumento3","NMHC","ugC/m³","01/01/2022","24","61.35","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","01","49.32","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","02","51.25","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","03","55.19","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","04","48.63","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","05","44.94","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","06","45.30","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","07","45.99","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","08","45.03","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","09","54.30","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","10","67.43","1"
"Grumento3","NMHC","ugC/m³","02/01/2022","11","55.36","1"
