"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","NO2","µg/m≥","01/01/2022","01","4.06","1"
"Grumento3","NO2","µg/m≥","01/01/2022","02","2.60","1"
"Grumento3","NO2","µg/m≥","01/01/2022","03","2.11","1"
"Grumento3","NO2","µg/m≥","01/01/2022","04","-9999","-1"
"Grumento3","NO2","µg/m≥","01/01/2022","05","2.31","1"
"Grumento3","NO2","µg/m≥","01/01/2022","06","2.24","1"
"Grumento3","NO2","µg/m≥","01/01/2022","07","2.44","1"
"Grumento3","NO2","µg/m≥","01/01/2022","08","5.06","1"
"Grumento3","NO2","µg/m≥","01/01/2022","09","5.14","1"
"Grumento3","NO2","µg/m≥","01/01/2022","10","2.55","1"
"Grumento3","NO2","µg/m≥","01/01/2022","11","2.76","1"
"Grumento3","NO2","µg/m≥","01/01/2022","12","2.63","1"
"Grumento3","NO2","µg/m≥","01/01/2022","13","1.92","1"
"Grumento3","NO2","µg/m≥","01/01/2022","14","1.53","1"
"Grumento3","NO2","µg/m≥","01/01/2022","15","1.64","1"
"Grumento3","NO2","µg/m≥","01/01/2022","16","1.66","1"
"Grumento3","NO2","µg/m≥","01/01/2022","17","1.51","1"
"Grumento3","NO2","µg/m≥","01/01/2022","18","1.73","1"
"Grumento3","NO2","µg/m≥","01/01/2022","19","3.83","1"
"Grumento3","NO2","µg/m≥","01/01/2022","20","3.19","1"
"Grumento3","NO2","µg/m≥","01/01/2022","21","4.34","1"
"Grumento3","NO2","µg/m≥","01/01/2022","22","5.42","1"
"Grumento3","NO2","µg/m≥","01/01/2022","23","8.03","1"
"Grumento3","NO2","µg/m≥","01/01/2022","24","12.85","1"
"Grumento3","NO2","µg/m≥","02/01/2022","01","4.68","1"
"Grumento3","NO2","µg/m≥","02/01/2022","02","4.97","1"
"Grumento3","NO2","µg/m≥","02/01/2022","03","4.44","1"
"Grumento3","NO2","µg/m≥","02/01/2022","04","4.42","1"
"Grumento3","NO2","µg/m≥","02/01/2022","05","2.98","1"
"Grumento3","NO2","µg/m≥","02/01/2022","06","3.10","1"
"Grumento3","NO2","µg/m≥","02/01/2022","07","2.57","1"
"Grumento3","NO2","µg/m≥","02/01/2022","08","2.16","1"
"Grumento3","NO2","µg/m≥","02/01/2022","09","3.78","1"
"Grumento3","NO2","µg/m≥","02/01/2022","10","7.63","1"
"Grumento3","NO2","µg/m≥","02/01/2022","11","5.18","1"
"Grumento3","NO2","µg/m≥","02/01/2022","12","3.68","1"
"Grumento3","NO2","µg/m≥","02/01/2022","13","2.80","1"
"Grumento3","NO2","µg/m≥","02/01/2022","14","2.42","1"
"Grumento3","NO2","µg/m≥","02/01/2022","15","1.72","1"
"Grumento3","NO2","µg/m≥","02/01/2022","16","1.32","1"
"Grumento3","NO2","µg/m≥","02/01/2022","17","4.62","1"
"Grumento3","NO2","µg/m≥","02/01/2022","18","6.78","1"
"Grumento3","NO2","µg/m≥","02/01/2022","19","7.64","1"
"Grumento3","NO2","µg/m≥","02/01/2022","20","7.42","1"
"Grumento3","NO2","µg/m≥","02/01/2022","21","5.91","1"
"Grumento3","NO2","µg/m≥","02/01/2022","22","4.53","1"
"Grumento3","NO2","µg/m≥","02/01/2022","23","5.38","1"
"Grumento3","NO2","µg/m≥","02/01/2022","24","3.34","1"
"Grumento3","NO2","µg/m≥","03/01/2022","01","2.64","1"
"Grumento3","NO2","µg/m≥","03/01/2022","02","2.39","1"
"Grumento3","NO2","µg/m≥","03/01/2022","03","2.06","1"
"Grumento3","NO2","µg/m≥","03/01/2022","04","2.01","1"
"Grumento3","NO2","µg/m≥","03/01/2022","05","1.89","1"
"Grumento3","NO2","µg/m≥","03/01/2022","06","1.60","1"
