"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","NO","µg/m≥","01/01/2022","01","1.14","1"
"Grumento3","NO","µg/m≥","01/01/2022","02","1.12","1"
"Grumento3","NO","µg/m≥","01/01/2022","03","1.10","1"
"Grumento3","NO","µg/m≥","01/01/2022","04","-9999","-1"
"Grumento3","NO","µg/m≥","01/01/2022","05","1.13","1"
"Grumento3","NO","µg/m≥","01/01/2022","06","1.11","1"
"Grumento3","NO","µg/m≥","01/01/2022","07","1.09","1"
"Grumento3","NO","µg/m≥","01/01/2022","08","1.17","1"
"Grumento3","NO","µg/m≥","01/01/2022","09","1.31","1"
"Grumento3","NO","µg/m≥","01/01/2022","10","1.21","1"
"Grumento3","NO","µg/m≥","01/01/2022","11","1.23","1"
"Grumento3","NO","µg/m≥","01/01/2022","12","1.22","1"
"Grumento3","NO","µg/m≥","01/01/2022","13","1.23","1"
"Grumento3","NO","µg/m≥","01/01/2022","14","1.23","1"
"Grumento3","NO","µg/m≥","01/01/2022","15","1.18","1"
"Grumento3","NO","µg/m≥","01/01/2022","16","1.14","1"
"Grumento3","NO","µg/m≥","01/01/2022","17","1.16","1"
"Grumento3","NO","µg/m≥","01/01/2022","18","1.11","1"
"Grumento3","NO","µg/m≥","01/01/2022","19","1.34","1"
"Grumento3","NO","µg/m≥","01/01/2022","20","1.11","1"
"Grumento3","NO","µg/m≥","01/01/2022","21","1.12","1"
"Grumento3","NO","µg/m≥","01/01/2022","22","1.13","1"
"Grumento3","NO","µg/m≥","01/01/2022","23","1.30","1"
"Grumento3","NO","µg/m≥","01/01/2022","24","1.19","1"
"Grumento3","NO","µg/m≥","02/01/2022","01","1.18","1"
"Grumento3","NO","µg/m≥","02/01/2022","02","1.13","1"
"Grumento3","NO","µg/m≥","02/01/2022","03","1.15","1"
"Grumento3","NO","µg/m≥","02/01/2022","04","1.21","1"
"Grumento3","NO","µg/m≥","02/01/2022","05","1.12","1"
"Grumento3","NO","µg/m≥","02/01/2022","06","1.16","1"
"Grumento3","NO","µg/m≥","02/01/2022","07","1.16","1"
"Grumento3","NO","µg/m≥","02/01/2022","08","1.16","1"
"Grumento3","NO","µg/m≥","02/01/2022","09","1.28","1"
"Grumento3","NO","µg/m≥","02/01/2022","10","1.72","1"
"Grumento3","NO","µg/m≥","02/01/2022","11","1.34","1"
"Grumento3","NO","µg/m≥","02/01/2022","12","1.38","1"
"Grumento3","NO","µg/m≥","02/01/2022","13","1.41","1"
"Grumento3","NO","µg/m≥","02/01/2022","14","1.34","1"
"Grumento3","NO","µg/m≥","02/01/2022","15","1.23","1"
"Grumento3","NO","µg/m≥","02/01/2022","16","1.15","1"
"Grumento3","NO","µg/m≥","02/01/2022","17","1.19","1"
"Grumento3","NO","µg/m≥","02/01/2022","18","1.19","1"
"Grumento3","NO","µg/m≥","02/01/2022","19","1.21","1"
"Grumento3","NO","µg/m≥","02/01/2022","20","1.25","1"
"Grumento3","NO","µg/m≥","02/01/2022","21","1.17","1"
"Grumento3","NO","µg/m≥","02/01/2022","22","1.18","1"
"Grumento3","NO","µg/m≥","02/01/2022","23","1.28","1"
"Grumento3","NO","µg/m≥","02/01/2022","24","1.18","1"
"Grumento3","NO","µg/m≥","03/01/2022","01","1.14","1"
"Grumento3","NO","µg/m≥","03/01/2022","02","1.15","1"
"Grumento3","NO","µg/m≥","03/01/2022","03","1.17","1"
"Grumento3","NO","µg/m≥","03/01/2022","04","1.10","1"
"Grumento3","NO","µg/m≥","03/01/2022","05","1.12","1"
"Grumento3","NO","µg/m≥","03/01/2022","06","1.10","1"
"Grumento3","NO","µg/m≥","03/01/2022","07","1.13","1"
"Grumento3","NO","µg/m≥","03/01/2022","08","1.13","1"
"Grumento3","NO","µg/m≥","03/01/2022","09","1.20","1"
"Grumento3","NO","µg/m≥","03/01/2022","10","1.24","1"
"Grumento3","NO","µg/m≥","03/01/2022","11","1.22","1"
"Grumento3","NO","µg/m≥","03/01/2022","12","1.23","1"
"Grumento3","NO","µg/m≥","03/01/2022","13","1.27","1"
"Grumento3","NO","µg/m≥","03/01/2022","14","1.25","1"
"Grumento3","NO","µg/m≥","03/01/2022","15","1.19","1"
"Grumento3","NO","µg/m≥","03/01/2022","16","1.13","1"
"Grumento3","NO","µg/m≥","03/01/2022","17","1.12","1"
