"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","NOx","µg/m≥","01/01/2022","01","5.81","1"
"Grumento3","NOx","µg/m≥","01/01/2022","02","4.31","1"
"Grumento3","NOx","µg/m≥","01/01/2022","03","3.79","1"
"Grumento3","NOx","µg/m≥","01/01/2022","04","-9999","-1"
"Grumento3","NOx","µg/m≥","01/01/2022","05","4.03","1"
"Grumento3","NOx","µg/m≥","01/01/2022","06","3.95","1"
"Grumento3","NOx","µg/m≥","01/01/2022","07","4.11","1"
"Grumento3","NOx","µg/m≥","01/01/2022","08","6.86","1"
"Grumento3","NOx","µg/m≥","01/01/2022","09","7.15","1"
"Grumento3","NOx","µg/m≥","01/01/2022","10","4.41","1"
"Grumento3","NOx","µg/m≥","01/01/2022","11","4.64","1"
"Grumento3","NOx","µg/m≥","01/01/2022","12","4.51","1"
"Grumento3","NOx","µg/m≥","01/01/2022","13","3.80","1"
"Grumento3","NOx","µg/m≥","01/01/2022","14","3.41","1"
"Grumento3","NOx","µg/m≥","01/01/2022","15","3.45","1"
"Grumento3","NOx","µg/m≥","01/01/2022","16","3.41","1"
"Grumento3","NOx","µg/m≥","01/01/2022","17","3.29","1"
"Grumento3","NOx","µg/m≥","01/01/2022","18","3.44","1"
"Grumento3","NOx","µg/m≥","01/01/2022","19","5.89","1"
"Grumento3","NOx","µg/m≥","01/01/2022","20","4.89","1"
"Grumento3","NOx","µg/m≥","01/01/2022","21","6.05","1"
"Grumento3","NOx","µg/m≥","01/01/2022","22","7.15","1"
"Grumento3","NOx","µg/m≥","01/01/2022","23","10.01","1"
"Grumento3","NOx","µg/m≥","01/01/2022","24","14.67","1"
"Grumento3","NOx","µg/m≥","02/01/2022","01","6.48","1"
"Grumento3","NOx","µg/m≥","02/01/2022","02","6.71","1"
"Grumento3","NOx","µg/m≥","02/01/2022","03","6.21","1"
"Grumento3","NOx","µg/m≥","02/01/2022","04","6.27","1"
"Grumento3","NOx","µg/m≥","02/01/2022","05","4.69","1"
"Grumento3","NOx","µg/m≥","02/01/2022","06","4.89","1"
"Grumento3","NOx","µg/m≥","02/01/2022","07","4.34","1"
"Grumento3","NOx","µg/m≥","02/01/2022","08","3.94","1"
"Grumento3","NOx","µg/m≥","02/01/2022","09","5.74","1"
"Grumento3","NOx","µg/m≥","02/01/2022","10","10.26","1"
"Grumento3","NOx","µg/m≥","02/01/2022","11","7.23","1"
"Grumento3","NOx","µg/m≥","02/01/2022","12","5.80","1"
"Grumento3","NOx","µg/m≥","02/01/2022","13","4.97","1"
"Grumento3","NOx","µg/m≥","02/01/2022","14","4.47","1"
"Grumento3","NOx","µg/m≥","02/01/2022","15","3.61","1"
"Grumento3","NOx","µg/m≥","02/01/2022","16","3.08","1"
"Grumento3","NOx","µg/m≥","02/01/2022","17","6.45","1"
"Grumento3","NOx","µg/m≥","02/01/2022","18","8.61","1"
"Grumento3","NOx","µg/m≥","02/01/2022","19","9.49","1"
"Grumento3","NOx","µg/m≥","02/01/2022","20","9.34","1"
"Grumento3","NOx","µg/m≥","02/01/2022","21","7.70","1"
"Grumento3","NOx","µg/m≥","02/01/2022","22","6.34","1"
"Grumento3","NOx","µg/m≥","02/01/2022","23","7.34","1"
"Grumento3","NOx","µg/m≥","02/01/2022","24","5.15","1"
"Grumento3","NOx","µg/m≥","03/01/2022","01","4.40","1"
"Grumento3","NOx","µg/m≥","03/01/2022","02","4.15","1"
"Grumento3","NOx","µg/m≥","03/01/2022","03","3.85","1"
"Grumento3","NOx","µg/m≥","03/01/2022","04","3.70","1"
"Grumento3","NOx","µg/m≥","03/01/2022","05","3.60","1"
"Grumento3","NOx","µg/m≥","03/01/2022","06","3.28","1"
"Grumento3","NOx","µg/m≥","03/01/2022","07","3.49","1"
"Grumento3","NOx","µg/m≥","03/01/2022","08","3.82","1"
"Grumento3","NOx","µg/m≥","03/01/2022","09","4.39","1"
"Grumento3","NOx","µg/m≥","03/01/2022","10","3.87","1"
"Grumento3","NOx","µg/m≥","03/01/2022","11","3.35","1"
"Grumento3","NOx","µg/m≥","03/01/2022","12","3.49","1"
"Grumento3","NOx","µg/m≥","03/01/2022","13","3.54","1"
"Grumento3","NOx","µg/m≥","03/01/2022","14","3.67","1"
"Grumento3","NOx","µg/m≥","03/01/2022","15","3.41","1"
"Grumento3","NOx","µg/m≥","03/01/2022","16","3.56","1"
"Grumento3","NOx","µg/m≥","03/01/2022","17","3.62","1"
"Grumento3","NOx","µg/m≥","03/01/2022","18","3.88","1"
"Grumento3","NOx","µg/m≥","03/01/2022","19","3.98","1"
"Grumento3","NOx","µg/m≥","03/01/2022","20","3.91","1"
"Grumento3","NOx","µg/m≥","03/01/2022","21","3.82","1"
"Grumento3","NOx","µg/m≥","03/01/2022","22","3.56","1"
"Grumento3","NOx","µg/m≥","03/01/2022","23","3.05","1"
"Grumento3","NOx","µg/m≥","03/01/2022","24","3.26","1"
"Grumento3","NOx","µg/m≥","04/01/2022","01","3.35","1"
"Grumento3","NOx","µg/m≥","04/01/2022","02","2.97","1"
"Grumento3","NOx","µg/m≥","04/01/2022","03","2.91","1"
"Grumento3","NOx","µg/m≥","04/01/2022","04","2.52","1"
"Grumento3","NOx","µg/m≥","04/01/2022","05","2.57","1"
"Grumento3","NOx","µg/m≥","04/01/2022","06","2.46","1"
"Grumento3","NOx","µg/m≥","04/01/2022","07","2.58","1"
"Grumento3","NOx","µg/m≥","04/01/2022","08","2.78","1"
"Grumento3","NOx","µg/m≥","04/01/2022","09","2.92","1"
"Grumento3","NOx","µg/m≥","04/01/2022","10","2.82","1"
"Grumento3","NOx","µg/m≥","04/01/2022","11","2.68","1"
"Grumento3","NOx","µg/m≥","04/01/2022","12","2.60","1"
"Grumento3","NOx","µg/m≥","04/01/2022","13","2.70","1"
"Grumento3","NOx","µg/m≥","04/01/2022","14","2.75","1"
"Grumento3","NOx","µg/m≥","04/01/2022","15","2.84","1"
"Grumento3","NOx","µg/m≥","04/01/2022","16","2.87","1"
"Grumento3","NOx","µg/m≥","04/01/2022","17","3.03","1"
"Grumento3","NOx","µg/m≥","04/01/2022","18","3.95","1"
"Grumento3","NOx","µg/m≥","04/01/2022","19","5.25","1"
"Grumento3","NOx","µg/m≥","04/01/2022","20","3.02","1"
"Grumento3","NOx","µg/m≥","04/01/2022","21","2.93","1"
"Grumento3","NOx","µg/m≥","04/01/2022","22","2.64","1"
"Grumento3","NOx","µg/m≥","04/01/2022","23","2.74","1"
"Grumento3","NOx","µg/m≥","04/01/2022","24","4.27","1"
"Grumento3","NOx","µg/m≥","05/01/2022","01","3.56","1"
"Grumento3","NOx","µg/m≥","05/01/2022","02","2.38","1"
"Grumento3","NOx","µg/m≥","05/01/2022","03","2.60","1"
"Grumento3","NOx","µg/m≥","05/01/2022","04","2.98","1"
"Grumento3","NOx","µg/m≥","05/01/2022","05","3.04","1"
"Grumento3","NOx","µg/m≥","05/01/2022","06","2.65","1"
"Grumento3","NOx","µg/m≥","05/01/2022","07","2.55","1"
"Grumento3","NOx","µg/m≥","05/01/2022","08","4.28","1"
"Grumento3","NOx","µg/m≥","05/01/2022","09","8.29","1"
"Grumento3","NOx","µg/m≥","05/01/2022","10","6.37","1"
"Grumento3","NOx","µg/m≥","05/01/2022","11","4.51","1"
"Grumento3","NOx","µg/m≥","05/01/2022","12","5.20","1"
"Grumento3","NOx","µg/m≥","05/01/2022","13","3.27","1"
"Grumento3","NOx","µg/m≥","05/01/2022","14","3.05","1"
"Grumento3","NOx","µg/m≥","05/01/2022","15","2.97","1"
"Grumento3","NOx","µg/m≥","05/01/2022","16","2.81","1"
"Grumento3","NOx","µg/m≥","05/01/2022","17","3.14","1"
"Grumento3","NOx","µg/m≥","05/01/2022","18","6.18","1"
"Grumento3","NOx","µg/m≥","05/01/2022","19","4.68","1"
"Grumento3","NOx","µg/m≥","05/01/2022","20","4.57","1"
"Grumento3","NOx","µg/m≥","05/01/2022","21","3.72","1"
"Grumento3","NOx","µg/m≥","05/01/2022","22","3.20","1"
"Grumento3","NOx","µg/m≥","05/01/2022","23","2.72","1"
"Grumento3","NOx","µg/m≥","05/01/2022","24","2.44","1"
"Grumento3","NOx","µg/m≥","06/01/2022","01","2.30","1"
"Grumento3","NOx","µg/m≥","06/01/2022","02","2.21","1"
"Grumento3","NOx","µg/m≥","06/01/2022","03","-9999","-1"
"Grumento3","NOx","µg/m≥","06/01/2022","04","2.22","1"
"Grumento3","NOx","µg/m≥","06/01/2022","05","2.51","1"
"Grumento3","NOx","µg/m≥","06/01/2022","06","2.88","1"
"Grumento3","NOx","µg/m≥","06/01/2022","07","2.97","1"
"Grumento3","NOx","µg/m≥","06/01/2022","08","3.60","1"
"Grumento3","NOx","µg/m≥","06/01/2022","09","3.05","1"
"Grumento3","NOx","µg/m≥","06/01/2022","10","5.56","1"
"Grumento3","NOx","µg/m≥","06/01/2022","11","4.07","1"
"Grumento3","NOx","µg/m≥","06/01/2022","12","3.94","1"
"Grumento3","NOx","µg/m≥","06/01/2022","13","5.39","1"
"Grumento3","NOx","µg/m≥","06/01/2022","14","3.70","1"
"Grumento3","NOx","µg/m≥","06/01/2022","15","3.52","1"
"Grumento3","NOx","µg/m≥","06/01/2022","16","2.52","1"
"Grumento3","NOx","µg/m≥","06/01/2022","17","3.65","1"
"Grumento3","NOx","µg/m≥","06/01/2022","18","3.55","1"
"Grumento3","NOx","µg/m≥","06/01/2022","19","6.46","1"
"Grumento3","NOx","µg/m≥","06/01/2022","20","5.21","1"
"Grumento3","NOx","µg/m≥","06/01/2022","21","5.81","1"
"Grumento3","NOx","µg/m≥","06/01/2022","22","6.06","1"
"Grumento3","NOx","µg/m≥","06/01/2022","23","6.73","1"
"Grumento3","NOx","µg/m≥","06/01/2022","24","7.75","1"
"Grumento3","NOx","µg/m≥","07/01/2022","01","6.71","1"
"Grumento3","NOx","µg/m≥","07/01/2022","02","7.13","1"
"Grumento3","NOx","µg/m≥","07/01/2022","03","6.57","1"
"Grumento3","NOx","µg/m≥","07/01/2022","04","7.84","1"
"Grumento3","NOx","µg/m≥","07/01/2022","05","9.62","1"
"Grumento3","NOx","µg/m≥","07/01/2022","06","10.24","1"
