"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Grumento3","PM10","µg/m³","01/01/2022","8.03","1"
"Grumento3","PM10","µg/m³","02/01/2022","13.95","1"
"Grumento3","PM10","µg/m³","03/01/2022","11.16","1"
"Grumento3","PM10","µg/m³","04/01/2022","10.09","1"
"Grumento3","PM10","µg/m³","05/01/2022","9.52","1"
"Grumento3","PM10","µg/m³","06/01/2022","14.90","1"
"Grumento3","PM10","µg/m³","07/01/2022","15.77","1"
"Grumento3","PM10","µg/m³","08/01/2022","9.02","1"
"Grumento3","PM10","µg/m³","09/01/2022","11.41","1"
"Grumento3","PM10","µg/m³","10/01/2022","6.83","1"
"Grumento3","PM10","µg/m³","11/01/2022","10.15","1"
"Grumento3","PM10","µg/m³","12/01/2022","14.17","1"
"Grumento3","PM10","µg/m³","13/01/2022","15.81","1"
"Grumento3","PM10","µg/m³","14/01/2022","17.32","1"
"Grumento3","PM10","µg/m³","15/01/2022","11.61","1"
"Grumento3","PM10","µg/m³","16/01/2022","16.77","1"
"Grumento3","PM10","µg/m³","17/01/2022","14.56","1"
"Grumento3","PM10","µg/m³","18/01/2022","23.35","1"
"Grumento3","PM10","µg/m³","19/01/2022","14.53","1"
"Grumento3","PM10","µg/m³","20/01/2022","11.17","1"
"Grumento3","PM10","µg/m³","21/01/2022","9.28","1"
"Grumento3","PM10","µg/m³","22/01/2022","7.22","1"
"Grumento3","PM10","µg/m³","23/01/2022","5.80","1"
"Grumento3","PM10","µg/m³","24/01/2022","10.30","1"
"Grumento3","PM10","µg/m³","25/01/2022","12.15","1"
"Grumento3","PM10","µg/m³","26/01/2022","13.37","1"
"Grumento3","PM10","µg/m³","27/01/2022","16.48","1"
"Grumento3","PM10","µg/m³","28/01/2022","15.28","1"
"Grumento3","PM10","µg/m³","29/01/2022","9.86","1"
"Grumento3","PM10","µg/m³","30/01/2022","9.67","1"
"Grumento3","PM10","µg/m³","31/01/2022","12.08","1"
"Grumento3","PM10","µg/m³","01/02/2022","5.52","1"
"Grumento3","PM10","µg/m³","02/02/2022","9.85","1"
"Grumento3","PM10","µg/m³","03/02/2022","14.20","1"
"Grumento3","PM10","µg/m³","04/02/2022","12.85","1"
"Grumento3","PM10","µg/m³","05/02/2022","23.83","1"
"Grumento3","PM10","µg/m³","06/02/2022","18.34","1"
"Grumento3","PM10","µg/m³","07/02/2022","8.00","1"
"Grumento3","PM10","µg/m³","08/02/2022","9.27","1"
"Grumento3","PM10","µg/m³","09/02/2022","8.46","1"
"Grumento3","PM10","µg/m³","10/02/2022","14.19","1"
"Grumento3","PM10","µg/m³","11/02/2022","17.73","1"
"Grumento3","PM10","µg/m³","12/02/2022","34.33","1"
"Grumento3","PM10","µg/m³","13/02/2022","23.03","1"
"Grumento3","PM10","µg/m³","14/02/2022","15.60","1"
"Grumento3","PM10","µg/m³","15/02/2022","15.29","1"
"Grumento3","PM10","µg/m³","16/02/2022","6.39","1"
"Grumento3","PM10","µg/m³","17/02/2022","11.34","1"
"Grumento3","PM10","µg/m³","18/02/2022","10.19","1"
"Grumento3","PM10","µg/m³","19/02/2022","7.07","1"
"Grumento3","PM10","µg/m³","20/02/2022","16.75","1"
"Grumento3","PM10","µg/m³","21/02/2022","10.69","1"
"Grumento3","PM10","µg/m³","22/02/2022","7.91","1"
"Grumento3","PM10","µg/m³","23/02/2022","7.96","1"
"Grumento3","PM10","µg/m³","24/02/2022","9.00","1"
"Grumento3","PM10","µg/m³","25/02/2022","11.27","1"
"Grumento3","PM10","µg/m³","26/02/2022","12.80","1"
"Grumento3","PM10","µg/m³","27/02/2022","8.27","1"
"Grumento3","PM10","µg/m³","28/02/2022","7.97","1"
"Grumento3","PM10","µg/m³","01/03/2022","10.16","1"
"Grumento3","PM10","µg/m³","02/03/2022","-9999","-1"
"Grumento3","PM10","µg/m³","03/03/2022","22.07","1"
"Grumento3","PM10","µg/m³","04/03/2022","22.38","1"
"Grumento3","PM10","µg/m³","05/03/2022","15.23","1"
"Grumento3","PM10","µg/m³","06/03/2022","21.50","1"
"Grumento3","PM10","µg/m³","07/03/2022","14.64","1"
"Grumento3","PM10","µg/m³","08/03/2022","11.89","1"
"Grumento3","PM10","µg/m³","09/03/2022","14.83","1"
"Grumento3","PM10","µg/m³","10/03/2022","10.92","1"
"Grumento3","PM10","µg/m³","11/03/2022","15.26","1"
"Grumento3","PM10","µg/m³","12/03/2022","22.85","1"
"Grumento3","PM10","µg/m³","13/03/2022","20.57","1"
"Grumento3","PM10","µg/m³","14/03/2022","20.70","1"
"Grumento3","PM10","µg/m³","15/03/2022","15.61","1"
"Grumento3","PM10","µg/m³","16/03/2022","11.59","1"
"Grumento3","PM10","µg/m³","17/03/2022","27.04","1"
"Grumento3","PM10","µg/m³","18/03/2022","34.27","1"
"Grumento3","PM10","µg/m³","19/03/2022","17.57","1"
"Grumento3","PM10","µg/m³","20/03/2022","12.62","1"
"Grumento3","PM10","µg/m³","21/03/2022","14.90","1"
"Grumento3","PM10","µg/m³","22/03/2022","19.48","1"
"Grumento3","PM10","µg/m³","23/03/2022","23.69","1"
"Grumento3","PM10","µg/m³","24/03/2022","26.46","1"
"Grumento3","PM10","µg/m³","25/03/2022","28.94","1"
"Grumento3","PM10","µg/m³","26/03/2022","26.45","1"
"Grumento3","PM10","µg/m³","27/03/2022","18.60","1"
"Grumento3","PM10","µg/m³","28/03/2022","11.87","1"
"Grumento3","PM10","µg/m³","29/03/2022","31.21","1"
"Grumento3","PM10","µg/m³","30/03/2022","69.93","1"
"Grumento3","PM10","µg/m³","31/03/2022","18.72","1"
"Grumento3","PM10","µg/m³","01/04/2022","12.43","1"
"Grumento3","PM10","µg/m³","02/04/2022","9.66","1"
"Grumento3","PM10","µg/m³","03/04/2022","9.53","1"
"Grumento3","PM10","µg/m³","04/04/2022","13.59","1"
"Grumento3","PM10","µg/m³","05/04/2022","13.61","1"
"Grumento3","PM10","µg/m³","06/04/2022","22.82","1"
"Grumento3","PM10","µg/m³","07/04/2022","18.30","1"
"Grumento3","PM10","µg/m³","08/04/2022","12.17","1"
"Grumento3","PM10","µg/m³","09/04/2022","14.64","1"
"Grumento3","PM10","µg/m³","10/04/2022","11.92","1"
"Grumento3","PM10","µg/m³","11/04/2022","8.28","1"
"Grumento3","PM10","µg/m³","12/04/2022","10.95","1"
"Grumento3","PM10","µg/m³","13/04/2022","12.89","1"
"Grumento3","PM10","µg/m³","14/04/2022","14.85","1"
"Grumento3","PM10","µg/m³","15/04/2022","13.11","1"
"Grumento3","PM10","µg/m³","16/04/2022","17.25","1"
"Grumento3","PM10","µg/m³","17/04/2022","12.11","1"
"Grumento3","PM10","µg/m³","18/04/2022","14.21","1"
"Grumento3","PM10","µg/m³","19/04/2022","14.17","1"
"Grumento3","PM10","µg/m³","20/04/2022","11.85","1"
"Grumento3","PM10","µg/m³","21/04/2022","30.73","1"
"Grumento3","PM10","µg/m³","22/04/2022","14.50","1"
"Grumento3","PM10","µg/m³","23/04/2022","4.40","1"
"Grumento3","PM10","µg/m³","24/04/2022","20.54","1"
"Grumento3","PM10","µg/m³","25/04/2022","14.20","1"
"Grumento3","PM10","µg/m³","26/04/2022","6.38","1"
"Grumento3","PM10","µg/m³","27/04/2022","10.84","1"
"Grumento3","PM10","µg/m³","28/04/2022","10.24","1"
"Grumento3","PM10","µg/m³","29/04/2022","12.11","1"
"Grumento3","PM10","µg/m³","30/04/2022","12.79","1"
"Grumento3","PM10","µg/m³","01/05/2022","15.71","1"
"Grumento3","PM10","µg/m³","02/05/2022","15.90","1"
"Grumento3","PM10","µg/m³","03/05/2022","13.11","1"
"Grumento3","PM10","µg/m³","04/05/2022","15.28","1"
"Grumento3","PM10","µg/m³","05/05/2022","18.95","1"
"Grumento3","PM10","µg/m³","06/05/2022","17.13","1"
"Grumento3","PM10","µg/m³","07/05/2022","41.04","1"
"Grumento3","PM10","µg/m³","08/05/2022","7.89","1"
"Grumento3","PM10","µg/m³","09/05/2022","18.14","1"
"Grumento3","PM10","µg/m³","10/05/2022","25.71","1"
"Grumento3","PM10","µg/m³","11/05/2022","21.24","1"
"Grumento3","PM10","µg/m³","12/05/2022","22.97","1"
"Grumento3","PM10","µg/m³","13/05/2022","19.30","1"
"Grumento3","PM10","µg/m³","14/05/2022","16.66","1"
"Grumento3","PM10","µg/m³","15/05/2022","15.17","1"
"Grumento3","PM10","µg/m³","16/05/2022","19.38","1"
"Grumento3","PM10","µg/m³","17/05/2022","14.25","1"
"Grumento3","PM10","µg/m³","18/05/2022","15.91","1"
"Grumento3","PM10","µg/m³","19/05/2022","17.88","1"
"Grumento3","PM10","µg/m³","20/05/2022","14.65","1"
"Grumento3","PM10","µg/m³","21/05/2022","21.48","1"
"Grumento3","PM10","µg/m³","22/05/2022","15.16","1"
"Grumento3","PM10","µg/m³","23/05/2022","13.33","1"
"Grumento3","PM10","µg/m³","24/05/2022","19.94","1"
"Grumento3","PM10","µg/m³","25/05/2022","19.79","1"
"Grumento3","PM10","µg/m³","26/05/2022","28.21","1"
"Grumento3","PM10","µg/m³","27/05/2022","24.62","1"
"Grumento3","PM10","µg/m³","28/05/2022","24.85","1"
"Grumento3","PM10","µg/m³","29/05/2022","25.85","1"
"Grumento3","PM10","µg/m³","30/05/2022","14.18","1"
"Grumento3","PM10","µg/m³","31/05/2022","30.34","1"
"Grumento3","PM10","µg/m³","01/06/2022","30.31","1"
"Grumento3","PM10","µg/m³","02/06/2022","23.90","1"
"Grumento3","PM10","µg/m³","03/06/2022","21.35","1"
"Grumento3","PM10","µg/m³","04/06/2022","29.33","1"
"Grumento3","PM10","µg/m³","05/06/2022","35.38","1"
"Grumento3","PM10","µg/m³","06/06/2022","43.01","1"
"Grumento3","PM10","µg/m³","07/06/2022","28.01","1"
"Grumento3","PM10","µg/m³","08/06/2022","15.75","1"
"Grumento3","PM10","µg/m³","09/06/2022","23.46","1"
"Grumento3","PM10","µg/m³","10/06/2022","14.65","1"
"Grumento3","PM10","µg/m³","11/06/2022","12.61","1"
"Grumento3","PM10","µg/m³","12/06/2022","10.86","1"
"Grumento3","PM10","µg/m³","13/06/2022","18.73","1"
"Grumento3","PM10","µg/m³","14/06/2022","20.20","1"
"Grumento3","PM10","µg/m³","15/06/2022","22.04","1"
"Grumento3","PM10","µg/m³","16/06/2022","26.04","1"
"Grumento3","PM10","µg/m³","17/06/2022","36.64","1"
"Grumento3","PM10","µg/m³","18/06/2022","12.42","1"
"Grumento3","PM10","µg/m³","19/06/2022","25.42","1"
"Grumento3","PM10","µg/m³","20/06/2022","15.74","1"
"Grumento3","PM10","µg/m³","21/06/2022","21.47","1"
"Grumento3","PM10","µg/m³","22/06/2022","46.45","1"
"Grumento3","PM10","µg/m³","23/06/2022","54.21","1"
"Grumento3","PM10","µg/m³","24/06/2022","44.10","1"
"Grumento3","PM10","µg/m³","25/06/2022","31.28","1"
"Grumento3","PM10","µg/m³","26/06/2022","30.28","1"
"Grumento3","PM10","µg/m³","27/06/2022","38.27","1"
"Grumento3","PM10","µg/m³","28/06/2022","52.27","1"
"Grumento3","PM10","µg/m³","29/06/2022","66.78","1"
"Grumento3","PM10","µg/m³","30/06/2022","38.66","1"
"Grumento3","PM10","µg/m³","01/07/2022","36.21","1"
"Grumento3","PM10","µg/m³","02/07/2022","47.68","1"
"Grumento3","PM10","µg/m³","03/07/2022","34.69","1"
"Grumento3","PM10","µg/m³","04/07/2022","36.28","1"
"Grumento3","PM10","µg/m³","05/07/2022","28.81","1"
"Grumento3","PM10","µg/m³","06/07/2022","55.51","1"
"Grumento3","PM10","µg/m³","07/07/2022","23.22","1"
"Grumento3","PM10","µg/m³","08/07/2022","36.68","1"
"Grumento3","PM10","µg/m³","09/07/2022","22.88","1"
"Grumento3","PM10","µg/m³","10/07/2022","20.81","1"
"Grumento3","PM10","µg/m³","11/07/2022","18.17","1"
"Grumento3","PM10","µg/m³","12/07/2022","28.10","1"
"Grumento3","PM10","µg/m³","13/07/2022","-9999","-1"
"Grumento3","PM10","µg/m³","14/07/2022","15.59","1"
"Grumento3","PM10","µg/m³","15/07/2022","15.89","1"
"Grumento3","PM10","µg/m³","16/07/2022","13.58","1"
"Grumento3","PM10","µg/m³","17/07/2022","17.26","1"
"Grumento3","PM10","µg/m³","18/07/2022","23.79","1"
"Grumento3","PM10","µg/m³","19/07/2022","17.89","1"
"Grumento3","PM10","µg/m³","20/07/2022","20.55","1"
"Grumento3","PM10","µg/m³","21/07/2022","21.48","1"
"Grumento3","PM10","µg/m³","22/07/2022","21.47","1"
"Grumento3","PM10","µg/m³","23/07/2022","27.02","1"
"Grumento3","PM10","µg/m³","24/07/2022","22.82","1"
"Grumento3","PM10","µg/m³","25/07/2022","24.85","1"
"Grumento3","PM10","µg/m³","26/07/2022","22.24","1"
"Grumento3","PM10","µg/m³","27/07/2022","26.41","1"
"Grumento3","PM10","µg/m³","28/07/2022","23.42","1"
"Grumento3","PM10","µg/m³","29/07/2022","21.24","1"
"Grumento3","PM10","µg/m³","30/07/2022","22.35","1"
"Grumento3","PM10","µg/m³","31/07/2022","15.27","1"
"Grumento3","PM10","µg/m³","01/08/2022","12.80","1"
"Grumento3","PM10","µg/m³","02/08/2022","15.88","1"
"Grumento3","PM10","µg/m³","03/08/2022","20.20","1"
"Grumento3","PM10","µg/m³","04/08/2022","16.44","1"
"Grumento3","PM10","µg/m³","05/08/2022","19.42","1"
"Grumento3","PM10","µg/m³","06/08/2022","18.28","1"
"Grumento3","PM10","µg/m³","07/08/2022","23.64","1"
"Grumento3","PM10","µg/m³","08/08/2022","25.15","1"
"Grumento3","PM10","µg/m³","09/08/2022","41.40","1"
"Grumento3","PM10","µg/m³","10/08/2022","-9999","-1"
"Grumento3","PM10","µg/m³","11/08/2022","-9999","-1"
"Grumento3","PM10","µg/m³","12/08/2022","-9999","-1"
"Grumento3","PM10","µg/m³","13/08/2022","11.82","1"
"Grumento3","PM10","µg/m³","14/08/2022","12.17","1"
"Grumento3","PM10","µg/m³","15/08/2022","15.28","1"
"Grumento3","PM10","µg/m³","16/08/2022","28.03","1"
"Grumento3","PM10","µg/m³","17/08/2022","32.01","1"
"Grumento3","PM10","µg/m³","18/08/2022","55.20","1"
"Grumento3","PM10","µg/m³","19/08/2022","47.82","1"
"Grumento3","PM10","µg/m³","20/08/2022","15.11","1"
"Grumento3","PM10","µg/m³","21/08/2022","9.55","1"
