"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","01","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","02","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","03","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","04","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","05","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","06","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","07","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","08","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","09","0.45","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","10","4.85","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","11","9.17","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","12","20.01","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","13","19.11","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","14","260.56","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","15","292.91","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","16","151.74","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","17","9.80","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","18","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","19","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","20","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","21","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","22","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","23","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","01/01/2022","24","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","01","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","02","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","03","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","04","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","05","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","06","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","07","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","08","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","09","0.48","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","10","5.60","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","11","9.51","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","12","21.67","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","13","15.32","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","14","270.57","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","15","309.25","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","16","160.04","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","17","10.05","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","18","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","19","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","20","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","21","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","22","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","23","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","02/01/2022","24","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","01","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","02","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","03","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","04","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","05","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","06","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","07","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","08","0.00","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","09","30.16","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","10","89.71","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","11","122.33","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","12","106.94","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","13","84.27","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","14","210.25","1"
"Grumento3","Radiazione_Globale","W/m≤","03/01/2022","15","158.67","1"
