"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Grumento3","Umidità_Relativa","%","01/01/2022","01","60.38","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","02","58.79","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","03","56.15","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","04","56.58","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","05","56.56","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","06","59.07","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","07","56.92","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","08","56.82","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","09","57.69","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","10","55.65","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","11","52.08","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","12","46.90","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","13","43.40","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","14","41.37","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","15","41.65","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","16","43.48","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","17","48.08","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","18","48.71","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","19","49.39","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","20","54.96","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","21","57.75","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","22","61.51","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","23","58.91","1"
"Grumento3","Umidità_Relativa","%","01/01/2022","24","63.79","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","01","61.71","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","02","61.45","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","03","61.78","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","04","63.72","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","05","60.42","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","06","60.33","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","07","63.76","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","08","65.29","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","09","55.32","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","10","48.71","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","11","42.90","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","12","38.95","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","13","35.56","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","14","34.78","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","15","31.45","1"
"Grumento3","Umidità_Relativa","%","02/01/2022","16","32.32","1"
