"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Grumento3","Velocità_Vento","m/s","01/01/2022","01","1.04","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","02","1.28","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","03","1.47","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","04","0.85","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","05","1.67","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","06","1.65","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","07","0.90","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","08","0.72","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","09","1.96","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","10","1.04","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","11","1.04","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","12","1.32","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","13","2.78","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","14","3.69","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","15","4.12","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","16","5.71","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","17","5.19","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","18","4.65","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","19","1.16","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","20","2.32","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","21","1.46","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","22","1.08","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","23","1.31","1"
"Grumento3","Velocità_Vento","m/s","01/01/2022","24","1.04","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","01","1.13","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","02","0.92","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","03","1.57","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","04","1.03","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","05","0.80","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","06","0.87","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","07","1.73","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","08","2.09","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","09","1.11","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","10","1.03","1"
"Grumento3","Velocità_Vento","m/s","02/01/2022","11","0.40","1"
