"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","01","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","02","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","03","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","04","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","05","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","06","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","07","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","08","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","09","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","10","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","11","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","12","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","13","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","14","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","15","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","16","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","17","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","18","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","19","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","20","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","21","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","22","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","23","0.04","1"
"Grumento3","o-Xilene","µg/m≥","01/01/2022","24","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","01","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","02","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","03","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","04","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","05","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","06","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","07","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","08","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","09","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","10","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","11","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","12","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","13","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","14","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","15","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","16","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","17","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","18","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","19","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","20","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","21","0.09","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","22","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","23","0.04","1"
"Grumento3","o-Xilene","µg/m≥","02/01/2022","24","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","01","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","02","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","03","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","04","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","05","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","06","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","07","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","08","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","09","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","10","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","11","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","12","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","13","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","14","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","15","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","16","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","17","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","18","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","19","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","20","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","21","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","22","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","23","0.04","1"
"Grumento3","o-Xilene","µg/m≥","03/01/2022","24","0.04","1"
"Grumento3","o-Xilene","µg/m≥","04/01/2022","01","0.04","1"
"Grumento3","o-Xilene","µg/m≥","04/01/2022","02","0.04","1"
"Grumento3","o-Xilene","µg/m≥","04/01/2022","03","0.04","1"
"Grumento3","o-Xilene","µg/m≥","04/01/2022","04","0.04","1"
