"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","01","0.18","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","02","0.15","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","03","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","04","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","05","0.02","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","06","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","07","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","08","0.11","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","09","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","10","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","11","0.10","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","12","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","13","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","14","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","15","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","16","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","17","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","18","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","19","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","20","0.12","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","21","0.10","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","22","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","23","0.02","1"
"La_Martella","Etilbenzene","µg/m≥","01/01/2022","24","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","01","0.14","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","02","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","03","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","04","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","05","0.02","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","06","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","07","0.10","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","08","0.10","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","09","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","10","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","11","0.11","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","12","0.09","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","13","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","14","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","15","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","16","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","17","0.02","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","18","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","19","0.14","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","20","0.10","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","21","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","22","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","23","0.10","1"
"La_Martella","Etilbenzene","µg/m≥","02/01/2022","24","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","01","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","02","0.33","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","03","0.09","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","04","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","05","0.14","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","06","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","07","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","08","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","09","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","10","0.02","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","11","1.12","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","12","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","13","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","14","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","15","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","16","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","17","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","18","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","19","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","20","0.09","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","21","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","22","0.10","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","23","0.11","1"
"La_Martella","Etilbenzene","µg/m≥","03/01/2022","24","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","01","0.11","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","02","0.11","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","03","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","04","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","05","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","06","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","07","0.15","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","08","0.16","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","09","0.09","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","10","0.09","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","11","0.13","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","12","0.25","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","13","0.15","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","14","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","15","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","16","0.10","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","17","0.16","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","18","0.12","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","19","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","20","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","21","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","22","0.09","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","23","0.09","1"
"La_Martella","Etilbenzene","µg/m≥","04/01/2022","24","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","01","0.13","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","02","0.09","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","03","0.14","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","04","0.09","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","05","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","06","0.39","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","07","0.11","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","08","0.10","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","09","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","10","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","11","-9999","-1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","12","-9999","-1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","13","-9999","-1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","14","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","15","0.01","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","16","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","17","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","18","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","19","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","20","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","21","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","22","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","23","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","05/01/2022","24","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","01","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","02","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","03","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","04","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","05","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","06","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","07","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","08","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","09","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","10","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","11","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","12","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","13","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","14","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","15","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","16","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","17","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","18","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","19","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","20","0.05","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","21","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","22","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","23","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","06/01/2022","24","0.08","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","01","0.02","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","02","0.10","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","03","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","04","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","05","0.07","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","06","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","07","0.03","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","08","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","09","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","10","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","11","0.04","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","12","0.06","1"
"La_Martella","Etilbenzene","µg/m≥","07/01/2022","13","0.04","1"
