"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"La_Martella","O3","µg/m≥","01/01/2022","01","39.99","1"
"La_Martella","O3","µg/m≥","01/01/2022","02","40.73","1"
"La_Martella","O3","µg/m≥","01/01/2022","03","38.74","1"
"La_Martella","O3","µg/m≥","01/01/2022","04","38.21","1"
"La_Martella","O3","µg/m≥","01/01/2022","05","39.18","1"
"La_Martella","O3","µg/m≥","01/01/2022","06","35.61","1"
"La_Martella","O3","µg/m≥","01/01/2022","07","40.61","1"
"La_Martella","O3","µg/m≥","01/01/2022","08","43.24","1"
"La_Martella","O3","µg/m≥","01/01/2022","09","46.57","1"
"La_Martella","O3","µg/m≥","01/01/2022","10","58.39","1"
"La_Martella","O3","µg/m≥","01/01/2022","11","65.65","1"
"La_Martella","O3","µg/m≥","01/01/2022","12","70.46","1"
"La_Martella","O3","µg/m≥","01/01/2022","13","72.09","1"
"La_Martella","O3","µg/m≥","01/01/2022","14","70.84","-1"
"La_Martella","O3","µg/m≥","01/01/2022","15","70.20","1"
"La_Martella","O3","µg/m≥","01/01/2022","16","69.42","1"
"La_Martella","O3","µg/m≥","01/01/2022","17","65.19","1"
"La_Martella","O3","µg/m≥","01/01/2022","18","62.84","1"
"La_Martella","O3","µg/m≥","01/01/2022","19","57.29","1"
"La_Martella","O3","µg/m≥","01/01/2022","20","57.70","1"
"La_Martella","O3","µg/m≥","01/01/2022","21","55.46","1"
"La_Martella","O3","µg/m≥","01/01/2022","22","57.39","1"
"La_Martella","O3","µg/m≥","01/01/2022","23","53.25","1"
"La_Martella","O3","µg/m≥","01/01/2022","24","47.53","1"
"La_Martella","O3","µg/m≥","02/01/2022","01","46.45","1"
"La_Martella","O3","µg/m≥","02/01/2022","02","49.18","1"
"La_Martella","O3","µg/m≥","02/01/2022","03","44.62","1"
"La_Martella","O3","µg/m≥","02/01/2022","04","43.00","1"
"La_Martella","O3","µg/m≥","02/01/2022","05","44.30","1"
"La_Martella","O3","µg/m≥","02/01/2022","06","45.72","1"
"La_Martella","O3","µg/m≥","02/01/2022","07","40.94","1"
"La_Martella","O3","µg/m≥","02/01/2022","08","42.16","1"
"La_Martella","O3","µg/m≥","02/01/2022","09","38.06","1"
"La_Martella","O3","µg/m≥","02/01/2022","10","45.06","1"
"La_Martella","O3","µg/m≥","02/01/2022","11","45.50","1"
"La_Martella","O3","µg/m≥","02/01/2022","12","62.58","1"
"La_Martella","O3","µg/m≥","02/01/2022","13","70.70","-1"
"La_Martella","O3","µg/m≥","02/01/2022","14","74.84","1"
"La_Martella","O3","µg/m≥","02/01/2022","15","71.78","1"
"La_Martella","O3","µg/m≥","02/01/2022","16","67.16","1"
"La_Martella","O3","µg/m≥","02/01/2022","17","62.68","1"
"La_Martella","O3","µg/m≥","02/01/2022","18","64.00","1"
"La_Martella","O3","µg/m≥","02/01/2022","19","43.88","1"
"La_Martella","O3","µg/m≥","02/01/2022","20","47.91","1"
"La_Martella","O3","µg/m≥","02/01/2022","21","52.74","1"
"La_Martella","O3","µg/m≥","02/01/2022","22","35.62","1"
"La_Martella","O3","µg/m≥","02/01/2022","23","36.43","1"
"La_Martella","O3","µg/m≥","02/01/2022","24","32.71","1"
"La_Martella","O3","µg/m≥","03/01/2022","01","31.44","1"
"La_Martella","O3","µg/m≥","03/01/2022","02","34.42","1"
"La_Martella","O3","µg/m≥","03/01/2022","03","32.36","1"
"La_Martella","O3","µg/m≥","03/01/2022","04","36.92","1"
"La_Martella","O3","µg/m≥","03/01/2022","05","35.84","1"
"La_Martella","O3","µg/m≥","03/01/2022","06","33.75","1"
"La_Martella","O3","µg/m≥","03/01/2022","07","30.20","1"
"La_Martella","O3","µg/m≥","03/01/2022","08","26.93","1"
"La_Martella","O3","µg/m≥","03/01/2022","09","29.76","1"
"La_Martella","O3","µg/m≥","03/01/2022","10","30.19","1"
"La_Martella","O3","µg/m≥","03/01/2022","11","40.03","1"
"La_Martella","O3","µg/m≥","03/01/2022","12","53.68","-1"
"La_Martella","O3","µg/m≥","03/01/2022","13","60.21","1"
"La_Martella","O3","µg/m≥","03/01/2022","14","62.69","1"
"La_Martella","O3","µg/m≥","03/01/2022","15","63.67","1"
"La_Martella","O3","µg/m≥","03/01/2022","16","58.53","1"
"La_Martella","O3","µg/m≥","03/01/2022","17","53.83","1"
"La_Martella","O3","µg/m≥","03/01/2022","18","52.50","1"
"La_Martella","O3","µg/m≥","03/01/2022","19","44.58","1"
"La_Martella","O3","µg/m≥","03/01/2022","20","37.11","1"
"La_Martella","O3","µg/m≥","03/01/2022","21","29.55","1"
"La_Martella","O3","µg/m≥","03/01/2022","22","20.07","1"
"La_Martella","O3","µg/m≥","03/01/2022","23","17.59","1"
"La_Martella","O3","µg/m≥","03/01/2022","24","18.08","1"
