"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","01","0.25","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","02","0.21","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","03","0.21","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","04","0.22","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","05","0.26","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","06","0.21","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","07","0.20","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","08","8.72","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","09","150.02","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","10","308.91","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","11","435.55","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","12","451.73","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","13","392.72","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","14","445.89","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","15","334.43","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","16","124.58","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","17","15.51","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","18","0.20","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","19","0.17","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","20","0.20","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","21","0.16","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","22","0.18","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","23","0.20","1"
"La_Martella","Radiazione_Globale","W/m≤","01/01/2022","24","0.18","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","01","0.45","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","02","0.20","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","03","0.21","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","04","0.21","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","05","0.21","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","06","0.22","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","07","0.22","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","08","8.62","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","09","153.50","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","10","312.48","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","11","438.52","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","12","460.22","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","13","396.45","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","14","457.73","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","15","347.09","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","16","129.79","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","17","17.42","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","18","0.17","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","19","0.16","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","20","0.17","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","21","0.18","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","22","0.20","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","23","0.20","1"
"La_Martella","Radiazione_Globale","W/m≤","02/01/2022","24","0.20","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","01","0.25","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","02","0.22","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","03","0.21","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","04","0.22","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","05","0.23","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","06","0.21","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","07","0.24","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","08","10.12","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","09","134.99","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","10","293.52","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","11","427.89","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","12","446.49","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","13","425.99","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","14","329.40","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","15","340.44","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","16","49.15","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","17","4.11","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","18","0.29","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","19","0.23","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","20","0.21","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","21","0.28","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","22","0.22","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","23","0.25","1"
"La_Martella","Radiazione_Globale","W/m≤","03/01/2022","24","0.49","1"
"La_Martella","Radiazione_Globale","W/m≤","04/01/2022","01","0.28","1"
"La_Martella","Radiazione_Globale","W/m≤","04/01/2022","02","0.26","1"
"La_Martella","Radiazione_Globale","W/m≤","04/01/2022","03","0.25","1"
"La_Martella","Radiazione_Globale","W/m≤","04/01/2022","04","0.28","1"
"La_Martella","Radiazione_Globale","W/m≤","04/01/2022","05","0.27","1"
"La_Martella","Radiazione_Globale","W/m≤","04/01/2022","06","0.32","1"
