"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"La_Martella","SO2","µg/m≥","01/01/2022","01","1.15","1"
"La_Martella","SO2","µg/m≥","01/01/2022","02","2.01","1"
"La_Martella","SO2","µg/m≥","01/01/2022","03","1.23","1"
"La_Martella","SO2","µg/m≥","01/01/2022","04","2.47","1"
"La_Martella","SO2","µg/m≥","01/01/2022","05","1.85","1"
"La_Martella","SO2","µg/m≥","01/01/2022","06","2.26","1"
"La_Martella","SO2","µg/m≥","01/01/2022","07","2.36","1"
"La_Martella","SO2","µg/m≥","01/01/2022","08","2.65","1"
"La_Martella","SO2","µg/m≥","01/01/2022","09","2.30","1"
"La_Martella","SO2","µg/m≥","01/01/2022","10","2.52","1"
"La_Martella","SO2","µg/m≥","01/01/2022","11","1.58","1"
"La_Martella","SO2","µg/m≥","01/01/2022","12","1.98","1"
"La_Martella","SO2","µg/m≥","01/01/2022","13","1.37","-1"
"La_Martella","SO2","µg/m≥","01/01/2022","14","1.41","1"
"La_Martella","SO2","µg/m≥","01/01/2022","15","1.54","1"
"La_Martella","SO2","µg/m≥","01/01/2022","16","0.44","1"
"La_Martella","SO2","µg/m≥","01/01/2022","17","1.08","1"
"La_Martella","SO2","µg/m≥","01/01/2022","18","1.79","1"
"La_Martella","SO2","µg/m≥","01/01/2022","19","1.59","1"
"La_Martella","SO2","µg/m≥","01/01/2022","20","0.43","1"
"La_Martella","SO2","µg/m≥","01/01/2022","21","1.49","1"
"La_Martella","SO2","µg/m≥","01/01/2022","22","1.29","1"
"La_Martella","SO2","µg/m≥","01/01/2022","23","1.29","1"
"La_Martella","SO2","µg/m≥","01/01/2022","24","1.43","1"
"La_Martella","SO2","µg/m≥","02/01/2022","01","1.76","1"
"La_Martella","SO2","µg/m≥","02/01/2022","02","1.25","1"
"La_Martella","SO2","µg/m≥","02/01/2022","03","1.42","1"
"La_Martella","SO2","µg/m≥","02/01/2022","04","0.77","1"
"La_Martella","SO2","µg/m≥","02/01/2022","05","1.28","1"
"La_Martella","SO2","µg/m≥","02/01/2022","06","1.23","1"
"La_Martella","SO2","µg/m≥","02/01/2022","07","1.37","1"
"La_Martella","SO2","µg/m≥","02/01/2022","08","1.53","1"
"La_Martella","SO2","µg/m≥","02/01/2022","09","1.81","1"
"La_Martella","SO2","µg/m≥","02/01/2022","10","0.93","1"
"La_Martella","SO2","µg/m≥","02/01/2022","11","0.84","1"
"La_Martella","SO2","µg/m≥","02/01/2022","12","2.58","-1"
"La_Martella","SO2","µg/m≥","02/01/2022","13","2.88","1"
"La_Martella","SO2","µg/m≥","02/01/2022","14","2.54","1"
"La_Martella","SO2","µg/m≥","02/01/2022","15","1.19","1"
"La_Martella","SO2","µg/m≥","02/01/2022","16","1.80","1"
"La_Martella","SO2","µg/m≥","02/01/2022","17","2.20","1"
"La_Martella","SO2","µg/m≥","02/01/2022","18","1.87","1"
"La_Martella","SO2","µg/m≥","02/01/2022","19","1.04","1"
"La_Martella","SO2","µg/m≥","02/01/2022","20","2.06","1"
"La_Martella","SO2","µg/m≥","02/01/2022","21","2.45","1"
"La_Martella","SO2","µg/m≥","02/01/2022","22","1.17","1"
"La_Martella","SO2","µg/m≥","02/01/2022","23","1.74","1"
"La_Martella","SO2","µg/m≥","02/01/2022","24","1.34","1"
"La_Martella","SO2","µg/m≥","03/01/2022","01","0.59","1"
"La_Martella","SO2","µg/m≥","03/01/2022","02","2.13","1"
"La_Martella","SO2","µg/m≥","03/01/2022","03","1.74","1"
"La_Martella","SO2","µg/m≥","03/01/2022","04","1.51","1"
"La_Martella","SO2","µg/m≥","03/01/2022","05","2.10","1"
"La_Martella","SO2","µg/m≥","03/01/2022","06","1.69","1"
"La_Martella","SO2","µg/m≥","03/01/2022","07","2.20","1"
"La_Martella","SO2","µg/m≥","03/01/2022","08","2.28","1"
"La_Martella","SO2","µg/m≥","03/01/2022","09","1.83","1"
"La_Martella","SO2","µg/m≥","03/01/2022","10","1.59","1"
